Category,Resume
.net,"LogiMatika, Junior .NET Developer (13.12.2021 - 28.10.2022): Azure DevOps · SourceTree · Object-Oriented Programming (OOP) · ADO.NET · Entity Framework · C# · .NET Framework · WPF / MVVM · LINQ · Git · Microsoft SQL Server · Mantis.
EasyPay, Junior .NET Developer (01.11.2022 - 17.11.2023): ElasticSearch · Quartz.NET · SourceTree · JWT · XML · Unit Testing · SOLID · Object-Oriented Programming (OOP) · Postman · ADO.NET · Windows Services · WCF · Jira · T-SQL · Dapper · Entity Framework · C# · .NET Framework · LINQ · JSON · Git · Microsoft SQL Server
EasyPay, Middle .NET Developer (17.11.2023 - present)
Before the enterprise experience, I wrote a high-load Windows desktop application (classified as a bot) that worked with web sockets and APIs, which is still in use and profitable.
While working at EasyPay, I maintained and created many services interacting with terminals and website that work with government structures and world leaders in different spheres, including Vodafone, Ukrzaliznytsia, Diia and others.
I have no practice in web development, but I would like to dive in and learn ASP.NET / ASP.NET Core."
.net,"Experienced in preparation of test environment, replication of problems and generation of bug reports. Have a solid experience in creation and maintenance automation frameworks in .Net (C#+Selenium) and JavaScript (Cypress), as well as experience in BDD (SpecFlow, Cucumber) testing approach. Also experienced in mobile testing with Appium.
Seeking an interesting projects to work on."
.net,"Backend Engineer | Melnik Group January 2024 - March 2025 (1 year 2 months)
Project: A universal platform for service management and online booking.
Optimization of database performance: Rewrote SQL queries, created indexes, and analyzed execution plans,
which led to a 10% increase in query execution speed.
Improving code quality: Increased unit test coverage by 20%, which significantly improved the stability and
reliability of the code base.
Automation of communications: Set up automated email campaigns (confirmations, availability notifications,
marketing offers).
Integration with Google services: Successfully integrated the project with Google SDK, expanding the
functionality.
API development: Added new functionality, including the development of RESTful APIs for interaction between
services.
Migration to microservices: Actively participated in the migration from monolithic to microservice architecture,
improving scalability and flexibility.
Optimization of interaction between services: Used Redis and RabbitMQ for efficient asynchronous
communication.
Code refactoring: Refactored outdated code to improve its readability and maintainability.
Teamwork: Actively collaborated with analysts and team leads in Confluence, ensuring clear understanding and
planning of tasks.
Improving the development experience: Developed a library for OpenAPI, which greatly simplified the use of
scalar by other developers."
.net,"I am working for 3 years as a software engineer on various projects for a foreign customer involved into creating a solution to enable customers (primarly Law and Business) to create their own templates, forms etc. to fill out. I was working on a Cloud solution that would run these artifacts, WinForms-based Word add-in that is used to create them and also e-commerce website for authors, which want to sell these templates.
For the web projects I have been creating business-logic APIs, introducing systems such as global and context-senstivie error handling mechansims, Single-Sign On, localization. There was also a project that I built from scratch, which enabled our customers to invoke some admin actions such as managing their users, running CRON tasks, watching statistics etc. I have also took part in creating CRON and CI/CD tasks based on both .NET CLI apps and PowerShell scripts. One of these projects used to utilize WCF, jQuery, old ASP.NET, plain SQL stack and I helped updating it to ASP.NET Core, Vue, Entity Framework Core combination, which drasticallly increased our efficiency in introducing new features as well as onboarding new teammates.
As for the Word add-in project, the company wanted to consolidate Web and add-ins frontends and significantly ovehaul it's visual appearance, therefore? I was asked to replace the most vital parts of this application with WebView frontend making it work like an Electron app. There I mainly operated on the frontend part, organizing the communication between WebView and C# layers, writing view-scoped logic and creating forms with Vue for users to author their own templates.
I also have some side experience with PHP-based CMS (WordPress, OpenCart): I fixed some parts of commercial website for that aforementioned company and also completed freelance orders of creating websites for businesses, which were providing heating and made sushi.
I would like to develop myself in a more sophisticated architectural solutions, which would involve such techniques as Clean Architecture, CQRS, ES, DDD etc. I am testing these in my pet-project, but want to see how masters adapt these into their applications.
During my commercial career I have done a lot of tasks, but I am most proud of these ones:
* I have globally updated customer's old techonology stack to a new one: WCF to REST, ADO.NET to EntityFramework/Dapper (for niche cases), jQuery-driven frontend to Vue + BootstrapVue etc.
* I have introduced a range of global mechanisms like context-sensitive/global error handling, localization, handling of multiple concurrent login sessions etc.
* I have composed an architecture for Word add-in, which was utilizing WebView: the way it communicates with C# backend, reuses similar forms, processes UI templates and so on.
* I have integrated our application with SSO backed by identity provider PingIdentity via SAML protocol.
* I have created a system to process our clients' on-premises filesystems. It consisted of C# tasks like cleaning up unnecessary log files, assembling cache-like artefacts etc, which were run via Task Scheduler.
Also, some of my pet-projects feature stuff like:
* Real-time updating of booking statuses via SignalR.
* Integration with payment gateway LiqPay.
I am primarly looking for developing Web systems, in which I would mainly work on the backend part, but I also definitely do not mind working on a Desktop app, tools development or creating rather simple frontends. Ideally, I would like to gain experience with projects that utilize advanced architectural patterns and have a dive into functional programming paradigm."
.net,"Розробник pet-проєктів (C#, ASP.NET)
2023 – теперішній час
- Створюю власні проєкти для практики та вивчення сучасних технологій .NET
- Працюю з C#, ASP.NET Core, Entity Framework, MSSQL, PostgreSQL
- Розробляю бекенд-логіку, REST API, систему авторизації з JWT
- Використовую Git та GitHub для керування версіями і CI/CD (GitHub Actions)
- Експериментую з фронтендом на Blazor та React
- Пріоритет — автоматизація, ефективність та архітектурна чіткість"
.net,"Experienced .NET Developer with over 8 years in software development and 5 years of full-stack expertise. Proven track record in delivering robust B2B, fintech, and enterprise-grade solutions. Skilled in cloud migration, infrastructure setup, DevOps practices, and cross-functional collaboration. Strong understanding of modern .NET technologies, cloud services (Azure), and frontend frameworks (Angular, TypeScript).
— Automated legacy system deployment, which was previously performed manually — introduced scripted infrastructure setup with the ability to deploy additional nodes on demand, significantly reducing operational overhead.
— Led the migration of a legacy ASP.NET MVC web application to a modern Single Page Application (SPA) using ASP.NET Core and Angular — improved performance, maintainability, and user experience.
— Deep customization of DevExtreme components to meet complex UI/UX and business logic requirements — enhanced functionality and responsiveness of enterprise dashboards and forms.
— Set up full CI/CD lifecycle in Azure DevOps — from branch policies and pull request validation to automated pipelines that build, test, deploy to staging environments, and apply database migrations. This workflow streamlined delivery and reduced release errors.
I am open to both maintaining and modernizing legacy systems — I find satisfaction in improving existing codebases and evolving them into more efficient and scalable solutions, as long as the complexity and effort are fairly recognized.
At the same time, I enjoy being part of early-stage projects where architecture decisions are still being made and development starts from scratch. This gives me space to apply best practices from the ground up.
Based on my experience, I find the most motivation in:
— Compact teams and smaller-scale projects where I can take broad ownership across frontend, backend, testing, CI/CD, and infrastructure.
— Large-scale systems where I can focus on a well-defined domain — such as core logic, vertical modules, or a specific infrastructure layer.
— Products that provide real value — solving meaningful problems for end-users or enabling business innovation.
— Technically unique or high-load solutions that challenge conventional thinking and involve advanced tools, architectures, or performance concerns.
Ultimately, I appreciate engineering environments that value transparency, continuous learning, and mutual respect."
.net,".NET Software Engineer
12/2021 - now
* Integrated 2 third-party systems into the platform to enhance functionality
Improved integration testing speed by implementing the TestContainers .NET library for dynamic database setup
* Designed and documented new architectural components
* Increased reliability of platform-device communication by redesigning the entire flow using the WorkflowCore library
* Optimized the import process of large vehicle datasets from third-party systems, reducing execution time from 15 seconds to 5 seconds
Technologies: .NET Core, AWS(EKS, SNS/SQS, S3, Lambda), PostgreSQL
.NET Software Engineer
02/2018 - 12/2021
* Onboarded and mentored 2 junior developers, helping them to contribute effectively to the project
* Enhanced the virtual machine migration flow to AWS EC2, improving reliability and maintainability of the process
* Integrated a new service written in Golang to simplify communication with on-premise data stores
Technologies: .NET Core, K8S, Golang, Python, gRPC
Java Developer
05/2017 - 12/2017
* Started migration of the version control system from SVN to Git, for improving code review experience and team collaboration
* Worked on implementing new functionality based on the customer's requirements
* Release code to a production environment
Technologies: Java, EJB, MSSQL, JQuery
Java Developer
04/2016 - 05/2017
* Implement new functionality
* Diagnosed and resolved production bugs and technical issues
Technologies: Java, Spring Framework, AWS, MySQL
Challenging tasks, professional growth(want to become a tech lead), ops tasks(very interested in infrastructure stuff)"
.net,"I have more than several years of experience in. I am skilled in developing client/server, web-based software and business applications for clients. Creating desktop application development using WPF(MVVM) and related technologies. Also skilled in building APIs using Microsoft ASP.NET"
.net,"20+ years in Enterprise solution development. Over the last 10 years: managing a team and multiple teams, building technical solutions from scratch, and maintaining and refactoring legacy systems. Core expertise is full-stack development, with back-end built on .NET technologies and front-end as web applications. Also experienced in mobile and Windows desktop application development."
.net,"Professional Full-stack Angular .NET developer with 8 years of experience with commercial web projects of CRM and ERP systems, constantly learning and effectively applying new technologies and best practices to create applications productive, clear and convenient. Aiming to be useful and grow professionally towards a Software Architecture role.
Made significant contributions to the implementation of a complex ERP system that has features such as task tracking, chat, calendar, notifications, reminders, announcements and more.
Designed and implemented a web service that generates a catalog of products and services of companies based on information from the project database, in which were applied best practices for informing the client about the progress of the long process.
Designed and implemented a mechanism for updating a user interface with current data in a multi-user web portal.
Implemented the multi-type nature of the main business object that requered dynamic changes of its behavior and user interface views in a complex system already in operation.
Optimized performance of complex queries to the project database.
Eliminated blocking UI controls of the system.
Taken steps to prevent data inconsistency in the system.
Implemented version control of the project database schema.
I want to obtain a position as a Full-stack Angular .NET Developer."
