Category,Resume
android,"I have been engaged in Android development for 5 years. I have created applications from scratch (cleaners, VPNs, inventory management apps, family budget trackers, ad blockers). I possess extensive experience in refining, redesigning, and refactoring applications of various themes, using a diverse range of technology stacks. I have also developed separate modules for integration into different applications (Always on Top ad display over all apps, interception of third-party app launches). Over the past one and a half years, my focus has primarily been on creating cleaners, with a strong emphasis on monetization and analytics, aiming to achieve an enhanced UX."
android,"* Bank RBK *
- Led the development of key functionalities in Kotlin, leveraging Android SDK through close collaboration with cross-functional teams.
- Designed and built advanced, scalable applications, innovated native UI components, and implemented a system-wide dark theme, enhancing user experience and application aesthetics.
- Integrated with backend services using Retrofit to ensure a fast and seamless mobile user experience.
- Optimized application performance by refactoring and eliminating redundant code and deprecated libraries, resulting in a 30% reduction in installation file size.
- Employed Room and Coroutines for efficient local data storage and processing, ensuring seamless user interactions.
- Introduced documentation practices within the team, reducing code review time and enhancing overall efficiency.
- Participated in team agile and engineering practices, contributing to their continuous evolution.
* Relog *
- Technical development and support of the Relog application with 3000+ active users.
- Worked with the map (MapBox SDK) to track the location of users.
- Implemented UI using Jetpack Compose.
* ABM Co *
- Development of applications and consideration of technical solutions, as well as planning the development process.
- Mentoring 4 students in learning Android development from zero, explaining roadmaps, tracking their progress, and holding meetings.
- Developed an app for an online educational center from scratch in two months. The mobile app is used by more than 1000+ students every month.
- Implemented features: authorization, authentication, profile page, home page with courses, searching, and showing reviews.
- Participate in Code Review.
* Meta, WhatsApp Business App *
Improved user's ad creation experience by simplifying visual language which expected to increase ad creation rate for first-time advertisers by 30%
- Developing new features and user interfaces
- Fixing bugs and performance problems
- Writing clean, readable, and testable code
- Collaborating with back-end developers, designers
Tech Stack: Kotlin, Java, MVVM, LiveData, RecyclerView, Git, Material Design, Navigation, Lifecycle
* Yandex, Yandex Super App *
Designed and implemented a debug panel in the app that allows developers to change app configurations in just two clicks
- Fixing bugs and performance problems
- Refactoring and removing deprecated feature code
Tech Stack: Kotlin, Java, Git, Gson, Coroutines
Good knowledge of data structures and algorithms: approximately 500 problems solved on Leetcode
My expectations are: a friendly team of professionals, interesting projects, complex and interesting tasks, a modern stack of technologies, adequate management, opportunities for both professional and career growth."
android,"Freelance Android Developer
Developing high-quality Android applications for clients, focusing on scalability, performance, and user experience. Collaborating with clients to define project requirements, implement modern UI/UX designs, and integrate third-party APIs.
Key Responsibilities:
– Developed custom Android applications using Kotlin, Jetpack Compose, and MVVM architecture.
– Designed intuitive UI/UX with Jetpack Compose, ensuring smooth navigation and accessibility.
– Integrated RESTful APIs using Retrofit/Ktor Client for real-time data retrieval.
– Implemented Room Database for local storage and data persistence.
– Implemented Firebase Authentication and Realtime Database for user login, registration, and data storage.
– Worked closely with clients to understand their business needs and provide scalable, maintainable solutions.
Personal projects:
Wallet Watcher – An app for checking Ethereum wallet balances, token holdings, and transaction history. It features real-time data fetching using Ktor Client, a modern UI built with Jetpack Compose, and local storage using Room. The app follows MVVM architecture with Hilt dependency injection, and Compose Navigation for a seamless user experience.
Heart Rate - An app that uses a phone's camera and real-time image processing to measure a user’s heart rate. Built with Jetpack Compose for a modern UI, CameraX for efficient camera access, and Room for storing heart rate history. Accompanist Permissions simplifies runtime permission handling for camera access
Tech Stack:
– Kotlin/Java
– Jetpack Compose
– Room
– Ktor Client/Retrofit
– Kotlin Coroutines & Flows
– Hilt
– CameraX
– Git/GitHub
– Firebase Authentication/Realtime Database
I’m looking for a challenging Android development role where I can work on modern, scalable applications using Kotlin, Jetpack Compose, and cutting-edge technologies. I value clean architecture, well-structured codebases, and collaboration with experienced engineers.
What I Expect:
– Meaningful projects with real-world impact
– A strong technical team and knowledge-sharing culture
– Flexibility to explore new technologies and grow professionally
What I Don’t Want:
– Legacy projects with outdated tech stacks and no plans for refactoring
– Companies that prioritize speed over code quality and maintainability"
android,"Fintech Domain - Multi-Module Banking Mobile Application Development
Role: Lead Mobile Developer
In my latest role, I contributed to a large-scale, multi-module fintech project, responsible for developing and releasing features from scratch for an active user base of 60,000. Highlights include:
Architecture & Technology: Leveraged a rewritten MVVM structure combined with Retrofit and RxJava to enhance app modularity, scalability, and responsiveness.
Feature Development: Created and deployed new features in collaboration with cross-functional teams, ensuring compliance with high industry standards.
Complex Build Variants: Managed several mobile applications across different build variants, providing tailored functionality and ensuring seamless user experiences across platforms.
Internal Project – Nix
This project was focused on creating an internal app to streamline operations within the company:
Architecture: Built using Clean Architecture and fully integrated with Coroutines and Dagger 2 for efficient dependency management.
API Design and Prototyping: Collaborated in API design and views prototyping, resulting in a successful launch for internal use in February 2022.
VamPromo – Promotional Ad Platform
Worked as part of a team to build a promotional app that enables users to post advertisements on Facebook in exchange for partner discounts:
Project Scope: Developed the app from scratch using MVVM and Clean Architecture in collaboration with a Senior mentor.
Technologies: Utilized Google Maps integration and Facebook services communication to streamline ad posting, ensuring secure and efficient backend integration.
ІнТайм – Logistics App
My initial experience in mobile development was with the logistics app ""ІнТайм,"" where I contributed to completing an unfinished application for logistics management:
Technologies Used: Kotlin, MVVM architecture, Retrofit, Jetpack Navigation, Hilt Dependency Injection, and Google Maps for geolocation services.
Several successful launches, massive refactoring from MVP to MVVM, from Syntetics, ButterKnife to ViewBinding, Crash free users % from 97.2 to 99.4.
Well-known company with comfortable conditions."
android,"Android Developer with 1 year of hands-on experience in Kotlin, XML View Layouts, and Jetpack components. Proficient in building UI and app logic using MVVM architecture. I’ve been actively learning Android development since July 2023, combining real project experience with peer-to-peer courses at Sch++ and continuous self-learning. Completed a master's degree in January 2025. Eager to grow as a developer and contribute to impactful, user-centered mobile products.
Отримав ступінь магістра у 2025 році по спеціальності Комп'ютерні науки.
Android developer hard skills :
Kotlin, Android SDK, Jetpack-компонентами, ViewModel, Firebase, Coroutines, Dependency Injection (Hilt), Clean Architecture, MVVM, Retrofit2, XML, Room, Paging 2 library, Git, Navigation Component."
android,"5+ years of experience building scalable systems using Kotlin from scratch and diving into an existing codebase.
Languages: Kotlin, Java, SQL
Technologies for Android: Kotlin Multiplatform, Retrofit, Ktor, WebSocket, OkHttp, REST API, Dagger2, Hilt, Kodein, Koin, Kotlin Coroutines/Flow, MVVM/MVI, Firebase(Crashlytics, Analytics, ML Kit, Cloud messaging), Glide, Coil, Android Jetpack(with Compose), XML, Clean architecture, SOLID, Settings, Odyssey, PreCompose, Compose Navigation, LRUCache, Encryption, JSON, CI/CD, JUnit, Voyager
Tools: GitLab, GitHub, Jira
Source Control: Git
Methodology: Scrum, Kanban
Databases: Room, SQLite, SQLDelight
IDE: Android Studio, Intellij IDEA, Fleet
Development of a complex solution on Kotlin Multiplatform:
- Landing page (Web)
- Admin panel (Android/iOS/Desktop)
- User application (Android/iOS)"
android,"I'm an a Android developer with summary experience of about 5 years at mobile development. Development of android applications from scratch and support existing.
I'm player with a creative, analytical approach. Results-oriented, responsibility, self-development person.
Experience in writing clear, readable, tested code"
android,"10+ years of experience in software development
9 years in Android development
I have a diverse range of experience, from working on one-man projects from scratch to being a team lead in a small team of 5 developers, including myself. This includes both product-based and service-based companies. My current role is more of an outstaff position than outsourcing, as I work directly with the customer in an international team.
I inherited a broken project from a previous developer, fixed it, refactored the code, and made it maintainable.
I managed to catch up to, and even surpass, the iOS team in 3 months, despite having only one junior developer on my team.
I also persuaded the customer to migrate to Jetpack Compose, and after two years, I finally got approval—oh, the bureaucracy!
First of all, I'm interested in projects that don’t use an obsolete tech stack and in working with teams where I can find open-minded colleagues. I prefer product-based companies, but that doesn't mean projects in service companies are boring—it’s the bureaucracy that kills all the excitement."
android,"In my current team, I work as an Android developer and am responsible for developing and improving a mobile application using Android SDK and Kotlin. I work closely with designers and QA engineers to ensure successful product delivery.
Developing mobile applications for the Android platform using Java and Kotlin.
Implementing functionality using Android SDK, Android Jetpack, Retrofit, Room, Material and other libraries.
Working with web services, including REST API, and storing data in SQLite databases.
Developing interfaces using XML, Jetpack Compose, including the development of custom widgets and animations.
I am interested in deepening my knowledge in the field of Android development and expanding my experience with new technologies and libraries. I am interested in exploring new frameworks and tools to improve development efficiency and enhance the mobile user experience.
Optimized user interface and backend requests: During my projects, I optimized the user interface, resulting in improved responsiveness and performance of the application. Additionally, I conducted optimizations for backend requests, reducing the server load and speeding up data processing.
Collaboration with designers, testers, and backend team: I closely collaborated with testers to identify and fix application issues. Furthermore, I actively engaged with the backend development team to optimize the client-server interaction.
Participation in discussions for new features: I actively participated in discussions with the development team, business analysts, and project managers to define and understand requirements for new features. My contributions included proposing ideas, analyzing technical feasibility, and providing suggestions to enhance the functionality of the application.
Assisting team members: I provided assistance to other members of the development team, particularly to newcomers, in their development tasks. I also mentored one of the new team members.
Architecture development: Together with the technical lead, I participated in the development of the application architecture. We collaborated to analyze requirements and determine optimal patterns and approaches to create a stable and scalable architecture for the application."
android,"Have more than a year of commercial experience and after long break I looking for oportunity to comeback to Android development
Experience:
• sep 2019 – feb 2020: worked in a small-size IT company where I fixed bugs in existing projects and implemented a lot of new functionality
• feb 2020 – nov 2020: worked as a freelancer directly with customers, communicating in English via chat or through a manager
Projects:
• Like Uber application for calling a massage therapist at home
Tech stack: Java, Clean Architecture, MVVM, RxJava, Retrofit, Dagger 2, Glide
• Application for real-time tornado tracking with ability of photo/video editing and display of severe weather data
Tech stack: Java, CameraX, RxJava, Retrofit, Google Play Billing Library
Looking for opportunities as an Android Developer where I will be able to apply and develop my skills, gain a lot of experience and professional growth"
