Category,Resume
backend,"With five years of hands-on experience in Python backend development, I specialize in utilizing technologies like FastAPI and Django to create efficient and scalable server-side applications. My expertise extends to working with databases like PostgreSQL, optimizing performance using Redis, and integrating various technologies to build robust web solutions. I am proficient in designing RESTful APIs and ensuring the security and reliability of web applications, while also staying updated with the latest trends and best practices in backend development."
backend,"I started my career as a frontend developer three years ago, gradually taking on more backend responsibilities. Over the past year, I have focused on backend development and decided to specialize in it because I enjoy it more.
- Enhanced a no-code platform for data analysts by adding new functional blocks, upgrading the logic of existing blocks, and improving the platform's efficiency and usability for faster and easier data analysis
- Delivered an AI chatbots with possibility connect to datasets, applied context and additional params
- Refactored backend code into a modular architecture with integration tests, enhancing code scalability and reliability like Nest modules for easier future migration
- Mentored a junior developer, reviewed his merge requests, improved his skills, and allowed him to become a valuable member of the team
- Participated in a team pet project of 10 people for restaurant table reservations. Responsible for backend development and mentoring 3 trainee developers.
- Participation in a cybersecurity hackathon. Our team made it to the finals out of 9 teams out of 23 participating teams"
backend,"Java Software Engineer (Full time, 3y) - Insurance company based in US
- Java 11/17, Spring Boot, JUnit
- Hibernate, MyBatis, OracleSQL
- Angular (Bootstrap, Material design)
- Docker, Gradle, Jenkins
- AWS, Python and Bash scripting
Java Software Engineer (Full time, 6 mon.) - 4G/5G network infrastructure management solution based in EU.
- Java 8/11, Spring Boot, JUnit
- Hibernate, PostgreSQL
- REST, RabbitMQ
- Docker, Kubernetes/Helm, Jenkins
Java Software Engineer (Full time, 1 y.) - Vacation management system - corporate portal for booking vacation days, sick days, etc., approving by managers and showing some statistics.
- Java 11, Spring Boot, JUnit
- Hibernate, PostgreSQL
- REST, Kafka
- Swagger
- Docker, Jenkins
- Maven, GitLab
DevOps - (Full time, 1 y, 2 mon.) - Shipping company based in Switzerland
- Docker, Jenkins, Ansible, PostgreSQL
- VPS/VDS administration
- Unix Bash Scripting/Troubleshooting and monitoring
- Nginx/Apache
Experience in code review, team-leading, additional plus - DevOps skills"
backend,"Backend developer with more than 15 years of experience creating microservices across different industries. Experienced in designing APIs, databases, system architecture, and distributed systems.
Some References of real projects:
- Moladin (A used car marketplace). The company grew exponentially from 10+ to 300+ engineers after funding, and I was one of them. The system was monolith, lots of commit conflicts from so many engineers, so I suggested to my team to do in microservices. Our team was the most productive, releasing so many services: Crash Program, Academy Service, Survey Engine, Leaderboard, Agent Tiering, and Loan Origination System. The tech stack was Node.js, Go, Kafka, PostgreSQL, EventStoreDB, MongoDB, Redis, MySQL. The company burned so much cash that they had to do mass layoff in 1 year.
- Achiko (Covid test system). There were 2 teams, a researcher working on the new Covid test product in Switzerland and the Indonesian team built the supporting reservation system to be used in Indonesia. It was a monolith and very slow because existing system used DynamoDB like relational database, so for every query it will scan the whole table to get the record. When I joined, I was tasked to fix this. Apparently the way DynamoDB is used was wrong by the original developer, hence the data structure stored as well. And I was very much involved in Booking module, Test Result module, Vaccination module, authentication module, SMS module, and 3rd party payment (Xendit, Stripe) integration. The company ran out of money in 1 year. Tech stack: node.js (express), DynamoDB, PostgreSQL, SNS/SQS, Redis.
- Getspaze (""space"" renting platform). I built the backend system using Go and MongoDB. This is a terrible tech stack combination to match. A property could have many different fields to store and there's where MongoDB shines. Unfortunately we have to map all of them in Go and it gave me headache all the time. The experience taught me well that it's important to use technology / tools where it shines. In the end, the company failed to get funding and closed down.
- Ayoslide (advertising app on Android). I integrated many third party APIs in order to track ""completion"" and rewards for the users. Tech stack: PHP Lumen, PostgreSQL, MongoDB. It ran out of money in 1 year.
- Gogonesia.com (activity booking system). I was a single developer and build the whole system with PHP Laravel, mysql, html, css, javascript/jquery. It ran out of money in 2 years.
I'm looking for a remote, stable, long term job in a startup."
backend,"NOXE
Developed a platform for Noxe to simplify reporting, material tracking, financial and payout calculations. As part of the team, I worked as a backend developer, implementing task cost calculation features, user roles, and report generation using data from PostgreSQL (Strapi). Also create CI/CD for GitHub action."
backend,"I worked as a backend developer using NestJS in a microservice architecture. My responsibilities included building APIs, working with PostgreSQL, Redis, RabbitMQ, and Docker, and participating in CI/CD setup. I collaborated with the team to deliver features, resolve issues, and improve system performance. I'm eager to grow further in backend and infrastructure."
backend,"Participated in the creation of the backend part for a mobile application for a coffee shop in the UK on the Django Rest Framework. I developed most of the API for the application, assigned tasks, and was a kind of lead. I have experience in using such technologies as Docker, StripeAPI, GitHub, Linear, Swagger, FastApi, HTML, CSS, JavaScript, React, Requests, Django-Email, EngageLab, OpenAI, PostgreSQL, RestAPI, Agile, TailwindCSS, PythonScripts, DjangoRestFramework, PyJWT, RestframeworkSimpleJWT"
backend,I’ve been programming in nodejs for four years. Currently I make back-end for web and mobile application. On my position I’ve been working on projects in team with frontend developer and pm. I am looking for a position where I can use my experience and increase my programming skills.
backend,"With over 11 years of verifiable experience in JavaScript and PHP, I specialize in developing robust web applications. I am proficient in leveraging AWS for scalable cloud-based solutions.
Web Developer - JavaScript / Node.js, PHP / Slim
Unified communications
Migrated serverless data storage from CommonJS to ESM to comply with AWS SDK for JavaScript v3 requirements.
Updated dependencies and implemented new features, improving the codebase's security and performance.
Backend Developer
NDA
Web Developer - JavaScript / jQuery, PHP / Symfony / Yii2 / Laminas
Unified communications
Led integration of third-party APIs (e.g., Salesforce and Marketo), improving data processing speed for partner systems.
Migrated from PHP 5 to PHP 7, improving script performance by 100%.
Refactored complex legacy systems and improved code coverage with unit tests, achieving over 90% test coverage.
Application Developer - JavaScript / jQuery, PHP
Telecommunications
Designed and implemented a service request system with network status display, used by the call center to handle operations efficiently.
Built an online employee testing platform for HR, which streamlined the employee assessment process.
Achieved over 90 % code coverage through unit testing, increasing code reliability and reducing bugs.
Improved application performance by 100 %, enhancing user experience and reducing load times.
Successfully integrated numerous third-party APIs, expanding application functionality and enhancing data retrieval efficiency.
- a remote position;
- starting around 10 UTC;
- utilizing test-driven development;
- offering 20 days of holiday."
backend,"Skilled Python Backend Developer specializing in Django, FastAPI, and Flask, with a strong focus on scalable web applications and high-performance REST APIs. Skilled in clean, maintainable code, database modeling, query optimization, caching, and optimized backend performance. Experienced in microservices architecture, third-party integrations, and cloud deployment with CI/CD and containerization.
Passionate about problem-solving and finding innovative solutions, continuously improving skills and staying up to date with modern backend technologies. Collaborative team player with a keen interest in writing efficient, scalable, and well architected software.
I have successfully contributed to multiple projects, focusing on backend development, system optimization, and scalable architecture. One of my most significant achievements was leading the refactoring of a large-scale production project, where my team and I handled complex database migrations, improved system performance, and ensured seamless integration of new features. This process involved writing comprehensive tests, eliminating technical debt, and enhancing code maintainability. My ability to solve challenging problems, optimize workflows, and collaborate effectively with cross-functional teams has been a key factor in delivering high-quality and efficient solutions.
- Grow as a Python Engineer by working on complex backend systems and scalable architectures.
- Be part of a team that fosters collaboration, innovation, and best coding practices.
- Work in a challenging and dynamic environment that supports continuous learning and career growth.
- Maintain a healthy work-life balance while contributing effectively."
