Category,Resume
business analyst,"Professional Experience
I am an analytical and strategic professional with extensive experience in project management, business analysis, and crisis management. My expertise lies in data-driven decision-making, identifying key connections, and optimizing processes to enhance business performance.
I thrive in dynamic environments, excelling at problem-solving, risk assessment, and stakeholder communication. My ability to structure information, develop scalable strategies, and adapt to high-pressure situations has led to tangible business growth and process improvements.
Project & Business Management Experience
7+ years of experience as a Project Manager, Business Analyst, and Crisis Manager across multiple industries
Expertise in PR strategy, monetization resume_classifier, digital tools, and brand positioning
Proven success in team leadership, process automation, and business restructuring
Work History
Project Manager | ML Group (Info Business)
Led strategic analysis and selection of effective PR and monetization tools
Implemented digital solutions to enhance product positioning and brand promotion
Optimized business processes for higher conversion and engagement rates
Project Manager, Account Manager & Sales | Magic Innovations (Innovative Technologies)
Managed B2B and B2C client relationships, driving customer acquisition and retention
Led negotiations, project execution, and delivery of high-tech solutions
Conducted market research and competitive analysis to refine business strategies
Head of Department | Comilfo (Event Industry)
Developed and scaled the department's structure, strategy, and client acquisition pipeline
Led a team in client relationship management, recruitment, and operational efficiency
Designed innovative approaches to event planning and service optimization
Project Manager & Sales | Euromedia (Innovative Technologies)
Built long-term partnerships with key clients, optimizing tailored tech solutions
Managed contract negotiations, sales strategies, and client satisfaction metrics
Designed and implemented data-driven decision-making processes
Key Skills & Competencies
Project & Crisis Management – mitigating risks and ensuring operational continuity
Business & Data Analysis – identifying key insights for informed decision-making
Process Optimization & Strategy Development – enhancing efficiency and profitability
Stakeholder Communication & Negotiation – ensuring seamless collaboration
Recruitment & Team Leadership
Key Achievements
Digital Strategy & AI Integration
Launched and managed a high-impact test blog project, mastering SEO, copywriting, crowd-marketing, WordPress, Facebook Ads, and LinkedIn Ads
Developed a structured content and promotion strategy, increasing organic reach and audience engagement
Continuously analyze, test, and refine AI tools, selecting the best for automation and process optimization
Department Building & Leadership
Successfully built a department from scratch, structuring workflows and team dynamics as a Project Manager
Recruited and trained a high-performing team, ensuring efficient operations and business scalability
Established seamless communication channels with clients, improving retention and satisfaction
Sales & Business Development
Personally managed 50% of the company’s key clients within an 8-person sales team, securing long-term deals
Applied data-driven sales strategies, improving conversion rates and deal closure speed
Risk & Crisis Management
Developed and implemented risk mitigation frameworks, optimizing time and financial resources for partners
Expert in high-pressure decision-making, problem-solving, and crisis adaptation
Team Leadership & Conflict Resolution
Skilled in motivating teams under tight deadlines, maintaining high productivity and morale
Proven ability to mediate and resolve conflicts, fostering a cohesive and results-driven team environment
Continuous Learning & Innovation
Passionate about self-education, consistently refining skills in business analysis, AI, psychology, and strategic management
Known for innovative, unconventional problem-solving approaches that drive efficiency and business growth
-Minimum bureaucracy. I am a supporter of quick and effective solutions at work. The hypothesis does not work, we discussed it and changed it to an improved one.
-The framework of the working day. I am result-oriented, one person needs 8 hours to decide, and another 3. In practice, my efficiency increases after lunch and I work until one in the morning, so I prefer to be tied to results rather than to a strict “being at work” ""from 9 to 18 (of course, if there are rallies, then this is understandable)
-It is advisable to see the prospect of career and financial growth, which is the basis of motivation for me."
business analyst,"Development and maintenance of documentation (functional and non-functional requirements)
•Participation in all stages of the SDLC from setting tasks to the developer to delivering the finished solution to the customer
• Testing of implemented functional blocks
•Participation in the process of improving the quality of development (making decisions within the working group and practical steps for their implementation).
•Working with the designer at figma on UI/UX to produce the best solution for the business.
•Research of competitors' applications.
•Writing a User Story taking into account the requirements of INVEST.
• Decomposition of Feature on User Story.
Projects:
Projects for the development of admin for merchants
I want to find a job where I will develop as a professional, work in a team of like-minded people and professionals in my field."
business analyst,"I have over four years of experience working as a Business Analyst and Product/Feature Owner, with a background that started in support and operations. I’ve worked across aviation, e-commerce, healthcare, and public sector projects — focusing on product development, team coordination, and process improvement. My experience spans outsourcing companies, in-house product teams, and early-stage startups, where I’ve contributed to both hands-on delivery and cross-team collaboration in dynamic environments.
I’ll be happy to share my CV if you’d like to learn more."
business analyst,"•Communicated with internal stakeholders to gather requirements and needed information for
analytics projects;
•Analyzed KPI and the performance of employees for different types of motivational programs,
and then consulted the recipients regarding the results if needed;
•Written technical tasks for data analytics dashboards and reports for Power BI, describing both business and visualization requirements, and led those projects to the finishing point.
•Created and kept up-to-date reports and presentations for the higher management.
•Had experience analyzing bank data with SQL.
•Created dashboards in Tableau for various projects."
business analyst,"Have an experience as BA in different domains like Fintech, Blockchain, Healthcare, E-Commerce, IoT, Retail.
Worked with ERP, CRM & Low-code systems.
Have an experience with stakeholders from USA & Europe."
business analyst,"I’m a Business Analyst with over 9 years of experience in IT and business. I’ve worked on a wide range of projects across eCommerce, fintech, pharma, and retail, mostly within outsourcing environments. My core strength lies in UI/UX-focused projects, building client-facing solutions from scratch and enhancing existing systems.
My background in business gave me a strong foundation in understanding customer needs, operations, and strategic planning. Over time, I transitioned into IT, where I bridge the gap between stakeholders and development teams — translating complexity into clarity.
I’m confident working across the full BA lifecycle:
•	gathering and refining requirements,
•	writing user stories and acceptance criteria,
•	managing product backlogs,
•	leading discovery and design sessions,
•	creating clear and concise documentation,
•	collaborating with cross-functional teams,
•	supporting implementation and testing phases.
On recent projects, I’ve been responsible for defining and optimizing features for web platforms with various third-party integrations — including payment systems, ERP tools, and marketing services. I work closely with UX designers to deliver features that balance usability, performance, and business goals.
My strength lies in empathy and systems thinking. I focus on understanding user pain points while maintaining a strong connection to business strategy and technical feasibility. I don’t just write requirements — I drive solutions.
I’m fluent in tools like Jira, Confluence, Miro, Figma, Notion, Postman, GDocs, and more. I adapt quickly to new tech environments and enjoy learning new systems.
My English is Upper-Intermediate, and I use it daily in meetings, documentation, and communication with global teams.
I bring clarity, structure, and a forward-thinking mindset to every project — ready to take on new challenges and contribute real value."
business analyst,"Business Analyst with 4+ years of experience in web and mobile app development, deeply knowledgeable in the software development life cycle. Proven expertise across e-commerce, EdTech, healthcare, logistics, and travel tech domains.
Proficient in requirements elicitation and documentation, team and stakeholder management, as well as data and process modeling.
Experienced in collaborating with cross-cultural teams spanning Europe, North America, and Australia.
— Led 7 discovery phases to elicit business requirements and define project scope, resulting in a seamless transition to the development phase
— Directed 7 development teams, orchestrating Scrum ceremonies, managing sprint backlog, and prioritizing tasks to ensure on-time delivery
— Facilitated 100+ requirements interviews and workshops with external stakeholders, including C-level executives
— Created pre-development BA artifacts (e.g., product vision boards, BRDs, mind maps, RACI matrices) that streamlined project planning and execution
— Authored 500+ user stories with acceptance criteria to accommodate functional and non-functional requirements
— Developed UML and BPMN diagrams to visualize complex flows and processes
— Designed low-fidelity prototypes to validate assumptions and improve early-stage decision-making
— Mentored several BAs, reviewing their work and providing feedback, contributing to their professional growth
— Conducted monthly educational workshops for the company's BA department, enhancing the team's knowledge base and skills
— Contributed to pre-sales activities by delivering work-breakdown structures, supporting the sales team in securing new business"
business analyst,"I have been working as a Business Analyst in IT past 7 years. I have experience in such domains: e-commerce, Logistik, Finance (Banks, worked over 9 years in this field), government projects
Skills:
SQL, communications with clients and team on the requirements, analytic thinking, understanding SDLC, Data Analysis, Atlassian Jira, Confluence, Visio, Balsamiq, Firebase, MS Office, MS SQL Server, Sybase SQL Anywhere, XML, JSON.
Writing project requirement documentation (PRD, SRS, API specification, A/B testing specification), create any type of diagram (UML, BPMN)
Responsibility as a Business analyst:
* Communicate with stakeholders to understand, collect and analyze the requirements;
* Analysis of concurrent for the purpose of further product improvement
* Creation of various diagrams (BPMN, UML) for a schematic representation of business processes and logic describing future functionality
* Translate business requirements into technical specifications;
* Writing software specifications, instructions, user stories, use-case, API specification, products metrics specification, A/B testing specification, how-to guidelines;
* Implementing a specification template;
* Participating in daily scrum meetings, sprint meetings and retrospective meetings;
* Mediating between business and technical teams;
* Сonducting webinars and presentations
*
Experience:
- Business Analyst:
Institute of Analytics and Advocacy
Sep 2023 – till now (1 year 4 months)
Turnkey-Lender
Mar 2021 - Mar 2023 (2 years)
Epicentr M
Oct 2020 - Mar 2021 (6 months)
Scallium
Dec 2019 - Oct 2020 (11 months)
NullGravity
Sep 2018 - Dec 2019 (1 year 4 months)
Coreteca
Aug 2017 - Sep 2018 (1 year 2 month)
- Senior Software Analyst (PM):
OJS Company ""Universal Bank""
Jun 2013 - Aug 2017 (4 years 3 months)
- Senior Engineer
Intesa Sanpaolo Group Ukraine (Pravex Bank)
Jul 2011 - May 2013 (1 year 11 months)
- System administrator
BMS SERVICE
Feb 2011 - Jul 2011 (6 months)
- Lead Software Engineer
Prominvestbank / Проминвестбанк
Sep 2007 - Dec 2010 (3 years 4 months)
- Engineer - programmer
Nikolaev petroleum
May 2007 - Aug 2007 (4 months)
- Engineer
Information Technology. Services & solutions
Nov 2006 - May 2007 (7 months)
I'm an IT specialist with over 17 years of experience in IT industry with expertise in Software (system) maintenance and Support (5 years), software аnalysis (4 years) also project management (1 year), and business analyses (7 years). My core strengths include, but are not limited to the following: business awareness and understanding business value, projects coordination, system migrations/integrations, incident and problem management, SQL, SDLC, Jira, Agile, Scrum, Waterfall, focus on results, self-motivation and team motivation, team player, sense of humor, positive thinking."
business analyst,"I’m a results-oriented Business Analyst with experience in financial analysis, market research, and process improvement across aviation and logistics sectors. I’ve worked on projects involving revenue optimization, competitor analysis, cost tracking, and customer profiling, contributing to measurable business growth and operational efficiency.
In my recent role at Cargojet Airways, I conducted revenue and transaction analysis to support cost optimization, improved data quality, and coordinated Agile project tasks. At Flight & Logistics Solutions and Arik Airlines, I led market entry research, internal audits, and financial reporting, using tools like SQL, Power BI, Tableau, and Oracle Cloud Applications.
I regularly collaborate with cross-functional teams, facilitate meetings, document project updates, and support decision-making through clear reporting and data visualization. My approach blends analytical thinking with stakeholder coordination to deliver actionable insights.
Currently, I’m looking to expand my expertise in advanced data tools, financial modeling, and larger cross-functional projects where I can make a strategic impact through data-driven solutions."
business analyst,"Skilled Business Analyst | Product Owner with five years of specialized experience across diverse IT sectors, including healthcare, CRM, ERP systems, and insurance application development. I blend practical expertise with a creative approach to problem-solving. My career philosophy is: ""I am a sculptor, transforming the hard stone of Product Ownership theory into the living beauty of practice!""
Current Project Responsibilities:
- Cross-Functional Collaboration: Partner with analysts, developers, and designers to design and implement new product features.
- Stakeholder Management: Work closely with Product Managers, Development teams, IT, external stakeholders, and end-users to ensure solutions are technically viable and meet user needs.
- Requirements Analysis: Conduct thorough requirements analysis, define use cases, and draft detailed functional specifications for software products.
- Documentation Creation: Develop and maintain comprehensive functional and technical documentation to support solution configuration, maintenance, and enhancement. Project Artifacts Creation: Develop key project documentation, including SRS, BRD, Project Vision, Context diagrams, Use Case diagrams, ERD/Class diagrams, Sequence diagrams, REST API descriptions, and detailed, interactive prototypes in Axure and Figma.
- Requirement Management: Manage the full requirements lifecycle, including prioritization, traceability, verification, and validation.
- Backlog Prioritization: Organize and prioritize backlog items, facilitate team discussions, and support decision-making processes.
- Testing and Feedback Gathering: Oversee testing phases, gather user feedback, and propose functional improvements to enhance product quality.
Additional Areas of Expertise:
- Market and Competitor Research: Conduct market analysis, user research, and competitor benchmarking to inform project direction and best practices.
- Product Metrics and Analytics: Analyze product metrics and dashboards to drive data-informed decisions.
- Project Discovery and Leadership: Lead project discovery phases, facilitate strategic meetings, and manage requirements throughout the project lifecycle.
- Process Establishment: Define and establish business analysis processes from scratch to streamline project management.
- Project Planning and Estimation: Execute comprehensive project planning, time estimation, and resource allocation.
- Team Operational Management: Oversee team operations, contribute to team.
Core Strengths and Merits:
- Versatile Project Engagement: Comfortable stepping into projects at any stage, ensuring a smooth transition and immediate value, whether in early discovery or nearing release.
- Dynamic Requirements Gathering: Power up the requirements elicitation process using diverse techniques and tools—brainstorming, real-time prioritization, and visual aids like diagrams and prototypes.
- Team Alignment and Communication: Act as the glue within teams, keeping everyone aligned on business goals to prevent miscommunication and to ensure alignment with stakeholder expectations.
- Client Relationship Building: Foster strong client relationships, enhancing trust and ensuring they see the partnership as integral to their business success.
- Efficient Backlog Management: Meticulously manage and organize the backlog to ensure it’s easy for team members to navigate, prioritizing tasks for optimal workflow.
- Clear Client Reporting: Communicate accomplishments and project plans to clients in a way that’s both informative and accessible, keeping them informed and confident in our progress.
- Expectation Management: Balance client desires and practical development needs, preventing ad hoc demands and managing scope creep to keep estimates and timelines realistic.
- Thorough Documentation Creation: Develop comprehensive documentation during each development stage, providing a knowledge base that facilitates future growth, product support, and onboarding for new team members.
I am a skilled Business Analyst | Product Owner seeking opportunities in either new or ongoing projects where I can leverage my practical skills in business analysis and product ownership. With a focus on effective communication with stakeholders, Scrum process management, and adept problem-solving, I aim to contribute to project success and ensure alignment with business goals."
