Category,Resume
c++,"Projects: Windows Utility Applications
Product-oriented development of performance and system optimization tools for Windows. All apps were built from scratch using modern C++ (C++17/20) and cross-platform Sciter UI. Actively contributed to core feature design, optimization
Technologies: C++, Sciter Reactor, Python, Steam API, GPU/CPU/RAM overclocking modules, WinAPI, SQLite, Git, JSON, CI/CD pipelines
PC Cleaner – System Cleanup & Registry Optimizer
A utility tool for cleaning residual files, optimizing the registry, disabling unneeded startup items, and improving overall system responsiveness.
Responsibilities:
- Designed and implemented scanning engine for detecting junk files, invalid registry entries, and unneeded temp data.
- Refactored file scanning logic to improve performance and reduce memory usage.
- Created cleanup rules and exclusion filters for sensitive system areas.
- - Built Python automation scripts to simplify workflows (e.g. repo synchronization, projects template generation, localization).
Impact: Improved scan time by 2–10×; product successfully released and contributes to millions in annual revenue.
Driver Updater – Driver Management Tool
Scans the system for outdated or missing drivers and updates them from a driver repository.
Responsibilities:
- Conducted competitor analysis through reverse engineering to understand market features and strengths.
- Implemented logic for detecting hardware, matching drivers, and updating with user consent.
Game Buff – Game Performance Booster
A desktop tool focused on improving gaming experience by freeing resources and optimizing hardware usage.
Responsibilities:
- Implemented features for safe overclocking of CPU and GPU.
- Improved RAM cleaning functionality (5× efficiency improvement in memory freeing).
- Added “Task Optimization” system to suspend heavy background processes and resume them after gameplay.
- Integrated Steam API to fetch games list, check compatibility with system specs
One of my most notable achievements has been the automation of routine processes, which significantly improved my team’s efficiency. In particular, I developed Python scripts that reduced the time required for software localization from a full day to just about 30 minutes. I also managed to significantly enhance the performance of several features. For example, the effectiveness of the RAM Boost feature in the Game Buff application improved approximately fivefold. Additionally, I optimized the scanning speed in the PC Cleaner utility, achieving performance increases ranging from 2x to 10x depending on the scenario. I created a Proof of Concept (PoC) for a driver scanner and updater and conducted reverse engineering of competitor products, which helped identify areas for improvement in our own solutions.
These contributions had a tangible impact on the success of the products and the development of the team. I directly contributed to the successful release and monetization of 2 products that have generated millions of dollars in revenue for the company. Additionally, I mentored new engineers, helping them onboard quickly and start contributing to the project productively
In my next role, I aim to join a team of proactive, honest, and professional individuals and contribute to modern projects that utilize up-to-date technologies. A flexible work schedule and a transparent system for regular salary reviews are very important to me.
At the same time, I would like to avoid working with outdated legacy code or in a toxic team environment. Repetitive, monotonous tasks are not a good fit for me. I also strongly oppose excessive control practices, such as activity trackers that take screenshots or monitor mouse movements, as I believe trust and autonomy are key components of productive work."
c++,"Luxoft | Regular C/C++ Software Engineer
Nov 2021 – Present
Ukraine, Kyiv | Remote
Participate in the development and integration of components for a virtual environment (ECUs/Machines, and automated testing support). Provide core parts for Automotive Middleware, including networking power management for Telematic Control Unit (TCU). Integration of an AUTOSAR Classic stack and business logic through the different projects. Development of key performance indicators for real time system performance diagnosis. Provide the MCAL configuration.
Technology and Skills:
Embedded C, C++, Classic AUTOSAR, CMake/Make, Bash Shell, Lauterbach TRACE32, Python3, Vector Davinci Configurator, Vector Davinci Developer Classic, GTest Framework, Jenkins CI/CD, CodeSonar SCA, Mentoring, Integration, Soldering.
Hardware:
STM8 (STM8AL3136), AURIX TriCore TC37x.
IT Education Academy (ITEA) | C/C++ Mentor
Dec 2021 – Jan 2023
Ukraine, Kyiv | Remote
Conducted extensive training programs covering C and C++ software development for students around the world and provide a mentorship. Set up the internal test-environment with GitHub Actions to facilitate students in completing their homework assignments while learning the appeared errors in build processes and unit tests. Grade the Course Final Project.
Technology and Skills:
Git, GitHub, GitHub Actions, C/C++, Google Test Framework, CMake, Python3, Mentorship.
NDA | C/C++ Firmware Developer
Feb 2021 – Jul 2021
Ukraine, Kyiv | Hybrid
Took part in development of IoT ecosystem devices for smart lightning connected by LoRaWAN. Engaged in the creation of bare metal software tailored for control street lighting through the applying of LoRaWAN and MQTT IoT protocols. The IoT device included MCU and WiFi SoC.
Technology and Skills:
Embedded C, C++, STM32CubeIDE, Python3, MQTT v3.1, TLS 1.3, MQTT Mosquitto, OpenSSL, Prototyping, Soldering.
Hardware:
STM32 (STM32F103C8T6 ARM Cortex M3), ESP32 (2 Core Xtensa LX6), SX1276, SIM800L/C.
RoboCode | Embedded Systems Education Instructor
Aug 2017 – May 2021
Ukraine, Kyiv | Hybrid
Led comprehensive training programs encompassing C/C++ embedded software development, Python applications in computer vision and machine learning, as well as foundational skills in schematic design and PCB soldering.
Technology and Skills:
C++, Embedded C, Python, Prototyping, Soldering, Mentorship.
Hardware:
Arduino Family Boards and great amount of peripheral Sensors/Actuators, STM32, ESP32, K210."
c++,"10+ years of experience in marketing and PR.
Sectors:
- Investment banking
- FMCG
- Financial Advisory
- Fintech (Roboadviser)
- Law
Abilities:
- Management
- Budgeting
- Customer experience (CJM and NPS)
- PR (+ work with media inquiries)
- Brand Strategy
- Project Management (goal-oriented: digital campaigns, events, collaborations)
- Webinars and presentations (as a Speaker)
I have a creative team with versatile functionality (digital, PR, event management, copyright).
From recent experience:
1. Created a multichannel acquisition strategy, which involved the creation of a chatbot for further and easier communications with clients and collecting personal data in CRM.
2. Developed a series of campaigns on lead generation in the chatbot using content relevant to the target audience.
3. As a result of the affiliate campaign, the chatbot collected data from more than 5,000 people (in 2.5 months); customers and campaign partners received an increase in sales."
c++,"[ENG]
Development of an advanced calculator with the ability to take higher-order derivatives for functions of two variables (C++, QT, GitHub, teamwork)
A program for calculating a nutritional plan for a week for a family, taking into account allergies and wishes (Python, QT, GitHub, teamwork)
Website for ordering food delivery (JS/HTML/CSS/PHP, GitHub, teamwork)
Power grid resistance calculator (JS/HTML/CSS, GitHub, teamwork)
Creating an information bot for a handyman company (Python)
Development of an algorithm for generating crosswords of different types
Bachelor graduate work ""Mathematical models of stock index optimization"" (Python, Matlab)
----------------------------------------------
[UA]
Development of an advanced calculator with the ability to take higher-order derivatives for functions of two variables (C++, QT, GitHub, teamwork)
A program for calculating a nutritious plan for a week for a family, taking into account allergies and wishes (Python, QT, GitHub, teamwork)
A website for ordering food delivery (JS/HTML/CSS/PHP, GitHub, teamwork)
Calculator for calculating the resistance of the power grid (JS/HTML/CSS, GitHub, teamwork)
Creating an information bot for a company of handymen (Python)
Development of an algorithm for generating crossword puzzles of various types
Diploma work ""Mathematical models of stock index optimization"" (Python, Matlab)
Bachelor's degree in ""applied mathematics""
----------------------------------------------
Bachelor's degree in ""applied mathematics"""
c++,"I'm a software developer with 6 years of experience, mostly on C/C++ stack. My strongest skills are C/C++, embedded systems, kernel modules/drivers in Linux based systems. I can write high performance program code in C/C++, both in user space and kernel space. I have experience in web backend programming in C/C++, Python and Java languages. Also, I have a Udemy certificate in Ethereum smart contracts, Solidity and Web3. I can easily learn and adapt to new technologies and environments.
Done jobs and projects:
-Python/Django: Lectured students in python and django web backend development.
-C/C++, Go: Nginx web server, Content Delivery Betwork
-C/C++: ProxySQL database server.
-C/C++: Operational system(OpenWRT - Linux Distro) for smart home hub router.
-Python/Flask: Backend of web application's AI engine.
-Java/Spring Boot: Backend for payment machine terminal application.
-C/C++: Remote desktop control application."
c++,"I have experience working with Arduino microcontrollers, modeling programs, soldering electronic components, and now I'm working with network equipment, trying to develop in different directions in IT.
I believe that my most important achievement was the work on creating prototypes of electronic devices, from idea to practical implementation. This helped me understand the process of the full cycle of creating electronic equipment.
I want to work on interesting projects."
c++,"I work as a leading software engineer (3+ years). I have 9 years of experience in C/C++, microcontroller software development (Atmega/STM32: DIn, DOt, SD-card, I2C, SPI, DAC, ADC, UART, CAN, USB) in C. API for Windows (Qt C++), providing communication between the PC and the microcontroller. Testing and refactoring of the written code.  Reading electronic circuits and debugging boards. Developing software documentation and drafting technical specifications. Commissioning and adjustment works at the facility.
I understood the legacy code in a programming language that I knew only the base of (Delphi) and made it viable."
c++,"GlobalLogic:
Sep 2023– Feb 2024
Trainee C software engineer
GlobalLogic:
Jan 2019 – Apr 2023 (~4 years)
Developing tests for the custom framework. The framework was aimed to provide testers with remote boards to work with cell phones, other devices.
Developing HTTP/HTTPS server, reserve DNS resolver, wifi scanner, networking,  small C programs"
c++,"My experience rather related to IT industry at all. Regarding c++ it takes > 1 year in commercial area plus ~ 2 years in noncommercial one for now.
Other Languages are : Delphi (>5 years), pure c (>2 years), java (half year). For now c++ is my favorite one.
Backend c++ related e.g. where perfomance is crucial. No UI tasks, however have skills in UX/UI.
RDMS/NoSQL DB Design & implementation, asynchronous programming"
c++,"I have participated in several projects that have allowed me to develop technical skills and gain practical experience. One of the key projects is developing a prototype smart home device at Global Logic using the Matter protocol.
Developed and implemented a smart home device prototype using the Matter protocol at Global Logic.
Successfully completed the ""C Essentials - Part 1"" course, solidifying foundational programming skills in C.
Completed courses in C++ programming (""Learn C++ Programming - Beginner to Advanced: Deep Dive in C++"") and OpenSSL (""Learn OpenSSL""), deepening knowledge in development and security.
Finished training in computer hardware (""Computer Hardware"", Cisco certified) and cybersecurity fundamentals (""Foundations of Cybersecurity"" by Google), mastering Linux, SQL tools, and vulnerability analysis.
Created a simple web server on the ESP32 module, enabling remote control and monitoring capabilities for IoT applications.
Developed and optimized encryption algorithms, data structures, and binary tree traversal methods in C++/C projects, enhancing system security and efficiency.
Contributed to the development of Arduino-based projects (Digispark, Arduino Nano), including writing scripts in the Arduino IDE (attiny85), simplifying hardware interactions.
Performed simulation of electronic circuits and configured Linux environments (Debian, Kali, Ubuntu), ensuring robust system performance and security during on-the-job training.
I also know German pre-intermediate.
I am looking for a job where I can use and develop my skills in embedded development, IoT, and C++/C programming. I want to work on interesting projects."
c++,"Development of concepts of digital computing devices, algorithms, Hardw code, circuit design and tracing of multilayer PCB boards such as:
- Development of a high precision inertial navigation system based on STM32H743, compatible with MavLink.
- Development of Hardware/Soft of a smart home.
- Visual tracking system.
- Development of algorithms and software for a robotic car painting system.
And many other projects.
- Development of devices with interfaces such as PCI, PCIe, CSI, I2C, CAN, UART, RS485, HDMI, SATA, etc.
I have patents for inventions in the field of electronics and energy.
I will consider offers"
c++,"High performance network storage solution specifically designed for audio and video workflows for the media and entertainment industry (6 years).
High-speed data and multiplexing on-demand video streamer over an IP network over coax (2 years)."
c++,"My portfolio includes a 2D game written in C using SDL 2, and a chat room written in GTK 3.0, SQLite, OpenSSL, and cJSON.
- In the game, I was responsible for implementing basic character movement mechanics and music playback.
- In chat, my task was to transfer data between the server and the client.
I also have a link shortener in PHP, a calculator in JS, and several other projects in NodeJS and React.
I also have experience with the WordPress platform."
c++,"I prefer back-end development. I don't have height experience in Embedded. I didn't work in gamedev.
I participated in development network applications before.
I participated in development migration applications for client databases in the last company."
c++,"As a C/C++ developer took an active role in systems integration and core application in a company that develops satellite navigation receivers. My responsibilities included:
- Development of desktop and embedded software for satellite navigation receivers.
- Testing and debugging software for satellite navigation receivers using self-developed software.
- Code optimization and refactoring.
- Involved in complete life cycle of software - designing, coding, testing, debugging and support.
Also working with version control management (Git, SVN), had basik experience with Qt framework."
