Category,Resume
customer support,"Online Customer Support and Account Management, where I effectively assist customers
by providing helpful, timely, and professional service.
I excel in building strong, long-term relationships with customers through positive interactions, ensuring their satisfaction and loyalty. Additionally, I am proficient in using CRM systems to manage and track customer information, ensuring personalized and efficient service."
customer support,"I worked for 3 years in the FinTech field (an online-banking product)
Supported customer questions and issues by gathering data, analyzing needs, evaluating possible resolutions, and implementing the best solutions.
Recommended solutions to complex situations through research and critical thinking and escalated customers to supervisors for enhanced support.
Delivered exceptional customer service by prioritizing emergency issues and developing and employing workarounds to solve problems expeditiously.
Documented customer interactions in computer systems and assisted cross-functionally with billing and technical support to deliver high-quality customer service.
Contributed ideas and practical solutions to support process improvement efforts.
Participated in ongoing training to learn new products and enhance skills to optimize customer support delivery.
Generated reports to track performance and analyze trends.
Documented and resolved several inaccuracies in internal scripts for working with customers, which led to an improvement in the speed of customer handling and better information accessibility by 33%.
Helped in the creation of new and improved internal documentation for working with customers and training new employees.
Managed to maintain an 85-90% minimum customer satisfaction rate of my performance and ability to assist.
Never missed deadlines.
Collaborated with different teams to share ideas on how to improve working processes, and got permission to be trained for a different task in the company, which allowed our team to be prioritized for promotions and have more respect from leaders.
I would like to improve in the Technical Support field and possibly grow to Support Team Lead or Support QA Agent
Documented and resolved a number of inaccuracies in internal scripts for working with customers, which led to an improvement in the speed of customer handling and better information accessibility by 33%
Helped in the creation of new and improved internal documentation for working with customers and training new employees
Managed to maintain an 80-90% customer satisfaction rate of my performance and ability to provide assistance
Never missed a deadline
Collaborated with different teams to share ideas on how to improve working processes, and got permission to be trained for a different task in the company, which allowed our team to be prioritized for promotions and have more respect from leaders.
Helped manage a small team and assisted them with any questions due to superior product knowledge."
customer support,"I have over 3 years experience working with a fintech company as a customer support specialist and over these 3 years I always have  excellent customer satisfaction rate of 95%. I have experience working with Intercom,zendesk,Jira,click up, slack and other SaaS tools.
I have good communication skills and i am a fast learner. I can adapt to any condition and i can work in a fast pace environment."
customer support,"I worked in the position of tech support, in the helpdesk of the company for more than 3 years, where I brought about 3000 customers, set up communication with customers in a good way, where they felt more free as a friend, worked with custom crm, google docs and google spreadsheets, and ip telephony such as asterix, zoiper and others, skillfully set up both computers and faxes, printers, routers and other home appliances,Later I moved to a gambling company where I work and now I work in different positions from l0 to l2, I work with crm system, ticket system, back office programs, google spreadsheets and zabbix, automated mailing on telegram chats through handwritten code in python, I have certain goals for the future, I would like to move to the front-end position, I am currently studying anglican and taking advanced training courses
brought about 3000 clients to the company, automated mailing in telegram chats,
no jokes with clients on a regular basis, friendly team, no salary delays, no unreasonable fines, motivation to improve skills in the position, compensation for sports/language courses, no overtime."
customer support,"SAP Implementation Specialist
Ministry of Defence of Ukraine / Armed Forces
Dec 2023 – Present
•	Leading SAP implementation projects (GRC Access Control, Defense & Security modules)
•	Managing secure access, compliance, and user provisioning workflows
•	Collaborating with SAP consultants and internal security divisions
•	Supporting documentation and onboarding for SAP users across military units
Team Lead (part-time)
MasterCall LLC (remote)
Oct 2024 – Present
•	Managing a team of 14 support agents for a CFD-trading platform
•	Handling KPI reviews, quality assurance, and shift planning
•	Creating scripts and educational materials
•	Maintaining team performance while serving in the military
General Team Lead
MasterCall LLC
Apr 2018 – Feb 24, 2022
•	Led a multilingual support team of 60+ agents across multiple CFD-trading projects
•	Conducted interviews, onboarded new hires, and trained future managers
•	Built internal documentation, scripts, and knowledge bases
•	Improved KYC flow, increasing document approval rate to 90%+
Team Leader
Flyhacks (airfare booking startup)
May 2016 – Oct 2017
•	Promoted to Team Leader after 6 months
•	Handled escalated client cases and team scheduling
•	Onboarded and trained new agents
Customer Support Agent
Ukraine International Airlines (UIA)
Jun 2015 – Apr 2016
•	Responded to calls, chats, and emails
•	Issued tickets using Gabriel and Amadeus GDS systems
•	Built and scaled the Customer Support Team at MasterCall from 6 to over 60 agents
•	Trained and mentored new team members who were later promoted to managerial roles
•	Led the update of the KYC procedure, resulting in a consistent 90%+ document approval rate
•	Successfully balanced military service and civilian team management, demonstrating strong adaptability and ownership
Not ready for night shifts, or shifts after 5 PM."
customer support,"Role: Sales Development Representative (SDR)
• Conducted outbound prospecting and lead qualification.
• Engaged with potential clients through LinkedIn, email, and cold calls.
• Managed and tracked leads using HubSpot, Sales Navigator, and Salesloft.
• Researched and built lead lists using Apollo and ZoomInfo.
• Technologies & Tools: HubSpot, LinkedIn, Sales Navigator, Salesloft, Apollo, ZoomInfo.
Role: Customer Support & Service Representative
• Assisted customers by scheduling installations, resolving issues, and providing support related to our department and beyond.
• Acted as a key point of contact between customers and subcontractors to ensure smooth service.
• Handled inquiries, complaints, and troubleshooting to enhance customer satisfaction.
• Maintained detailed records and reports for internal tracking and senior management.
• Technologies & Tools: CRM systems, Excel, Google Sheets, internal communication platforms.
Role: Lead Generation Specialist
• Researched and identified potential leads for business development.
• Built and maintained lead databases for outreach campaigns.
• Assisted in outreach and engagement strategies to generate qualified leads.
• Technologies & Tools: Lead generation platforms like Mojo, CRM systems like Monday.
Role: Project & Sales Manager / Team Coordinator / Content Planner
• Led the planning and execution of conferences and seminars, managing all stages from concept to implementation.
• Coordinated teams to ensure smooth project workflow and successful event organization.
• Managed sales operations, including client communication and partnership development.
• Created and organized content for social media, enhancing brand presence.
• Tracked and analyzed project data using Excel and Google Sheets to improve efficiency.
• Technologies & Tools: Excel, Google Sheets, social media platforms.
Skills Developed: Project management, sales coordination, event planning, team leadership, content strategy.
Expectations from Work:
Growth opportunities: I am looking for a role that allows for continuous learning and professional development.
Work-life balance: I value a healthy work-life balance and appreciate companies that support flexibility and time management.
Collaboration and teamwork: I enjoy working in a collaborative environment where team contributions are valued and communication is open.
Clear expectations: I prefer roles where responsibilities are well-defined, and I have the tools and resources needed to succeed.
What I Don’t Want:
Micromanagement: I thrive in environments where I am trusted to manage my work and make decisions independently.
Lack of growth opportunities: I would prefer to avoid roles that do not offer chances for skill development or career progression.
Toxic work culture: A negative, unproductive, or highly competitive environment is not something I’m looking for."
customer support,"In June 2022, she started working at P4P as a support manager, working in this position until April 2023, and was promoted to the position of VIP Account Manager in May of the same year.
In August 2023, she started working as a support manager at Goolglobal, and left the company due to redundancy at the end of April 2024.
She has worked in the following CRM systems:
- Zoho CRM (Livechat, Desk);
- LiveChat/Helpdesk
- Omnidesk
and others, which you can find in my CV"
customer support,"Primary school teacher at Sosnivsky Lyceum #13
2015 - 2018р.
Sales manager at the online store Personalcase
2022 - 2025р.
I am a motivated, purposeful and responsible person with excellent communication skills
and a desire for continuous professional development.
I worked as a primary school teacher, so my stress resistance, creativity and ability to react quickly are developed at the highest level. I also have experience working as a sales manager in an online store, which allows me to quickly understand the needs of customers and the ability to quickly respond to all requests. I am actively looking for new opportunities to improve my skills and achieve high results in my work."
customer support,"• October 2021 – March 2022 – Operator of gas station ""WOG""
• March 2022 – October 2022 – Manager of gas station ""WOG""
• March 2023 – June 2023 – Sales manager of ""Boss Auto""
• жовтень 2021 – березень 2022 – Оператор АЗК «WOG»
• березень 2022 – жовтень 2022 – Менеджер АЗК «WOG»
• березень 2023 –червень 2023 – Менеджер з продажу «Boss Auto»"
customer support,"Experience of a sales manager:
Sales Manager, Mobile Optics (October 2023-November 2023)
- Confidently sold glasses using a high level of communication and persuasiveness.
- Actively participated in creating a positive image of the company and maintaining its reputation.
- Worked with customer objections.
- Made sales of more than UAH 200 thousand during the period of work.
Entrepreneurial experience:
Visa application to Canada (March 2023-April 2023)
- Development and implementation of a strategy for attracting customers through Instagram and cooperation with bloggers.
- Designing a profile and editing intriguing videos (After effects, Sony Vegas), posts were designed through Canva
- Communicating with the client and arranging a visa for him
Logistics forwarder (May 2023-August 2023)
- The principle is the same, but I worked for myself
- Used Della, Lardi platforms to fulfill orders\.
- Developed people and document management skills."
customer support,"Worked as a sales manager in TrackEnsure and as a dispatcher(position consisted from following positions’ responsibilities: sales, customer support, billing agent, complaint manager, logistics and lead generation(locally)) in WorkFlow
Both positions were in English (first one was for American audience, the second one is for Canadian one)
2+ years of experience in creating videos and banners for tt and fb mediabuyers
Traffic arbitrage 1 year of experience. I know how to create a campaign and make it profitable.
Top daily profit $980
Full integration of ServiceTitan system in Techvill!
Know how to make generative creatives for affiliate marketing and business!
Conversion rate in sales from 60 to 85% depending on the company"
customer support,"I have worked as a customer support representative in pharmaceutical company named Helfy. I was responsible for answering to customer requests via E-Mail, Chat and Phone. I have an experience with such CRM as Zendesk, LiveAgent, HubSpot. Also I was responsible for opening claims with DHL to find lost parcels."
customer support,"Customer support
-Manage large amounts of incoming phone calls and chats
-Identify and assess customers’ needs to achieve satisfaction
-Build sustainable relationships and trust with customer accounts through open and interactive communication
-Provide accurate, valid and complete information by using the right methods/tools
Handle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolution
Keep records of customer interactions, process customer accounts and file documents
Follow communication procedures, guidelines and policies
Take the extra mile to engage customers
CRM , CRM book"
customer support,"- Senior Customer Support Manager (Chat)
Pro Gaming Software Ltd.
- AI Bot Tester
Pro Gaming Software Ltd.
- Payment Manager (additional shifts)
Pro Gaming Software Ltd.
- Senior VIP Customer Support Manager (Chat)
Pro Gaming Software Ltd.
- Bonus Manager (Loyalty Department)
Pro Gaming Software Ltd.
- Product Account Manager
Division DP"
