Category,Resume
data analyst,"Team Lead Data Analyst
Managing a team of data analysts (17 BI and DA+3 BA).
Development of KPI dashboards and operational ones
Implementation from requirements identification to post-production support
Interaction with stakeholders, both line managers and top management
Preparation and leadership of the Holding's analytics migration to Big Data (Spark cluster + DBT + Click House + Power BI)
Development and conducting of trainings on working with new technologies (developed and implemented a course for 4 cohorts of analysts of 30+ people)
Preparation of analytical calculations for migration to MS Fabric
Leading the automatic code review based on regularizers and AI
Developed and implemented the entire analytics unit for the Logistics Unit of the Holding, from operational warehouse, transportation, administrative to financial
Led a team to develop a model for forecasting physical turnover of goods for budget preparation using an AI forecast model.
Interacted with external contractors to prepare for migration to Azure.
I have an analytical mindset, am sociable, flexible, stress-resistant
On the position of CIO
Building an IT for Business service from scratch. Planning, development of technical specifications and implementation of software functionality based on 1C 8.2/8.3 USP. Professional knowledge of computer and network equipment, construction and administration of local networks, implementation of new services based on MS services and *nix systems.
Managing a team of Data Analysts / Power BI developers to implement analytical calculations based on Big Data
Developed a new reporting system for one of the key blocks of the FMCG Holding - Logistics. Operational reporting and Dashboard for key KPIs.
Organization and construction of Call Centers with 100 seats or more
Participated in the development of vending mail terminals
Automation of the logistics department in terms of transportation planning and cost control
Development and implementation of an online report on the calculation of motivation for sales managers
Development of a technical task according to business needs for the implementation of CRM based on the Terrasoft BPM-online (Creatio) software product for the sales team. Integration of CRM with 1C. Putting into operation
Getting a position for the full realization of my skills and knowledge in your company, development and career growth."
data analyst,"Have over 2 years of experience in data analytics, including a role at Vodafone Ukraine where I progressed from Intern Data Analyst to Data Analyst. My responsibilities included building and automating data pipelines using Airflow, Python, SQL, and SAS, which ensured high reliability and efficiency of data processes across departments. I worked closely with Oracle, Vertica, SAS, and Excel data sources, unifying and standardizing data formats to enable consistent and accurate reporting. I designed Tableau dashboards used by business and product teams to track KPIs, evaluate performance, and identify actionable trends. I also initiated data analysis initiatives focused on loss prevention, uncovering critical patterns that helped mitigate potential revenue risks.
In addition to my work at Vodafone, I gained experience as a freelance Python developer, where I built custom Telegram bots for small business automation, developed web scraping tools for data collection, and delivered lightweight automation solutions that improved operational efficiency.
Delivered business-critical Tableau dashboards at Vodafone Ukraine, enabling more agile and informed decision-making across product and strategy teams. Improved the quality and automation of data pipelines used for recurring reports, reducing manual input and processing time.
As part of my bachelor’s diploma project, I developed a Generative Adversarial Network (GAN) for image augmentation. The model was trained to generate realistic variations of existing images to enrich training datasets. In addition to building the GAN architecture and training pipeline, I designed a user-friendly web interface that allowed users to upload images and receive augmented results in real time
Strengthened my analytical and technical skill set through several courses and certifications, including Tableau Advanced (Softico), Machine Learning and Neural Networks and Deep Learning by Andrew Ng on Coursera, and Basics of Statistics on Stepik. Participated in the INT20 Hackathon, where I contributed to a sentiment analysis project for movie reviews, focusing on NLP preprocessing and model evaluation."
data analyst,"I am a consolidated information analyst. Today I help make strategic decisions in the company. My tasks include collecting, processing and interpreting data to identify trends, forecasting market trends and identifying opportunities to optimize business processes and increase profitability. I am proficient in MS Excel, Power Query, Power Pivot, have a basic understanding of SQL, Tableau/Power BI, Google Analytics, Amplitude, PostgreSQL, Python, A/B testing. I use analytical tools, models, and software to create reports and dashboards. I collaborate with marketing, finance, IT and other departments to improve strategies and achieve business goals. I have participated in many projects:
- Studying the client to give them the appropriate status - this helps to improve the conditions for the client and retain them in the company;
- 5 models of salary calculation - studying new conditions of motivation helps to avoid demotivation of employees.
- statistics on the structure of the company - collection of key indicators for three years of work, with a detailed analysis of the company's activities down to the subdivision. It helps to understand the dynamics of the company's work, identify the causes and areas of lagging behind, and, based on the example of successful areas, regulate further work.
In general, the work is very interesting, there is always something to think about and understand.
Having the ability to query and build models, I optimized reports to quickly get up-to-date information and be able to deploy data as needed. It saves a lot of time. Developed about 10 analytical and marketing reports. Conducted an in-depth analysis of revenues, which revealed an unaccounted-for impact on targets, leading to an increase in payroll.
I have a desire to get opportunities to improve my skills in data processing, statistics, and machine learning. Ability to effectively collaborate with other teams and employees to share data and provide mutual support in analytical tasks. I want to work with advanced data analysis tools and use the latest technologies to optimize workflows. I do not want to work in an environment where there are no opportunities for continuous self-improvement and growth in the analytical field.I do not want to work in an environment where there is no support and cooperation with colleagues, which complicates analytical tasks."
data analyst,"I have knowledge of SQL and Python. Also, I have hands-on experience in Google Sheets and DBeaver, Big Query and Looker Studio, Tableau and Power BI, Jupyter Notebook and Colab.
Besides I have experience in working with customer and product databases, typesetting, correction and printing of text, processing applications from customers and communication with customers
So these are some of my projects
1.Analysis of advertising campaigns.
The task of this study was the processing and analysis of databases with information about advertising campaigns. The main goal is to show key metrics and indicators for these campaigns, with the possibility of filtering by campaign and date. That project includes metrics
like total spend, CPC, CTR, CPM, and ROMI.
Done with DBeaver(initial PostgreSQL request) and Looker Studio(visualization).
2.Conversion rate analysis
Database analysis on how users go through the steps from registration to the first payment. Study of user behavior in general and each stage separately. Construction of a funnel of stages from registration to payment for the service. Filtering option has also been added.
Done with Tableau.
3.Research on the behavior of media application users.
The cohort was created according to the following parameters:
* Country USA
* Android and iOS platforms
* period June 2023.
In the first block, I compared the events Any Active Event and Play Song or Video, daily;
* The number of users who performed the event
* The number of completed events
* Built a graph of user retention from the Welcome event to the above-mentioned events.
In the second block, I explored conversions depending on the platform;
* Conversion into passing the funnel daily
* Average user onboarding time per day
* User onboarding funnel, from the Welcome event to the Play Song or Video event.
Finally, I built a Journey Map from the Start Session event to the Play Song or Video event, to highlight the main paths and analyze user behavior.
Done with Amplitude.
Proficient with Google Sheets to define engagement metrics, create a pivot table, and conduct cohort analysis.
Effectively used SQL (in particular, PostgreSQL) to create queries for database analysis in DBeaver and BigQuery.
Built comprehensive and accurate data dashboards to help users quickly understand information and find insights, using Looker Studio, Tableau and Power BI.
Effectively worked with Python (Pandas) in the Google Colab service to provide answers to the customer's questions, both general and more specific.
I am looking for an entry-level job in Analytics and really want to showcase my analytical skills and technical knowledge. Job that let me work with and learn from a great team and get good paid.
I have knowledge of SQL and Python. Also, I have hands-on experience in Google Sheets and DBeaver, Big Query and Looker Studio, Tableau and Power BI, Jupyter Notebook and Colab."
data analyst,"What do you want to optimize/reinvent in your processes? I’ll present a tailored plan to make it happen
Hi, I’m an Operations Specialist with 4+ years of experience in IT. Streamlined workload within a high-paced, cross-cultural environment (product & outsource, headcounts 70 - 2 200): managed global operations, onboarding & communication w/ stakeholders, newcomers, vendors [Ukraine, US, LATAM, Europe, Asia].
Along with having a data-driven, strategic and detail-oriented approach I’m passionate about further exploring Operations & Analytics
Enhanced benefits' implementation via SWOT analysis
Accelerated invoice processing (by 85.7%) via RCA analysis
Improved benefits' reporting procedure (by 63%) via RCA analysis
Created a roadmap for internal backup support (strategized 57+ case scenarios)
Tailored L&D tickets’ categories to enhance submission accuracy (by 80%) via RCA analysis
scope: 1103 tickets, 440+ newcomers, 160+ presentation meetings, 10+ vendor contracts
Great command of: Atlassian suite, task management platforms, visualisation tools, etc
C1 English, B2 German
learning SQL
theoretical background: A/B testing, Inferential & Descriptive statistics
Crucial things for me are:
- a set of KPI/competency matrix for career growth;
- clear and honest communication style within the team, proactive feedback culture;
- location for hybrid or on-site: Kyiv"
data analyst,"Motivated data analyst intern skilled in analyzing complex datasets, deriving actionable insights. predictive modeling and data visualization. Proven ability to work independently or as part of a team with a commitment to take on responsibilities as needed.
Have experience with several projects:
1. Product metrics  and revenue cohort analysis  with visualization in Tableau:
this project  extracts and analyzes data to evaluate product metrics (such as Revenue, MRR, ARPPU,  etc.). It utilizes segmentation techniques and cohort analysis to identify patterns in user behavior across different customer cohorts. Visual reports in a dashboard are created to support data-driven decision-making and improve business strategies.
2. Key advertisment metrics and their visualization with Python (Mathplotlib, Seaborn):
this project  analyzes data to evaluate key advertisment metrics such as CPM, CPC, CTR and ROMI for advertising campaigns in Facebook.  Statistical concepts  are used for the analysis (range, correlation, distribution, linear regression) to evaluate the effectiveness of ads. The project emphasizes optimization and generating visual reports to form marketing strategies and increase ads performance.
3. A/B testing: analysis and presentation of the results:
in this project hypotheses were formulated, A/B testing parameters were calculated, results were analyzed and statistical significance of the results was checked. Based on this, visualization and conclusions were built for effective decision making.
My training was diligent and effective, which is reflected in the successful implementation of several projects including the final project.
In my previous job, my performance was assessed by providing bonuses and awards.
My goal is to get a job in a reputed company where I can use my skills and knowledge to deliver good results to data-driven strategies and  business growth."
data analyst,"Summary:
Data Analyst with 7 years of experience specializing in Tableau reporting, SQL, R, and knowledge of Python and
machine learning. Demonstrated ability to process complex datasets and deliver actionable insights through
advanced data analytics. Known for a strong aptitude for learning quickly and effectively researching
information, enabling continuous improvement in data analysis skills. Possesses a solid understanding of visual
analysis design principles, facilitating the creation of impactful and intuitive data visualizations. Experienced in
working with various SQL servers and cloud platforms, including AWS, as well as with flat file sources. Proficient in
healthcare information systems, having produced detailed reports for major pharmaceutical companies. Skilled
in project management and collaboration using tools such as Git, Jira, and Confluence, with familiarity in SCRUM
methodologies to enhance productivity and team communication. Adept at engaging with stakeholders to
align data initiatives with business goals and drive data-informed decision-making.
Skills:
- Tableau Desktop, Tableau Cloud / Server
- SQL (including MySQL, Microsoft SQL Server, Postgres, Amazon Athena, S3 DataLake, BigQuery)
- AWS (experience with S3, Amazon Athena, Glue)
- Google Analytics + BigQuery + BigQuery ML
- R programming language
- Python (completed courses in data analysis and machine learning fundamentals)
- Fundamental knowledge of statistics
- Fundamental understanding of machine learning concepts.
- Tableau Report Development: Created comprehensive Tableau reports to analyze traffic and engagement on pharma and healthcare websites targeting healthcare professionals (HCPs). Conducted in-depth analyses and built custom reports to assess the performance of email campaigns.
- Tableau Support and Project Management: Provided ongoing support for Tableau reports, including managing projects on Tableau Cloud to ensure effective utilization and collaboration.
- Quality Assurance and Data Visualization: Supported the team in quality assurance efforts and developed data quality dashboards in Tableau. Contributed to improved decision-making and operational efficiency by ensuring high-quality data visualization and actionable insights.
- Process Optimization: Successfully transitioned reports to consistent data sources and implemented robust email data quality processes. Enhanced data source management by optimizing sizing and utilizing ETL processes with R.
- Seeking a full-time remote position with the flexibility to work from any location and a adaptable schedule.
- Desire a consistent workflow with well-defined objectives and regular performance feedback.
- Appreciate a healthy mix of collaborative meetings and independent task execution."
data analyst,"As a Data Analyst, I was responsible for transforming and analyzing large datasets from multiple sources using SQL and MS Excel to support reporting tasks. I created visualizations using a proprietary company service to enhance data interpretation for clients and collaborated with cross-functional teams to deliver data-driven solutions for multinational clients. This experience allowed me to improve my technical skills, gain expertise in data visualization, and develop strong teamwork abilities in a multicultural environment. Currently, I see myself as a collaborative team player focused on ensuring data accuracy and actionable insights. In the future, I aim to deepen my knowledge of advanced visualization tools like Power BI and Tableau and further enhance my programming skills in Python."
data analyst,"I have no experience in data science, I want to learn a new profession and develop. I have a great desire and incentive to learn new tools and learn from the best.
I successfully graduated from GoIT IT school with a degree in Data Analyst.
I analyze large amounts of data, create dashboards, make data-driven forecasts, and research trends.
Mentoring support or the opportunity to share experiences with colleagues. Working with new technologies and the opportunity to improve skills in analytics, statistics, and data visualization."
data analyst,"I’m a Junior Data Analyst ready to start my first long-term role in a strong, supportive team. Over the last few months, I’ve fully switched into analytics — completed a practical course, worked on real projects with Tableau, Looker Studio, SQL & Google Sheets, and built dashboards that help analyze revenue, retention, delivery performance, and ad campaigns.
I have a solid background with numbers and a sharp eye for patterns.
I can collect, clean, analyze and visualize data — from tracking plans to cohort analysis.
I’m looking for a team where I can grow, learn from experienced mentors and bring value through data.
Key projects:
1. Cohort revenue & retention analysis in Tableau
2. Ad campaign performance dashboard in Looker Studio
3. Tracking plan for a calorie tracking app (MyFitnessPal-style)
Let’s connect if you’re looking for someone curious, fast-learning, and detail-oriented!
Learned to analyze data and work with key tools in a short period of time
Confidently use SQL and Excel to collect, clean, and visualize data
Build clear, well-structured dashboards in Tableau and Amplitude; perform data aggregation and preprocessing
Detail-oriented, able to apply previous experience to new tasks and constantly improve efficiency
Build clear, well-structured dashboards in Tableau and Amplitude; perform data aggregation and preprocessing
Detail-oriented, able to apply previous experience to new tasks and constantly improve efficiency
I'm looking for a long-term role where I can grow steadily as a Data Analyst and work on projects that have a real impact. It’s important for me to be part of a team with open communication, mutual respect, and clearly defined responsibilities.
I value mentorship and learning from more experienced colleagues — it helps me improve faster and contribute more effectively. I want to feel that my work matters and brings value to both the team and the product.
I’m not a fan of unnecessary overtime or chaotic environments where roles are unclear. I believe in sustainable productivity, continuous learning, and doing my best within a healthy work culture."
