Category,Resume
data engineer,"Допомагаю перетворювати масиви даних у зрозумілі та дієві інсайти. А саме - cтворюю звіти та дашборди, які сприяють прийняттю обґрунтованих рішень, оптимізації бізнес-процесів та зниженню витрат.
Що я роблю:
• Аналізую, інтегрую й трансформую дані з різних джерел (DWH, дата марти тощо)
• Розробляю ефективні PL/SQL-процедури, функції, пакети, CTEs
• Створюю BI-звіти та інтерактивні дашборди у Power BI, Report Builder
• Генерую ad-hoc вибірки та рішення для оперативного реагування на бізнес-запити
• Співпрацюю з бізнесом — уточнюю та оптимізую вимоги, допомагаю з формалізацією задач
• Надаю підтримку для кінцевих користувачів аналітики
🧰 Мій технічний стек:
Бази даних та мови: Oracle, SQL, PL/SQL, DAX
Інструменти: PL/SQL Developer, TOAD, SQL Developer
BI-візуалізація: Power BI, Report Builder
Додатково:
• Досвід роботи з дата-мартами, білінговими джерелами, ETL-процесами, досвід з проектування БД
• Agile-методології, CI/CD, робота з Jira
• Навички у Delphi (Object Pascal), HTML/CSS, JavaScript
Цікавлять довгострокові проєкти, де можна реалізувати повний цикл аналітики — від структурування даних до впливу на бізнес-рішення.
------------------------------------------------------------------
I help telecom companies turn raw data into clear, actionable insights. Through precise analysis, scalable database solutions, and flexible BI reporting, I empower businesses to make data-driven decisions, optimize operations, and reduce costs.
What I do:
• Analyze, integrate, and transform data from various sources (DWH, data marts, billing systems)
• Design database structures (tables, views, CTEs);
• Develop efficient PL/SQL procedures, functions, and packages;
• Build BI reports and dashboards using Power BI, Report Builder
• Create ad-hoc queries to quickly solve operational challenges
• Collaborate with business teams to clarify and optimize requirements
• Support and consult end-users on analytics tools and reports
🧰 Tech Stack:
Databases & Languages: Oracle, SQL, PL/SQL, DAX
Tools: PL/SQL Developer, TOAD, SQL Developer
BI & Visualization: Power BI, Report Builder
Additionally:
• Hands-on experience with data marts, billing systems, and ETL processes
• Familiar with Agile methodology, CI/CD pipelines, and Jira
• Skills in Object Pascal (Delphi), HTML/CSS, JavaScript
Looking for long-term, impactful projects where I can contribute across the full data lifecycle — from source to strategy.
•	Managed and maintained 30+ recurring reports for a customer base of over 30 million users.
•	Implemented automated monthly reward calculations for company partners, optimizing financial workflows and reducing manual workload.
• Opportunities for professional growth
• Competitive financial conditions with a currency peg
• Long-term projects
• Transparent terms and regular Salary reviews"
data engineer,"Data Engineer/ Backend Engineer                                                                                                           Sep 2024 – Jan 2025
Built the ETL-pipeline to onboard football clubs item-to-sell data from different sources to the unified magento server
Implemented Category matching microservice to handle different categories from different sources
Connected third-part API from sellers to the service
API documentation
Technologies: Luigi(Airflow), Python Redis, MongoDB, NodeJS, GraphQL
Data Engineer                                                                                                                                 Jun 2023 – September 2024
Developed designed and maintaining ETL processes
Optimized data processing and storage for efficiency and scalability (over 7million rows of data) for fast update and access;
Developed and maintained ETL processes to extract, transform, and load data into various systems;
Covered with tests data processing part
Ensured fault tolerance for high load part of the system up to 97%
Optimized CI/CD pipeline capacity and throughput
1st place at Black Sea Science Blockchain conference in Information Technology. Developed(with team of 3) model and software foundament to blochain-based e-voting to choose the head of the student council. I was responsible for transactions
Looking for a long-term employment. Have experience with fully English-speaking international team. Would be appreciated to work on initiative-based team"
data engineer,"Прцював у компанії Jabil як Trainee Programer Anslyst.
У компанії займався:
- Створенням windows service з використанням C# для персоналу HR;
- Удосконалення проекту на ASP.NET (bag fixing, створення нових форм);
- Здобував загальний досвід роботи у сфері IT.
1. Аналіз даних та візуалізація:
Маю досвід роботи з мовою програмування R для аналізу даних та створення графіків.
Володію навичками програмування на Python та використанням його для аналізу даних та візуалізації.
Здатність до розуміння та застосування класичних методів Deep Learning для аналізу даних та розв'язання завдань машинного навчання.
2. Робота з базами даних:
Маю досвід роботи зі створенням датасетів та роботою з базами даних, включаючи Big Data SQL та інші.
Здатність до роботи з великими обсягами даних та їх ефективної обробки.
3. Рекомендаційні системи:
Володію досвідом роботи з рекомендаційними системами, включаючи Collaborative Filtering, Model-based та Content-based методи.
Здатність до розуміння потреб користувачів та створення персоналізованих рекомендацій.
4. Інші навички:
Досвід роботи з Google Apps Script для автоматизації завдань та інтеграції з іншими Google сервісами.
Ефективне використання інструментів для аналізу даних та візуалізації з метою надання інсайтів та прийняття рішень.
Маю розуміння в ООП підході та програмуванню на різних мовах.
1)Створення веб-додатку за допомогою Node.js (інтерактивної бази даних), щоб перевіряти актуальні свята, або дні народження друзів;
2)Створення інтернет магозину використовуючи PERN, з можливістю реєстрації та ролями (Адмін і подібне)
3)Прості веб-сторінки з використанням HTML, CSS, JavaScript;
4)Створення Телеграм каталогу для сортування каналів та авторизація для модерації. Використання Telegram API для завантаження інформації про канал.
Навчання і підтримка: Очікую, що як стажер-молодший розробник, отримаю можливість навчатися від досвідчених розробників і матиму наставника, який допоможе мені у розумінні процесу розробки та розвитку моїх навичок. Відкритість команди до відповідей на питання і надання конструктивного фідбеку є дуже цінною для мене.
Розуміння бізнесу: Бажано мати можливість ближче познайомитися з контекстом бізнесу та метою проекту. Розуміння того, як мої завдання сприяють досягненню цілей організації, допоможе мені краще орієнтуватися в розробці і приймати більш обґрунтовані рішення.
Різноманітність завдань: Цікавою для мене буде можливість працювати над різноманітними завданнями, які дозволять мені вивчати нові технології та розширювати свої навички у розробці програмного забезпечення. Різноманітність проектів допоможе мені зрозуміти, яка галузь розробки мені більше підходить і де я хотів би розвиватися далі."
data engineer,"While studying at the university, I fundamentally studied the programming languages ​​​​Python and C++, and also gained knowledge in the field of algorithms and computational methods. My educational program included the study of discrete mathematics, which is a key tool for developing effective algorithms and data structures. In addition, I gained experience in data analysis using the Python language, which allowed me to process and interpret information to make informed decisions. All this experience at the university formed a solid foundation for me in the field of programming, algorithms and data analysis, which I am ready to apply in my future work and i also had experience in passing Tensor Flow ML course.
Stack: python, c++, django, javascript(html, css), git, SQL(MySQL, MSSQL, Oracle, Firebird)"
data engineer,"RPS
Lead Engineer  (Oct 2022 – now)
•	Optimization of existing processes and procedures
•	Creating new pipelines,modeles,views and drivers (Django + AWS)
•	Creating unit-tests for our drivers(PyTest+python)
•	Technical support storage
•	Writing and optimization drivers, functions
•	Kept project leaders regularly updated with progress, maintaining open, productive communication.
•	Managed multiple projects with differing technologies, including delegating tasks, assessing quality and sign off.
Lead Engineer  (June 2022 – now)
•	Optimization of existing processes and procedures
•	Creating new pipelines and drivers (Java + AWS)
•	Creating unit-tests for our drivers(java spring+springBoot)
•	Technical support storage
•	Writing and optimization drivers, functions
•	Kept project leaders regularly updated with progress, maintaining open, productive communication.
Software Engineer  (April 2021 – May 2022)
•	Optimization of existing processes and procedures
•	Creating new pipelines and drivers (python+Airflow+spark+AWS)
•	Creating unit-tests for our data-drivers(scala)
•	Creating a new data-notebooks(spark)
•	Technical support storage
•	Big Data migration process development
•	Writing and optimization views, stored procedures, and functions
Intetics
Software Engineer (September 2020 – April 2021)
•	ETL process development
•	Preparation of data for building reports
•	Data migration process development
•	Writing and optimization views, stored procedures, and functions, construction and support of storage
EPAM Systems Inc
Software Engineer (August  2019 – September  2020)
•	data collection from various sources: Source DB (Oracle, Postgres); different api (Beamery api,GoogleAnalytics api and other); flat files (exel, csv, json)
•	pre-processing of data before loading into the DWH (the storage is built in MS
SQL server)
•	creation and configuration of loading processes in the DWH (using SSIS packages and
services, python-scripts, PowerShell-scripts and .NET Application)
•	the creation of procedures, functions and scripts for data transformation for their preparation for
reports
•	development, support of storage performance
•	optimization of existing processes and procedures
GlowByte Consulting
Software Engineer (May  2018 – July  2019)
•	ETL process development
•	Preparation of data for building reports
•	Data migration process development"
data engineer,"20+  years of experience as DBA and DB developer(Oracle, MSSQL, Postgres, ...)
Tрhe last 5+ years worked as Big Data Engineer(GCP, AWS, Oracle Cloud)
Certified GCP Data Engineer+Cloud Developer, Databricks Data Engineer, Oracle DBA+Java
Languages: English, French
Location: Kyiv, Ukraine
Priority:
1) Projects with Databricks(the Salary isn’t the main factor here)
2) Big Data projects"
data engineer,"Versatile Python Developer and Data Engineer with 5+ years of experience designing and implementing
robust data pipelines, scalable backend systems, and data-driven solutions across multiple industries.
Strong expertise in Django, FastAPI, and data technologies including Apache Spark, Kafka, and Airflow.
Proven track record of optimizing performance, implementing best practices, and delivering high-quality
solutions while collaborating effectively with cross-functional teams. Fluent in English, Russian, and
Ukrainian with a commitment to continuous learning and staying current with emerging technologies.
My patience, ability to solve complex tasks and learn new techologies."
data engineer,"Зараз працюю у відділі який розвиває DWH, займаюся розробкою і підтримкою ETL/ELT процесів для підготовки даних і використання їх в аналітичних звітах. Повсякденні завдання це комунікація з ""джерелами"", розробка нового, підтримка існуючого, пошук нових інструментів і дослідження можливості їх впровадження під наші завдання.
З тих реалізацій які принесли мені максимум задоволення це:
- повний переїзд усіх ETL процесів на інший стек.
- реалізація ELT з GA
- впровадження RabbitMQ для відповідних процесів
- впровадив використання NiFi
В загальному все мабуть досить звично, добрий колектив, підтримку з боку керівництва, порядність від підприємства, можливість більшу частину працювати в офісі і періодично працювати віддалено."
data engineer,"DataArt Solutions, Inc., Data Engineer 2021 – Present
-	Work with master data
-	Design table architecture and investigate data
-	Data migration;
-	Write, maintain and optimize queries and stored procedures
-	Redesign data structure and tables to ensure performance & optimization
Sep 2020 – 2021: Data Analyst
− Data monitoring and analysis;
− Investigation of issues root causes;
− Generating reports and analysis from single or multiple DWH;
− Develop and analyze the effectiveness of methodology and scenarios of RnD, analyze their results;
− Create PowerBI dashboards and other visualizations;
− Ad-hoc analysis;
− Analyse overall business data, draw insights, and prepare reports in a manner that can be understood by all stakeholders.
July 2019 – Sep 2020: Business Analyst
− Creation marketing Email campaigns;
− Provide Marketing department with deep insights regarding all marketing activities;
− Building forecasts and predictive customer behavioral resume_classifier;
− Data analysis to detect the reasons for deviations in the main and secondary metrics;
− Support in decision-making
− Create visualizations and presenting them to the stakeholders.
May 2018 – July 2019: Dispatch
− Loads searching and booking;
− Cargo orders monitoring, reports creation;
− Solving issues with loads;
− Communication with brokers and drivers, updates provide;
− Construction logistics chain providing for each specific driver.
October 2016 – May 2018 Reporting Specialist
− Logistics reports creation and coordination (Service Level, Out Of Stock);
− Automation of reporting projects;
− Ad-hoc requests from other departments;
− Development of tools for new reports to decrease Full-Time Equivalent;
− VBA Macro tools support and modernization
I have learned Python, VBA, SQL on my own, improved the level of English in short period.
- I want to work in a friendly team,
- Learn something new,
- Always work on interesting and challenging projects,
- Develop new methods and approaches, to solve the task."
data engineer,"ТОВ ""НоваПей"" (2024.04 — тепер)
Автоматизація звітності, поштових розсилок та обробки даних (Python + Gmail API, Google Sheets API, GitLab CI/CD). Побудова дашбордів у Power BI, сегментація клієнтів, написання SQL-запитів і документації.
АТ КБ ""ПРИВАТБАНК"" (2021.03 — 2024.03)
Аналіз клієнтської активності, дослідження поведінкових патернів, моніторинг валютних операцій, оцінка ризиків та виявлення аномалій у транзакціях (SQL, аналітика, документація).
ТОВ ""АТБ-Маркет"" (2020.08 — 2021.02)
Маркетингові дослідження, конкурентний аналіз, аналітика попиту та рекомендації щодо ціноутворення.
Особистий проєкт (2024.10 — тепер)
Розробка автоматизованої системи збору новинного контенту (web scraping), інтеграція з OpenAI API (генерація текстів), Telegram API (публікація постів), деплой у середовищі GCP (Compute Engine + Airflow). Дані зберігаються в BigQuery/GC Storage.
Реалізувала повністю автоматизований новинний Telegram-канал із генерацією контенту через ШІ (ChatGPT)
Побудувала ETL-пайплайн на GCP (Compute Engine) з використанням Airflow, BigQuery, GC Storage
Оптимізувала процеси аналітики та звітності в компанії за допомогою Python-автоматизації
Хочу працювати з проєктами, які передбачають аналітику, data engineering, автоматизацію процесів або інтеграцію з ШІ. Цікавить використання сучасного стеку: Python, GCP, Airflow, Pandas, SQL, Machine Learning."
