Category,Resume
data scientist,"I've worked on a variety of NLP projects, including chatbot development, classification tasks, Text generation, and prompt engineering for LLMs, as well as retrieval-augmented generation. My experience spans both supervised and unsupervised machine learning, working with transformers and LLMs to solve  NLP challenges.
Additionally, I have hands-on experience with OCR and fine-tuning resume_classifier for document image understanding. I've also fine-tuned LLMs for specific classification and generation use cases.
I have
- developed classification systems,
- built RAG applications,
- created OCR system with document image recognition,
- worked with Ukrainian NLP.
I want to work on NLP tasks in a friendly team."
data scientist,"Technology stack:
• Python framework: numpy, pandas, scipy, scikit-learn, Pytorch;
• Exploratory Data Analysis (EDA): feature engineering, feature selection, preprocessing e.t.;
• Data visualization: plotly.express, seaborn, matplotlib;
• Supervised Machine Learning: LinearRegression, LogisticRegression, DesitionTreeClassifier,
RandomForest, XGBoost, CatBoost.
• Unsupervised machine learning: Kmeans, EM, DBSCAN.
• PostgreSQL.
Junior Data Scientist
2023 - present time
Opportunity
• Develop a MVP of based recommender system for Ukraine medicine laboratory markets
Data Analyst/ Data Wrangler
2023 - present time
Xperra
• Development and optimization of database queries for analyzing large volumes of data;
• Create and maintain reporting and analytical dashboards that provide key business insights.
• Analyze data using Python to identify trends, anomalies and business opportunities;
• Tasks related with data collection and processing;
• Develop reports and dashboards via Apache Superset;
• Testing api of different data vendors
Work Experience:
Projects in Data Science samples:1. Bank - attract customers to open a deposit. Data analysis, identification of patterns and
the search for decisive factors that influenced the fact that the client invested in this
bank.
2. Online store - segment existing customers, interpret these segments and determine the
strategy of interaction with them. Construction of a model of clustering of clients on the
basis of their purchasing power, frequency of orders and the term of the last purchase.
3. Recommendation system for Ukraine clinics"
data scientist,"I have had experience working as a data analyst with proficiency in various analytical tools such as Power BI, M Query, Alteryx, and many more. My experience in data analysis has been diverse, ranging from small-scale projects to large-scale projects. In my previous role, I was responsible for gathering, analyzing, and interpreting complex data sets to provide insights to the management team on business operations and customer behaviour. I have also been involved in designing and implementing dashboards, reports, and visualizations using Power BI to communicate key performance indicators to the stakeholders effectively. Additionally, I have experience in data wrangling, cleaning, and transformation using Alteryx to prepare data for analysis. Overall, my experience as a data analyst has given me a comprehensive understanding of data analysis, and I am always eager to learn and adapt to new technologies and techniques in the field.
I had a Google Data Analyst Certificate
I developed the Power BI interface from 0 to 100 by myself.
As a data analyst, my expectations from work include being given clear and well-defined goals, having access to relevant data sources, and being provided with the necessary tools and resources to analyze the data effectively. I also expect to have opportunities for professional growth and development, such as attending relevant training programs and conferences.
However, there are also some things that I don't want from work. For instance, I don't want to be micromanaged or have my work constantly scrutinized without any trust or autonomy. I also don't want to be given unrealistic deadlines or workloads or be subjected to a toxic work environment. Overall, I believe that a healthy work-life balance and a positive work culture are essential for job satisfaction and productivity."
data scientist,"Collecting and analyzing structured and unstructured data.
Researching and implementing state-of-the-art AI and machine learning approaches.
Designing and developing AI-powered solutions for business challenges.
Building and optimizing data processing pipelines.
Developing and integrating machine learning systems into production services.
Creating wrapper services to simplify AI/ML system deployment and usage.
Selecting relevant datasets and defining effective data representation methods.
Conducting experiments, testing resume_classifier, and evaluating performance."
data scientist,"-Generated customer-segmented lead lists and ran A/B tests in campaigns
-Generated use cases and analyzed results
-Built Machine Learning resume_classifier for lead management and cross-sale
-Built dashboards and captured insights from data for decision-making
-Extracted, collected, transformed and visualized the daily data
-Presented detailed reports to upper management
-Engaged in Text generation tasks, employing advanced techniques to generate contextually relevant and accurate responses for queries and tasks.
-Specialized in evaluating the performance of LLMs to enhance and fine-tune the language resume_classifier for improved accuracy and effectiveness.
• Certified Associate Big Data Analyst, Data Science Council of America
• Alumni, DAN.IT Education & IBA Tech Academy Data Analytics program
• Alumni, Udacity Data Scientist Nanodegree
• Certified Technology Associate, Microsoft Technology Associate Software Fundamentals"
data scientist,"I have accumulated two years of experience in the role of a data scientist/data analyst. During this time, I specialized in various tasks such as crafting multiple Power BI dashboards, designing external products and dashboards using Figma, data scraping, geospatial data analysis, and implementing machine learning techniques. Additionally, I had the opportunity to mentor and guide interns, helping them gain a deeper understanding of our projects."
data scientist,"Data Science & Analytics:
Processed and analyzed datasets using Pandas, NumPy, and Matplotlib.
Built machine learning resume_classifier using Scikit-Learn for classification and regression tasks.
Implemented data visualization dashboards to present insights effectively.
Worked with Open-Meteo API to analyze weather trends.
Web & Bot Development:
Developed multiple Telegram bots using Aiogram and SQLite, including store, poll, weather, and booking bots.
Built a Django-based news website and an online store using Django & DRF.
Created an e-commerce bot with a shopping cart, order processing, and customer support.
Designed a sports website with UFC, Tennis, and League Table rankings using Django.
Technologies Used
Programming: Python
Machine Learning: Scikit-Learn, Pandas, NumPy
Data Visualization: Matplotlib, Seaborn, Plotly
Web Development: Django, DRF, Aiogram
Databases: PostgreSQL, SQLite
Tools & DevOps: Docker, Git"
data scientist,"DATA SCIENTIST
Raiffeisen Bank
08.2022 - present
Creating predictive resume_classifier.
Studying the client's organizational structure.
Turning business requirements into real projects.
DATA ANALYST
Auchan Hypermarket Ukraine
07.2021-08.2022
Create analytical reports and update them.
Optimize reports
Improve the quality of the client database (created an algorithm for cleaning duplicates of client data, update data relevance).
Conducted GAP analysis."
data scientist,"Experience in data analysis including:
- data collecting, cleaning and preparing different structured data sets.
- energy consumption data analysis, inefficient objects identifying and preparing the list of calculated energy-efficient measures. Profitability analysis preparing.
- long-term planning of energy consumption for 300+ objects based on mathematical methods (clustering, factor analysis, regression analysis and others).
- preparing technical documentation and contracts for counterparts.
- maintaining the energy monitoring system."
data scientist,"Results-driven Data Scientist with expertise in LLMs, Transformers, and end-to-end machine learning. Skilled in data analysis, NLP, web scraping, API development, and model fine-tuning for production. Strong background in data integration, database management, and interactive dashboard creation. Passionate about solving complex problems and building scalable solutions.
• Doctor Chat – AI Assistant for Medical Consultations
Tech Stack: TensorFlow, Transformers, Docker, Sreamlit, Pandas.
In this project, I developed an AI-powered chatbot that provides medical advice and recommendations. The bot utilizes a fine-tuned GPT-2 model to generate responses in a structured dialogue format between the patient and a virtual doctor. The application is built using Streamlit and deployed on a server, ensuring seamless accessibility. The chatbot offers personalized health advice, making it an essential tool for quick consultations and initial diagnostics.
Achievements:
- Fine-tuned the GPT-2 model to achieve high accuracy in generating medical advice,
reducing perplexity to 12.91.
- Implemented a rigorous fine-tuning process to tailor the responses specifically to the medical domain, ensuring that the chatbot provides accurate, reliable, and contextually appropriate
answers.
- Built an intuitive and engaging front-end with Streamlit, allowing users to interact easily with the bot and receive personalized advice.
- Deployed the solution in a Docker container, ensuring scalability, easy deployment, and enhanced performance across different environments.
• Weather Forecast API
Tech Stack: Keras, FastAPI, Docker, Numpy, Pandas, Scikit-Learn, Matplotlib.
In this project, I developed an RNN-based API to forecast weather conditions for the next day using historical data from the past 7 days. The API was containerized using Docker and deployed on a server, enabling seamless integration and scalability. The endpoint is easily accessible via POST requests, making it practical for real-world applications in weather monitoring or decision support systems.
Achievements:
- Designed and deployed an RNN model optimized for time-series weather data prediction.
- Built a FastAPI backend, packaged it in Docker, and deployed it on Render.
- Developed an interface that accepts 7 days of weather data.
1. Quickly and thoroughly mastered Python to write clean and efficient code by leveraging literature and online courses.
2. Immersed myself in the field of Data Science and gained proficiency in libraries such as Pandas, NumPy, Matplotlib, and Seaborn for working with data.
3. Using the knowledge from the previous achievement, successfully completed projects focused on data analysis and visualization.
4. Acquired practical experience in collecting data from various sources using technologies such as SQL, MongoDB, and web scraping.
5. Studied the functionality of machine learning algorithms and libraries such as Keras, TensorFlow, and scikit-learn, and successfully completed numerous tasks involving machine learning and neural networks.
6. Mastered and effectively utilized technologies for project and dependency management, including Docker, Git, Poetry, and Conda.
7. Delved into the deployment of machine learning resume_classifier and learned how to create visually appealing interactive web dashboards using Streamlit, as well as deploying them on servers.
8. Successfully completed the Data Science and Machine Learning course, gaining deep knowledge in the field and completing numerous projects that showcase my expertise.
9. Gained proficiency in working with APIs, using requests to effectively integrate with other APIs and perform comprehensive tasks.
10. Acquired skills in building APIs using FastAPI and implemented an API for a previously developed weather forecasting neural network.
11. Acquired theoretical and practical knowledge in transformer architecture and the use of the HuggingFace library, applying them to create a chatbot based on GPT-2.
12. Researched Power BI to effectively address various business objectives.
Soft Skills:
• Team collaboration
• Strong communication
• Critical and analytical thinking
• Problem-solving
• Adaptability to new tools and technologies
I am actively seeking a position where I can apply my skills and knowledge in data science and machine learning to solve complex and innovative challenges. I am a fast learner, quickly adapting to the ever-evolving IT landscape. Passionate about this field, I am steadily and purposefully improving my expertise.
With strong experience in libraries such as NumPy, Pandas, TensorFlow, and others, I am capable of tackling both current and more advanced tasks to address real-world problems. Let’s work together to make a meaningful impact in this world!"
