Category,Resume
designer,"UI/UX designer with no prior experience but eager to create modern and intuitive interfaces. I specialize in designing for mobile applications and web platforms. My focus is always on aligning user needs with business goals to achieve the best outcomes.
Projects:
Cafe Carolina and Bakery Website Redesign
Redesigned the Cafe Carolina website to improve user experience and add an online reservation system. The goal was to make the site more user-friendly, modern, and functional.
Technologies Used: Figma — for prototypes and design.
WordPress — for CMS customization.
React — for interactive components.
My Role:
Research: Analyzed the current website and user behavior, collected feedback.
Design: Created information architecture, wireframes, and interface design.
Reservation System: Developed and integrated the online reservation feature.
Testing: Conducted A/B testing and optimized the user experience.
Outcome:
Improved user experience, increased online reservations, and enhanced site navigation.
Mindful Mood - Web Service Full-Cycle Design
Full-cycle design of a psychological support web service aimed at enhancing emotional well-being. Worked with a team of three to create a user-friendly platform offering self-discovery tasks, specialist bookings, and payments.
Technologies Used:
Figma — for prototyping and design.
Sketch — for graphic design and UI elements.
React — for interactive elements and user flow.
My Role:
Research: Conducted competitor analysis and user research to identify key features and pain points.
Design: Designed user-friendly interfaces, including self-discovery tasks and specialist booking flows.
User Journey: Developed a seamless journey from booking a specialist to payment.
Accessibility: Created an inclusive page design, ensuring the platform was accessible to all users.
Outcome:
A fully functional web service providing emotional support with an easy-to-navigate interface and inclusive design, enhancing user engagement and satisfaction.
Work experience:
Bilotserkivska Gymnasium № 22
Prymary school teacher
Sep. 2014 - May 2025
Awarded 3rd place in the ""Young Specialist Debut"" competition.
Mentored students to win school competitions.
Ensured high academic performance.
High Quality of Education: Ensured consistently high academic performance of students, as evidenced by school test results.
Competition Activity: Prepared students for participation in school competitions, leading to their victories in several contests.
Recognition for Professionalism: Achieved 3rd place in the ""Young Specialist Debut"" competition, highlighting a high level of teaching expertise.
Development of Extracurricular Skills: Organized and conducted interactive lessons and activities aimed at fostering students' communication and creative abilities.
Individual Approach: Successfully implemented personalized teaching methodologies that facilitated the progress of students with varying levels of preparedness.
My goal is to help the company create products that are not only visually appealing but also highly user-friendly. I pay special attention to UX research to provide solutions that precisely meet user needs. I aim to develop design systems and build component libraries that streamline the development process and ensure consistency in the visual style."
designer,"Hello! My Name is Maria, and I am a UI/UX designer.
I specialize in designing web and mobile applications, turning complex ideas into simple and user-friendly solutions. My approach combines analytics, research, and creativity to create products that are not only stylish but also solve real user problems.
UX research, CJM, user flow creation
Prototyping
UI design in Figma: thoughtful and aesthetic interfaces
Design systems, responsiveness, animations
Collaboration with developers for effective implementation
Always open to new challenges, knowledge exchange, and interesting projects.
Project Experience
Spaß im Team – Website Redesign
The goal of the redesign was to create a more user- friendly interface by reducing the number of colors, updating outdated information, and replacing old images with fresh, high-quality visuals. To enhance usability, I streamlined the site structure by reducing the number of pages, ensuring a more intuitive navigation experience. The homepage was optimized with a simplified layout and clear sections, making it easier for users to find key information.
Tools used: Figma, Adobe Illustrator, Adobe Photoshop.
FutureSkills – Educational Platform
The goal of this platform is to provide a convenient space for learning new skills, helping students and educators easily find relevant courses to enhance their expertise. As part of the design process, I developed a User Flow and Customer Journey Map (CJM) to optimize the user experience. Additionally, I conducted personas analysis to better understand the target audience. To support strategic decision-making, I created an Impact-Effort Matrix and a Dashboard for structuring insights.
Tools used: Figma, UX research frameworks.
I have worked on four pet projects, designing UI/UX for web and mobile applications to create intuitive and visually appealing interfaces. My experience in teamwork allowed me to align design elements, ensuring consistency and a cohesive look across projects. I took on the role of a UX designer, focusing on research, prototyping, and developing design systems.
Expectations:
I am looking for a team where I can grow as a UI/UX designer while working on real projects. It is important for me to discuss ideas, receive constructive feedback, and improve my skills in design and research. I want to be involved in all stages of product development, from research to final implementation.
What I offer:
I love well-thought-out and logical interfaces, so I always pay attention to details and user convenience. I learn quickly, adapt to new challenges, and openly accept feedback. I have experience working with design systems and creating UI that is not only visually appealing but also functional. I enjoy exploring user experience to make products intuitive and enjoyable to use."
designer,"Keen on translating abstract ideas into concepts and wireframes. Have strong skills in designing e-commerce, landing pages, Web3, mobile apps and CRM-systems.
Value my collaborative approach, that includes working closely with cross-functional teams, product owners, engineers and developer teams.
Prioritize web accessibility, continuously striving to make designs inclusive and accessible to all users. I am excited by creating designs that align with emerging trends, from Web3 technologies to immersive user interactions.
Specialize in developing comprehensive design systems that comprise atomic patterns, user interface libraries, and motion guidelines.
Some of my highlights:
• Design systems
• Graphic concepts
• User personas, wireframes, and prototypes
• Have worked in finance, crypto, marketing, gambling fields
• Branding, animations and icons, visual materials
Interesting product"
designer,"I an have experience in photography, make intership
as an assistant of graphic designer in Poland.
Experienced with Microsoft Excel and Word, Adobe Illustrator and Photoshop, Figma - begginer level.
I have bachelor degree in visual communication/graphic design and master degree in big data, digital marketing and trandwatching.
I am very interested in areas such as graphic design, UI/UX, and marketing. My experience working at a recruitment agency has allowed me to develop skills such as attention to detail, analytical thinking, finding optimal solutions under tight deadlines, multitasking, and conflict resolution. Based on this experience, and with some basic knowledge of relevant software, I would like to start a career in a new direction, as I feel I need more creativity in my daily work. Therefore, I would really like to try one of these fields: data analytics, marketing, or graphic design/UI/UX."
designer,"Greetings!
I am Yulia, Graphic & Web Designer, Kyiv.
Motivation, caring, empathy are my advantages.
I have worked with MauDau, MasterZoo, MrGrill, WineTime, Vittorossi, Lookfort, Purina, Brit, Royal Canin clients at Promodo.
I have 4 years of professional experience in marketing as Graphic & Web Designer in agencies and a product company.
I have a higher professional design education (5 years), additional art school (7 years).
I work in Figma, Photoshop, Illustrator, some After Effect, Animate, Wix
English — Intermediate+
Ready to work office\remote in Kyiv.
I creative quality design focused on good result and the customer.
Let's get to know!"
designer,"I have over 3 years of experience in motion design, working on short-form video ads and promotional content for various platforms (Instagram, YouTube, TikTok, Pinterest). I specialise in fast-paced, attention-grabbing 2D and 3d animations, using After Effects, Cinema 4d, and AI tools like Runway and PikaLabs.
In teams and solo, I’ve led full production cycles: from concept to animation and final delivery. I'm currently looking to improve my character animation consistency (especially with AI) and join a studio or team where I can grow artistically and technically.
* Created over 5,000 assets and video works across freelance and studio projects.
* Completed a short AI-driven film The Trap exploring family themes, blending Text-to-video tech with narrative storytelling.
* Wrote a Master’s thesis on using AI in video to represent gender balance in families.
* Successfully delivered commercial video ads for e-commerce, lifestyle, and SaaS clients with proven engagement boost.
* Regularly experiment with emerging tools to stay ahead of trends in AI + animation.
I don't design websites (UX|UI design)"
designer,"Graphic designer in branding agency, with proficiency in branding, packaging, brand communication etc.
I do logo design, design-systems, and implement them in brand communication(social media, printed media, packaging, web design, etc).
Along with design functions, I have management responsibilities, building design processes, and team management. Sometimes I do project management.
My task here is to analyze company goals and create a strategy for the design department to match them.
20+ branding projects
30+ amazon listing projects
160+ tasks in brand communications
all done within deadlines, with excellent communication and in most cases - exceeding clients' expectations.
Gained ability to work without(or with vague) technical tasks, researching requirments, texts, styles and tasks by myself
Coordinated design team of 4 designers.
I search for a team of several designers, where I can grow both in management and design fields.
I will also admire diverse tasks, of various difficulty and themes, and can deliver their management and design.
It's important for me to have career growth, so I expect a system of goals, feedbacks and criteria for building career in the company."
designer,"Level Designer
Developing levels for Idle Arcade and other genres,
considering mechanics, difficulty, and player
progression.
Blocking and Layout: Positioning key objects,
architectural elements, and level geometry.
Game Balance: Adjusting enemies, resources, and level
difficulties to maintain optimal gameplay.
Performance Optimization: Reducing system load and
ensuring smooth FPS.
Environment & Atmosphere: Working with lighting,
sound effects, detailing, and dynamic elements.
Game Mechanics Configuration: Object interactions,
event triggers, logic integration.
Object Composition & Level Art: Artistic environment
design, creating visually appealing locations.
Tools Used: Unity, Unreal Engine 5, Maya, Photoshop,
Figma, Trello.
QA Engineer
Testing VR games for compliance with documentation,
functionality, and gameplay experience.
Checking compatibility with VR devices: Oculus Quest,
HTC Vive, Valve Index, Pico Neo.
Types of testing: Functional, compatibility, regression,
Black Box, localization.
Working with test documentation: test cases, checklists,
test plans.
Tools Used: TestRail, Jira, Confluence, Google Business,
Trello.
Freelance
Animating 3D characters
Animation of game objects and environments
Testing web applications, websites, and online games
for global brands: Marc O'Polo, Swarovski, Zeppelin,
Pedigree, etc.
Performing functional, regression, smoke, and API
testing.
Writing unit tests for non-gaming projects (CSV log
parser).
Analyzing competitor platforms and potential partners.
Game Development
Level Design
Level Art
3D Graphics & Animation
QA & Testing
Project Management
Time managemen
Teamwork
Excellent communication skills with the team
Systematic, scrupulous and flexible.
Adequate leader, company with a pleasant atmosphere"
designer,"- Designed wireframes and interactive prototypes to improve user flows
- Created adaptive UI designs for a consistent experience across different devices
- Conducted A/B testing, leading to a 6% increase in conversion for a key function
- Redesigned platform features to enhance usability and aesthetics
- Improved the admin panel interface for better efficiency and usability
- Worked with key functionalities, refining interactions to optimize user experience
- Collaborated with designers, PMs, developers, BAs, Product manager and CPO to ensure the best product outcomes
Conducted A/B testing, leading to a 6% increase in conversion for a key function
I want to gain experience working in a team on various interesting projects.
I am interested in enhancing my UX skills.
I aspire to enhance both my hard and soft skills to an advanced level."
designer,"Hello, I am Alexander UI/UX designer with 3 years experience. I apply to your company to work on interesting projects.
A resume and portfolio is attached to the letter.
A little about my skills:
Strong knowledge of modern design principles and guidelines
Understanding Human Interface / Material design guidelines
I can quickly generate ideas, describe and sketch a concept
Positive and energetic, lives design
I know how to organize myself
With an understanding of layout
With an understanding of UI/UX
Thank you for your attention, ready to discuss details of cooperation in the near future, if you are interested in my candidacy."
