Category,Resume
flutter,"Developing UI layouts that adapt to different screen sizes and ensure a seamless user experience.
Integration of Animations and Transitions
Implementing animations and smooth transitions to enhance user interaction and experience.
Architecture and State Management
Using BLoC for state management to optimize app performance.
Following Clean Architecture principles to separate logic from UI.
Applying SOLID principles to write scalable and maintainable code.
Working with APIs and Databases
Integrating REST API using Dio and HTTP, handling requests and responses efficiently.
Optimizing server interactions, handling errors, and implementing retry mechanisms.
Working with Firebase
Implementing authentication using Email/Password.
Using Firebase Stream SDK for real-time data processing.
Storing and retrieving data from Firestore.
Tools and Team Collaboration
Using GitHub for version control:
Working with branches, pull requests, and code reviews.
Setting up CI/CD to automate processes.
Organizing workflow with Notion:
Task planning, documentation, and note-taking.
Additional Experience
Basic knowledge of FlutterFlow.
Debugging and profiling applications to identify performance issues.
Working with experienced developers, the opportunity to receive feedback, in-depth study of Flutter, and the development of mobile applications using modern approaches and best practices. Also, working in a team where everyone has the ability to influence decisions and propose ideas."
flutter,"I have considerable experience working with react native and flutter
There is also basic knowledge with native code, backend and experience with CI/CD
I had experience in writing applications from scratch to publishing in the store
Good communication skills in English and experience of communicating directly with the customer
Great experience working remotely but personally I prefer the office (not necessarily).
I would like to find a company for a long-term collaboration that is interested in working with new technologies."
flutter,"I took part in the development of the Daily Readings 2.0 application (Android, iOS, WEB), as a Flutter Developer and Project Manager. Currently, I am involved in the development of the Christian Hymns 3.0 application (Android, iOS) as a Flutter Developer and Project Manager.
Daily Readings 2.0
Christian Hymns 3.0
I expect a good atmosphere and a well-coordinated team from the company, where everyone is ready to help each other. For my part, I strive to contribute to the team and project and will make every effort to develop and achieve team goals."
flutter,"Experience:
Flutter Developer | RewiSoft| 11.2023 – Present
• NDA (Flutter, Dart, BLoC, graphql, rxdart, get_it, hive, flutter web)
o app development
o core review
• AdsTrackerApp (Flutter, Dart, BLoC, http, charts, jwt)
o full cycle of app development, designing architecture
• TrackAnalyticsApp (Flutter, Dart, BLoC, http, charts, firebase, notifications)
o full cycle of app development, designing architecture
• Employed BLoC state management and clean architecture for scalable codebases
• Created an application architecture from scratch
• Developed and optimized mobile and web applications using the Flutter
Flutter Developer | Time2Mobile | 10.2021 – 11.2023
• CryptoExchangeApp (Flutter, Dart, BLoC, http, charts, websockets)
o full cycle of app development, designing architecture
o code review, team leading
• NetworkingPlatformApp (Flutter, Dart, GetX, graphql, notifications)
o full cycle of app development, designing architecture, full app refactoring
• InsuranceApp (Flutter, Dart, GetX, http, notifications)
o full cycle of app development, designing architecture
• Created an application that is now used by 30k+ users
• Integrated thirdparty libraries, APIs, and services to enhance app capabilities
• Diagnosed and resolved technical issues, ensuring app reliability and stability
• Integrated Firebase (Firestore, Storage, Auth, Crashlytics)
Flutter Developer | BravoDev | 12.2020 – 10.2021
• BookingApp (Flutter, Dart, Provider, http, calendar)
o full cycle of app development, designing architecture
• Developed and optimized mobile applications using the Flutter
• Analysis and interpretation of project requirements to determine app functionality and features
• Prompt troubleshooting and resolution of technical problems
Trainee/Junior Flutter Developer | CHI Software | 05.2020 – 12.2020
• Learned reliable and optimized code techniques. Learned Flutter Dart and clean architecture
Looking for remote flexible working environment with great team of professionals."
flutter,"Senior Flutter Engineer with 14+ years of experience, specialized Mobile app development. For the last 3 years, I have been actively developing with Flutter SDK and Dart language.
I am involved in all phases of the programming cycle, from planning and design to testing and deployment.
• Tech stack: Flutter, Dart, Riverpod/Provider, GetX, BLoC, Kotlin, Java, Android, Swift, iOS, Javascript, Rive.
• DevOps: CircleCI, TravisCI, Fastlane, Jira, Confluence.
• Other: C/C++, Ruby, TypeScript, Firebase, MongoDB, Figma, Zeplin, Agile, Scrum"
flutter,"- 10+ years in Mobile development
- 4.5 years of Flutter development
- 7 years of iOS/Mac development
- Team/Tech Lead experience
I have completed the lifecycle of a number of Flutter and iOS native applications, from initial development to deployment on iOS, Android, desktop, and embedded systems. I am passionate about keeping up with the latest trends in development and have several personal projects in Flutter and Arduino. I love beautiful UX as well as beautiful technical solutions. I consider responsibility and proactivity as key features in my work.
- Complete lifecycle of several applications, from initial development to deployment on iOS, Android, desktop, and embedded systems.
- Building and leading a team, conducting interviews, and mentoring new team members.
- Initiated a new Flutter direction for the company.
- Actively participated in generating product ideas and improving management processes.
- Initiated and organized team meetups and team-building activities, enhancing team cohesion and fostering a collaborative work environment.
- Developed Flutter applications featuring complex navigation flow, advanced animations, and intensive audio-video recording capabilities, ensuring seamless hardware integration.
- Developed revenue-generating personal project fully on my own: idea, design, development (Flutter + Firebase), monetization, marketing (ASO + ASA).
- Developed custom physical engine and used it in complex graphical component made fully on CustomPainters
- Implemented low-level multi-track auto-synchronizing video recorder.
- Integrated offline speech recognition solutions with dart:ffi
- Setting up complex CI/CD workflows."
flutter,"Professional Summary:
Android & Flutter Developer | Building Impactful Mobile Apps.
I specialize in creating user-friendly, high-performance Android and Flutter applications. With a focus on innovation and quality, I transform ideas into seamless mobile experiences. Skilled in modern tools and frameworks, I deliver scalable, visually appealing apps that exceed expectations.
Key Experiences:
EKYC Android App Development: Spearheaded the development of an EKYC application focusing on customer onboarding and biometric data processing using Android MVVM, Hilt, Dagger, and Retrofit.
Flutter Development: Worked remotely on MedaScore, a football app, and migrated the project to a clean architecture using BLoC state management. Developed Amharic and Afan Oromo date and range picker plugin for the Ethiopian Flutter community.
Freshcut and School Management App: Enhanced user experience in the Freshcut gaming app and developed a complex chat feature for a school management app using Firebase Cloud Functions.
Remittance App Development: Led a team in developing a remittance app for the Ethiopian diaspora, focusing on GETX state management, HTTP connectivity, and multi-language support.
Backend Development and IT Leadership: Managed backend development for a sales tracker app and a Flutter CRBT app, utilizing Laravel, GetX, HTTP library, and implementing efficient cloud solutions.
Junior Mobile Engineer: Initiated my career developing Android apps with AdMob AdSense integration and MVVM architecture, achieving over 1.4 million users across all developed apps.
On time Salary payment, Online courses sponsorship"
flutter,"May 2020 - October 2020
Mobile Flutter Developer at a tech company
October 2020 - July 2022
Flutter Developer (web, mobile) at a no-code mobile app builder platform
July 2022 - August 2024
Flutter | React Native Developer at a digital consultancy firm
From August 2024 (Independent Contractor, Flutter Developer)
Collaborated with a video streaming company, enhancing cross-platform user experience (developed Flutter applications for web, mobile (iOS & Android), and Android TV).
Worked with a US-based marketplace platform for buying and selling businesses, integrating Firebase, Stripe (payments & identity verification), Google Places API, Retool, and Webflow CMS.
Udemy Courses(Mobile App Development with Flutter & Dart (iOS and Android)), asx (dart package on pub.dev), 2 ios projects (written in Swift) on AppStore, 1 Flutter project (Listed in AppStore and Play Market), other sample projects on GitHub."
flutter,"Freelancer, FreelanceHunt - JAN 2024 / NOV 2024
Worked on Mobile and Windows apps using Flutter, focusing
on bug fixes, code refactoring, features development, and
UI design. Additionally, developed web scrapers and
browser automation bots using Puppeteer on Dart.
Flutter Developer, Famville DE - NOV 2024 / APR 2025
Social app iOS, Android (Tinder analogue) - worked on
code refactoring, UI development, REST API integration,
application localization. Resolved visual and API-related
bugs, implemented Google Maps and Places API, deep
linking, push notifications, and debugged WebSocket-based
chats. Implements"
flutter,"Software engineer with over 9 years of competitive programming experience, over 5 years of
experience with Flutter.
Holding a bachelor's degree in Cybersecurity from the country's most prestigious university.
Have knowledge in Flutter(Dart), SwiftUI(Swift), Unity(C#), and Node.js.
Used the following tools and techniques in app development:
Proficiency in the following application types:
- Fintech & Banking
- Healthcare
- Internal Government
Network:
- Rest API
- GraphQL
- GRPC
- WebSockets
- WebRTC
Computer Science:
- OOP
- SOLID
- SQL and No SQL Databases
- Encryption
- Application Secrutiy
- Clouds (Elastic Cloud, GCP)
Used in Flutter:
- Map, Location, Places API/System
- Payment System Integration
- QR code reader
- Biometric authentication
- Firebase
- Push Notification (remote & local)
- Shared Prefreferences, SecureStorage, get_storage
- In-App Wi-Fi connection
- in-App Purchases
- Contacts(in-phone) system
- SQLite
- Photo, Screen Capture
- Image Processing
- Flutter IOS, Android, Web, MacOS, Windows
- Voice recording
- Voice recognition
- Encryption
- RxDart
- Provider
- BloC/Cubit
- GetIt
- Bluetooth (scanning/discover, pairing, data passing)
- LaTeX rendering
- Syncfusion charts
- File download, open
- Dynamic/Deep links
- Crashlytics
- Performance analysis,
- Flutter flavors
- Remote config
- OTA updates
- Localization(local & OTA)
P.S. Full Info can be found in CV."
