Category,Resume
frontend,"I have experience working with HTML5/CSS3, SASS/LESS (SCSS), JavaScript, TypeScript, React.js, React Router, Redux, Redux Toolkit, Next.js, JEST, Cypress, Playwright, React Testing Library, React Native, Expo, Webpack, REST API, WebSocket, ESLint, Bootstrap, Faundation, Material UI, Figma, Photoshop, Docker, Chrome devTools, Git version control system, adaptive and response layouts.
Beetroot Academy Front-end Development.
About three years of commercial work experience.
I am looking for a company with a friendly team and a developed corporate culture. Also well as a project that will allow me to apply my professional hard skills and acquire new ones."
frontend,"I am an experienced Frontend Developer with 4 years of commercial experience and additional knowledge in backend development using .NET. I have worked on diverse projects, maintaining legacy codebases and building projects from scratch.
Tech stack includes React, TypeScript, Redux, Formik, Jest, Storybook, Axios, SCSS, Docker, Styled Components, and others.
- Led a full redesign using modern React architecture, eliminating legacy dependencies.
- Increased unit test coverage from 0% to 60%.
- Successfully integrated client-specific services -
- Implemented the code style guide, improving code readability and team collaboration.
- Boosted application accessibility from 70% to 95% according to WCAG standards.
I am looking for an engaging project where I can work with modern technologies and tackle complex challenges. I aim to join a team that values code quality, collaboration, and achieving exceptional results."
frontend,"Social Network (2024 – Present) — Independently migrated the project to Next.js, improving performance and scalability. Contributed to the development of a social network focused on user interaction through short videos and text posts. Implemented an infinite scrolling feed, like and comment systems, search and content filtering features, and many other functionalities. Optimized the user interface for a seamless experience. Collaborate closely with the team to introduce new features and enhance existing ones.
One of Them (2024) — Completed the development of a personal sports blog, migrating it from WordPress to Next.js to improve performance and flexibility. Created a fast and user-friendly interface. Used a headless CMS for content management, simplifying the handling of posts and media files. Ensured responsive design for different devices and optimized page load speeds.
Loomi (2024) — Developed a website for Loomi, a software development agency, with a strong focus on creating a simple and intuitive user interface for potential clients. Successfully implemented nearly all aspects of front-end development, ensuring a seamless user experience and clean design.
Invictus Games (2024) — Contributed to the maintenance and enhancement of the official Invictus Games website, supporting the international sporting event for veterans. Improved the blog section and streamlined the application submission process, enhancing user engagement.
E-commerce Project (2023) — Launched my career as a front-end developer on an e-commerce project with a custom CRM system. Collaborated closely with designers and developers to implement routing, design key pages (home, catalog, and favorites), manage user authentication, and build product management functionality within the CRM. Customized the Material UI theme to meet the project’s design requirements.
Development of YouTube Shorts analogue — Implemented infinite scroll for videos with unique URLs for each video, ensuring smooth transitions between elements without page reloads.
Migration to Next.js — Migrated several projects, including the social network and personal blog, to Next.js, improving performance, SEO, and scalability.
Social network performance optimization — Achieved Lighthouse scores that are 20% better than those of competitors through performance optimization."
frontend,"Max's Drive
FrontEnd Developer
April 2023 - July 2023
Technology: React, Redux, Redux-Thunk, Redux ToolKit, Typescript, GraphQl
Was responsible for the functional and interface part of the application, which was aimed at taxi and restaurant booking at the same time, implemented the profile and payment page"
frontend,"I have more than 5 years of experience as a frontend and full stack developer.
I work mostly with Vue, Nuxt, TypeScript, and Node.js. I build fast and scalable web apps. I also worked with crypto, smart contracts, and AI tools like OpenAI and AWS Transcribe.
In my past projects, I improved website speed by up to 50%, made APIs work 40% faster, and helped users interact with blockchain faster.
I also improved UI/UX, refactored code for better quality, and made apps more secure and user-friendly.
I always focus on writing clean code, making apps fast, and helping teams work better and faster.
Focused on performance optimization, SEO, and setting up reliable CI/CD pipelines. Passionate about writing clean, maintainable code and improving development workflows. I excel in dynamic environments, pushing technological boundaries, automating processes, and enhancing user interactions. Always open to learning new tools and approaches to stay ahead in the ever-evolving tech landscape.
• Improved website speed by 50% using Vue and Nuxt.
• Reduced API response time by 40% with better backend logic.
• Built AI chatbots that increased user engagement by 30%.
• Made crypto transactions 35% faster with smart contract optimization.
• Refactored big TypeScript codebase and reduced bugs by 40%.
• Helped increase mobile traffic by 25% with responsive design.
• Created microservices and reduced system downtime by 80%.
• Improved video upload speed by 50% and lowered server load.
• Added role-based access control to make apps more secure.
• Worked with CI/CD and Docker to make deployments 60% faster.
I’m looking for a team where I can grow as a developer and work on real products that help people.
I want to use modern technologies like Vue, Nuxt, TypeScript, and also improve my backend and AI skills.
I like clear communication, clean code, and when people respect each other.
It’s important for me to work with a team that cares about quality, speed, and good user experience.
Also, I’m open to learning new things and I enjoy solving technical challenges."
frontend,"As a Front-end Developer, I focus on turning ideas into seamless, engaging user experiences. I enjoy coding for its honesty and endless possibilities — the deeper the understanding of the details, the better the results. Currently, I am mastering JavaScript, React, Redux, and API integration, while also strengthening my skills in TypeScript for building even more reliable applications.
Throughout my journey, I have contributed to several projects that helped me grow both technically and as a team player:
Green Harvest
My first team project during my studies, where I applied HTML and CSS skills in a real collaborative environment. The project is an online platform that allows users to order fresh vegetables, read customer reviews, and submit their own feedback. I contributed to creating responsive page layouts, styling components, and actively participated in solving team challenges to meet project deadlines efficiently.
Portfolio Template
My second team project, built using JavaScript, HTML, CSS, and libraries such as Swiper and Accordion. This project is a portfolio template for full-stack developers, featuring sections like About Me, Skills, Projects, a Contact Form, and more. I was responsible for structuring the layout, implementing responsive design, and ensuring smooth integration of interactive components.
Your Contact Book
An individual project created with JavaScript, React, and Redux, focusing on contact management. The application enables users to create, edit, and store phone contacts securely on a server. It includes user authentication, registration, and full CRUD functionality through API integration. I developed both the front-end structure and the API communication logic, ensuring a seamless and secure user experience.
Successfully applied JavaScript, React, and Redux to build fully functional, user-friendly applications, enhancing my front-end development skills.
Gained valuable experience in teamwork, collaboration, and problem-solving during group projects, contributing to meeting project goals and deadlines.
Integrated API communication for user authentication and secure data management, improving project reliability and user trust.
Developed responsive, accessible interfaces, ensuring a smooth user experience across different devices and platforms.
I am looking to join a team where I can continue growing as a Front-end Developer, deepen my expertise in JavaScript, React, and TypeScript, and expand my skills in working with APIs and modern frameworks.
My goal is to contribute to meaningful projects, collaborate with experienced developers, and continuously improve the quality, performance, and user experience of the applications I help build."
frontend,"As a seasoned frontend developer with extensive experience, I've successfully led and contributed to a variety of projects, leveraging cutting-edge technologies to deliver exceptional user experiences. My expertise spans across:
- HTML5, CSS3 (SCSS, SAAS), JavaScript (ES6), and jQuery: Creating responsive and dynamic web interfaces.
- TypeScript, React JS, NextJS, Redux / MobX / Zustand, Redux Toolkit / React Query / SWR: Building scalable and maintainable front-end applications.
- API Integration (Postman, Swagger, Rest API, Axios): Seamless integration of front-end components with backend services.
- UI Frameworks (Bootstrap, MUI, Tailwind, NextUI): Ensuring consistent and appealing UI design.
- Version Control (Git / GitHub): Managing codebases and collaborating effectively with teams.
- Strapi: Implementing headless CMS solutions.
- Project Management: Overseeing team workflow, project planning, and delivery, ensuring alignment with company goals.
Currently, I am focused on leading a team of frontend developers, providing guidance, support, and mentorship. My role involves coordinating with project managers, designers, and backend developers to ensure timely and successful project completion. I aim to further develop my skills in frontend architecture and explore new technologies to drive innovation in web development.
Led the development of a high-traffic e-commerce platform:
- Spearheaded the frontend team, resulting in a 20% increase in user engagement and a 15% boost in sales.
- Implemented a scalable frontend architecture: Reduced page load times by 30% and improved overall application performance.
- Optimized a web application for SEO: Significantly improved search engine rankings, leading to a 25% increase in organic traffic.
- Conducted comprehensive code reviews: Ensured high code quality, maintainability, and adherence to best practices, fostering a culture of continuous improvement.
- Seamless API integration: Successfully integrated multiple APIs, enhancing the functionality and user experience of web applications.
- Mentorship and team development: Guided junior developers, contributing to their professional growth and enhancing team productivity.
I am looking for a challenging and dynamic work environment where I can:
Innovate and Grow: Engage in projects that push the boundaries of web development, utilizing the latest technologies and methodologies.
Collaborate and Lead: Work with a talented team, providing leadership and fostering a culture of collaboration and continuous learning.
Deliver Impactful Solutions: Contribute to projects that have a tangible impact on users and the business.
Conversely, I aim to avoid:
Stagnation: Roles that do not offer opportunities for professional growth or skill development.
Lack of Vision: Projects without clear goals, direction, or impact.
Poor Communication: Environments where communication and feedback are not valued, leading to misunderstandings and inefficiencies.
My goal is to continue evolving as a frontend developer and leader, contributing to innovative projects that make a difference."
frontend,"Recent projects:
• Snowball – a cross-platform mobile DeFi wallet for managing crypto assets
• MNS – a modular, web3-compatible naming service
Main stack: Javascript, TypeScript, React Native, React, TanStack Query, Zustand, Redux, React Navigation, React Router, Tailwind
Also worked with: SCSS, React, WebPack, BEM, Git;
Tools: macOS, WebStorm, Xcode, Android Studio, Figma, Jira.
Played a key role in the end-to-end development of two projects, from inception to release.
- Friendly team;
- Modern technologies stack;
- Interesting projects matching with my skills;
- Transparent workflow."
frontend,"De.Fi
- Frontend developer
Apr. 2022 - Currently
- optimization of the number of HTTP requests for the project using RTK functionality;
- search migration to SSE;
- implementation of the functionality of sending cryptocurrency, working with transaction gas;
- dynamic generation OG image for social profile;
- AI chat integration;
- Stripe integration for making payments;
- integration of third-party Web3 wallets.
Was in the team leader position of the front-end team.
Coderiver
- Frontend developer
May. 2021 - Apr. 2022
- development of SPA / SSR applications on React / Next
- HTML/CSS/JS native layout
- work with API/CMS
- codereview
- mentoring
also have commercial experience on Vue and NuxtJS.
ITOP1000
- Ful stack developer
Mar. 2021 - Apr. 2021
Freelance
- Frontend developer
Mar. 2020 - Jul. 2020"
frontend,"Up until now, I work on self-project mostly when I try some new frameworks and new scope, and I work with client on simple landing pages and some prompt consulting with friends and colleagues. I am working on Invisible and Outlier as an AI Trainer, with Invisible I am working as an Indonesian AI Data Trainer, while on outlier I am (now it is really lack of projects thrown at me) I work on optimizing some LLM from Outlier clients on math domains, such as making sure the response is appropriate and correct regardless of the difficulty of the prompt question is, essentially doing an RLHF technique and rating the LLM response based on various variables.
I recently competed in Fine-tuning Competitions on AWS AI Singapore 2025, out of 1000+ plus competitor, I ranked 34. It was a fine-tuning competition on Generative AI domains. We were asked to fine-tune Llama-3.2-3B-Instruct by using our own dataset, and compete in a real-time leaderboard and on international scope. I was data pipelining using every LLM possible with a custom prompt I built myself. I got 57% Accuracy with ~4k lines of dataset around the Generative AI domain knowledge. I worked inside kaggle using various transformer models from Huggingface. in total span of 7 days, I was generating ~20k lines of dataset from various LLM models.
I want to work to provide my mom whom my dad recently passed away on late 2024. I don't really care about anything else, if you think I am eligible and pay is fine (I am from 3rd-world country, so any range of USD salary is fine), I am going to work hard and learn the correct way to work with you."
