Category,Resume
fullstack,"I'm a Senior Fullstack Developer with 9 years of professional experience. I have used ReactJS, NodeJS, TypeScript, ExpressJS, PostgreSQL, MongoDB, MySQL, Redux, Redux Toolkit, Redis, NextJS, REST API, GraphQL, Olympe Framework, GatsbyJS, Material UI, Tailwind CSS, Git, Figma, Jira, CircleCI and much more technologies on various commercial projects.
I have lead the development teams, communicated directly with clients, created responsive UI and animations, created and integrated APIs, enhanced UX, increased performance of applications and found solutions to problems.
I have both office and remote working experience.
I have residency permit and FOP account in Ukraine.
I have worked on more than 15 medium to enterprise projects so far with great customer feedback.
I would like to work with friendly colleagues and experienced developer team with modern technologies."
fullstack,"I have significant experience in developing custom solutions using WordPress, NodeJS on the Back-end, as well as in Front-end technologies, including HTML5, CSS3, JavaScript and jQuery, React.js/Next.js. I actively worked on integration with third-party services and APIs, as well as support, updating and improvement of existing solutions. I was engaged in migrations and data transfer between different systems.
I have a Mobile Developer (React Native) certificate from Binary Studio.
I am open to performing not only technical, but also managerial tasks, and I also have extensive experience working on responsible and large-scale projects.
Interested in remote work. Long-term projects in priority. Small teams"
fullstack,"English - Upper Intermediate
My Role: Full Stack developer with complete knowledge as Back / Front / Mobile part
SKILLS
middle:
Back-End part
Front-End part
Node (Nest / Express ES5/ES6)
TypeScript
React + React Native
Angular (v.1+ / v.10+)
Docker
RxJs
DB (Mongo | PostgreSQL | MySQL)
MERN
Code Review
strong +:
Redux / NgRx
AWS / EC2 / LightSail
ElasticSearch
GraphQL
junior:
Expo
general:
JIRA / Sprint / Agile
Rabbit MQ / Apache Kafka
Figma
GitLab / GitHub
Ionic
FRONT END
- Angular language using any approaches to the separation of business logic from working with data.
- Writing style using a common developer approach to code.
- Dynamic in teamwork with team leaders.
- I maintain the cleanliness of the code for an easier and clearer review of the code review and further support.
- I write component files without unnecessary interrelationships between files, which simplifies making changes and maintaining them in production
BACK END
- Sufficient knowledge of the repository to support and adjust the work of the project in the production environment.
- In most cases, the code review took place under the leadership of team leaders
- Experience in project support with hosting on AWS / Elastic BeanStack / Rouse 53 / EC2 / AWS Lambda, S3 bucket and AWS LightSail
- Sufficient knowledge of MongoDB, MySQL and PostgreSQL databases
FULL STACK
- Sufficient skill in the back and front side of project architectural development
- Site deployment on AWS using Docker
- Support for the API / analytics site on AWS
- Work with RabbitMQ, Diagrams, microservices architecture
- Support project in AWS Hosting
- Make Node applications, API
- Was part of an international team in one of the European projects
I don't search the offers like:
- Java;
- C#"
fullstack,"During my time there, I specialized in developing full-stack applications.
My expert knowledge field is using React and related technologies such as Redux, ReactRouter. Also for the SSR I'm using framework Next.js. For the backend part I'm experienced using Nest.js frame work to make solid solution both monolithic and microservice applications .
Now I consider myself as a full stack developer with a bias in the development of the backend of the application.
I have several projects  such as: bank aplication, online store, music hosting. This projects related on my core stack: Nest, Typeorm, AWR RDS, Cloudflare S3, Postmark etc
Hello there! I'm  Fullstack developer, and I've gained some experience in NestJS, microservices, PostgreSQL, TypeORM, Swagger, and Postman. While I still have a lot to learn, I'm happy with the progress I've made so far.
One thing that I'm proud of is my ability to design and build applications that can scale horizontally by breaking down functionality into smaller, independent services. I've also become comfortable working with PostgreSQL and TypeORM, which has allowed me to write efficient queries to retrieve data from the database.
Swagger and Postman have been helpful tools in designing and testing RESTful APIs, and although I'm still working on improving my React skills, I'm excited to continue learning and building dynamic user interfaces that can work seamlessly with the backend."
fullstack,"Ukrainian National University named after V. N. Karazin, Computer Science Department, AI
Projects:
1) Platform for finding and rent apartments in collaboration with largest hotel franchises;
React, Redux, Material UI, Java, Kafka, Kubernetes, Python, Node.JS
2) A German product for drivers who have been in an accident and want to show their photos of breakdowns for the workshop.
React, Redux, Material UI, PostgreSQL, MongoDB, GraphQL, Azure
3) An American product related to Music distribution. More than 12 years in use with modern world music leaders.
GraphQL, React, Redux
4) An American start-up product started from 0 related to real estates agencies for review apartments optimization.
React, Redux, Django, Render, PostgreSQL, Figma
5) Chrome extension for gathering all contacts in one app from different social sites.  React, Docker
6) Online flights hotels bookings distribution, React, Java
7) Agriculture Product: React, Node.js, AWS lambda
University projects:
Simple simulation of restaurant system, Java;
Visualization of AVL- tree algorithm, Java;
Development in large teams,
Development in small teams as UI team leader
Programming languages:
JavaScript (full stack, frameworks for the front-end, node.js for the back-end), Java
Knowledges:
OOP, MVC, Object modeling, Design Patterns, UML, SOLID, REST
Version control systems:
Git
Databases:
MySQL, Mongo, Elasticsearch, PostgreSQL
Development tools:
IntelliJ IDEA, Eclipse, Consul, Kafka, Apache, Visual Studio, Jenkins, AWS, Figma
Additional languages:
German – Elementary (Reading)
Spanish - Elementary
I am interested in Fullstack development, because I like to develop tasks from zero to the end. I like to see all steps of development.
Also, I am looking at the partnership team, but it's not required.
I am very responsible, a person who you can relied on, I can fully devote my time to a specific task or project. Looking for an opportunity of professional and career growth, code reviews, flexible schedule."
fullstack,"I am a junior Frontend developer.
I have HTML, CSS, JavaScript, React.
I love learning and discovering new technologies, I like painstaking, detailed work that requires attention and perseverance, I am very responsible in completing tasks. In the future, I want to become a professional in creating high-quality digital products.
Watchcharm  [HTML, CSS]
A website with a responsive layout. Online watch store offering exclusive models from world brands.
Role: developer
Build project on github.
DevCore [HTML, SASS, JS, Vite, REST API, Axios]
A website with a responsive layout. Lloyd Jefferson is a full-stack developer who creates fast, user-friendly, and effective web solutions.
Role: developer
Build project on github."
fullstack,"I am a full stack developer with a background in Computer Engineering and above average English proficiency with a Bachelor's degree in Computer Engineering. My passion lies in simplifying business processes and improving user experience, so I accomplish tasks in an efficient and timely manner
Technologies: HTML5, CSS3, Sass (SCSS), JavaScript/Typescript, React.js, Next.jsm Node.js, SQL, PostgreSQL, MongoDB, Express, Redux/Redux Toolkit, Zustand, Stripe, Shopify, HeadlessCMS, TailwindCSS, Shadcn.ui, ChakraUI, MaterialUI, Framer Motion, GSAP.
Created new and modified existing websites using JavaScript, HTML and CSS, and implemented web applications using modern technologies (React.js, Next.js, Stripe, HeadlesCMS, MongoDB, PostgreSQL);
Wrote reusable, testable, and efficient code, adhered to development standards and coding best practices, and took ownership of code;
Conducted code reviews, investigated, reproduced, fixed defects, and interacted with external web services;
Communicated directly with customers and demonstrated new features;
Mentored junior developers as well as conducted technical interviews for prospective candidates;
1. Successfully led a team and set up an online store.
2. Successfully conducted technical interviews for other candidates
3. Graduated from Mate Academy's programming course in first place out of the group
4. Successfully performed tasks of a middle developer and mentored junior developers.
5. Received a military specialty and became a reserve officer in the armed forces of Ukraine.
6. Received personal gratitude from the client for the quality work on the project.
7. Received the 1st sport category in powerlifting.
8. Won about 10 prizes in karate championships."
fullstack,"I am a 27 years old Full Stack Software Developer with BSc in Automation Engineering and MSc in Computer Science.
More than 8 years of professional experience in Software Engineering my main tools are:
Javascript, TypeScript, Vue.js, React.js, Nuxt.js, Next.js,  Node.js, Express.js, PHP, Laravel, MySQL, NoSQL, MongoDB, Firebase, AWS, Kafka, RabbitMQ, Linux
I have experience of building projects from scratch, maintaining and developing existing projects, migrating and integration with third-party apps.
Co-Founder of 450 000+ users SaaS Edtech startup (Oxuyan - Examination Platform)
Work experience in big tech companies - Ericsson, SAP, Nokia.
I have experience in development of varying complexity in various domains, such as real estate, edtech, finance, healthcare, e-commerce and SaaS.
- Mainly Javascript related remote jobs
- Supporting, migrating and maintaining a product, adding new features, fixing bugs
- Communicative team
- Gross salary expectation is between $5000-$6500. I'm fine with Frontend only or Full Stack positions."
fullstack,"Dynamic Full Stack Web Developer with 2+ years of experience in JavaScript, React, and Node.js. Skilled in building applications from database to UI, optimizing React performance, managing complex databases, and collaborating with web designers. Committed to delivering high-quality, user-friendly solutions."
fullstack,"Full-stack Developer with 3+ years of experience.
I have worked on decentralized platforms, NFT games, and CRM systems, handling both frontend and backend tasks. While my main focus is on frontend technologies (React, TypeScript, Redux), I am also proficient in backend development with Node.js, Web3, GraphQL, and MongoDB, enabling me to build seamless full-stack applications.
In a relatively short time, I have mastered a new profession for myself and I really enjoy developing in it. It's very cool to create projects with my own hands."
