Category,Resume
hr,"Experienced humanitarian project manager transitioning into the IT sector with a solid foundation in Agile methodologies, including Scrum and Kanban. I’ve led multidisciplinary teams and implemented sprint-based workflows while coordinating complex protection and mental health programs funded by ECHO, BHA, UNICEF, UHF, GAC, and GFFO.
I hold a Master’s degree in Public Administration and have successfully managed cross-functional teams, facilitated strategic planning sessions, and introduced Agile elements in non-technical environments. I'm now looking for opportunities in the tech field as a Project Manager, Delivery Manager, or within Talent Acquisition — where I can combine my strong interpersonal skills, emotional intelligence, and strategic mindset to build and support effective teams."
hr,"I’m HR Director with over 7 years of experience in human resources, recruitment, and leadership, specializing in full-cycle hiring, team management, and strategic business development. My expertise lies in sourcing and recruiting for a wide range of industries, including E-commerce, Marketing, EdTech, Design, Medicine and Logistics, covering positions from entry-level to C-level executives.
Throughout my career, I’ve reviewed thousands of candidate CVs, successfully placed hundreds of professionals in roles where they continue to work, and consistently closed a high volume of diverse vacancies on an ongoing basis. I have a strong background in designing recruitment strategies, streamlining hiring processes, and guiding teams to achieve their goals. I’ve led a dedicated team of three — two recruiters and one HR manager — overseeing performance metrics, improving workflows, and driving results. Additionally, I’ve developed funnels for creating chatbots that optimized recruiting processes, enhancing efficiency and candidate engagement.
My experience also includes recruiting for the Amazon business ecosystem, where I’ve hired professionals such as project managers, account managers, PPC specialists, buyers, logisticians, graphic designers, and 3D designers, etc.
I’m skilled in leveraging sourcing tools like LinkedIn, Djinni, and job platforms (Jooble, Work.ua, Rabota.ua), as well as Telegram, to find top talent. I’m also well-versed in HR automation tools like PeopleForce and Hurma, and I have extensive experience with CRM/ERP systems to support data-driven decisions.
Beyond recruitment, I’ve built HR departments from ""0"", introduced employee motivation programs, and implemented ATS systems to enhance efficiency.
What I can offer:
7+ years of HR and recruitment experience, with a proven track record of filling high-volume roles.
Expertise in full-cycle hiring, executive search, and talent sourcing across diverse sectors.
Leadership as an HR Director and former CEO, driving strategy, operations, and team performance.
Proficiency in HR tools and CRM systems for streamlined processes.
A strategic, data-driven approach to optimize hiring funnels and enhance team productivity.
A growth mindset, always seeking new knowledge to stay ahead in the industry.
I’m here to help as HR Director, HRBP, career advisor or job coach.
HRD
Development of strategy and tactics, construction of HR processes for Private Label, Amazon (USA/Europe).
Staff search: Amazon Team Lead, Senior Account manager, Middle Account manager, Chief designer, Customer support, PPC.
Development of HR documentation.
Training recruiters in all stages of search and optimization of recruiting processes.
Implementation of HR system, CRM.
Key Achievements:
- Developed HR brand strategy and optimized processes for the company.
- Recruited 6+ key staff (Team Leads, Senior Account Manager, PPC) in 3 months.
- Implemented HR system and CRM, reducing onboarding time by 25%.
- Trained 2 recruiters in recruitment optimization techniques.
HRD
Search and selection of personnel: Amazon product search and analysis specialists, assistants of account managers, Amazon account managers, PPC specialists, logisticians, international lawyers, designers, SEO copywriters, Project managers, etc. Including, search and selection of personnel abroad (India, Pakistan, etc.).
Formation of a personnel reserve of employees.
Adaptation and onboarding of new employees.
Participation in resolving labor disputes and conflict situations; carrying out work to manage social processes in the company, working to create a favorable psychological climate in the team.
Development of job descriptions for staff.
Participation in the formation of the company’s corporate culture.
Calculation and payment of wages to employees.
Development of test tasks, questionnaires, checklists for candidates for positions.
Conclusion of NDA agreements.
Participation in the development of chatbots for candidates for various vacancies, development of a chatbot funnel, optimization of the recruiting process, testing of chatbots.
Conducting employee training, in particular, training for recruiters.
Control over the completion of tasks, compliance with deadlines.
Participation in making and implementing decisions on hiring, promotion, announcement of incentives, accrual of bonuses and imposition of penalties/fines, demotion, and dismissal of employees, together with the company management.
Key Achievements:
- Creating an HR department from scratch.
- Hired 80+ specialists (Account Managers, PPC, designers, SEO, etc.) across Ukraine, USA, India, Pakistan.
- Built talent pool, cutting hiring cycle by 20%.
- Designed job descriptions and payroll system for 50+ employees.
- Improved team engagement by 15% through conflict resolution.
Etc.
I am considering HRD, HRBP positions on a remote basis. I can also consider other offers related to the field of personnel search and selection. I work in various niches. For the last 4 years, I have worked in the field of e-commerce, private label on Amazon. I am looking for a strong team with the opportunity to grow and scale."
hr,"Hey, I’m Eman, and I am not just a typical HR Operations Manager
I am a hard-working specialist committed to excellence, backed by a strong work ethic, a positive mindset, and a strategic approach. I thrive on combining the best of both worlds—humanitarian and mathematical techniques.
I am a dedicated recruiter with a proven ability to manage the full recruitment lifecycle, from sourcing to onboarding. My experience includes reducing hiring timelines by 20% and building robust talent pipelines to meet critical staffing needs effectively.
With a background that blends recruitment, customer service, and business analysis, I bring a well-rounded skill set for understanding diverse client needs and delivering exceptional results. Fluent in Arabic, French, and English, I excel at fostering inclusive hiring practices and connecting with candidates from varied backgrounds."
hr,"Мені 25 років, я IT-рекрутерка та HR-менеджерка із практичним досвідом підбору
персоналу як на технічні, так і нетехнічні позиції. Пройшла шлях від асистента до
самостійного фахівця, що одночасно веде до 8 вакансій. Проводила інтерв’ю
англійською мовою, маю досвід організації процесу найму на європейському ринку.
Також працювала з арбітражною командою, зосереджуючи зусилля на підборі
персоналу.
Шукаю нові можливості як HR-менеджерки, рекрутерки або ресерчерки. Прагну приєднатися до команди активнийх однодумців, щоб навчитися новому та підсилити команду своїм досвідом.
Цікавить як фул-тайм, так і парт-тайм чи фріланс пропозиції. Готова до співпраці в офісі у Франківську або ремоут формат."
hr,"Все життя працювала тільки в ІТ компаніях, як великих, так і старт ап. Починала свою карʼєру з адміністративних посад та мала людей в підпорядкуванні. Згодом вирішила рухатись в напрямку HR, тому що моя професія тісно повʼязана з моїм хоббі - психологія.
Хотіла б найти роботу у сфері HR для вдосконаллення своїх навичок"
hr,"I'm an HR Generalist with over 7 years of experience. I specialise in running and enhancing existing Talent Management processes, developing, and implementing new ones. I’m committed to building efficient culture, developing wellbeing, and establishing effective, trustful employee relations through HR.
My expertise extends to performance management, managing learning and development programs, HR automation, working with employee engagement and retention, and facilitating employee life cycle. I employ a data-driven and systems approach to HRM in decision-making and solution design. I apply knowledge and tools from HR, project management, business and people analysis, psychology, and consulting in my practice.
My complex actions in performance management, staff risk implementation, job and team design improvements, and communication helped increase retention and employees’ engagement.
During company crisis, in collaboration with line managers I developed monthly workforce and expanses optimization plans that allowed to omit lay-offs and maintain zero employee turnover;
I successfully automated an employee engagement and satisfaction measurement process using Workday Peakon tool. That helped to boost feedback and effective decision making.
I am interested in HR Generalist or HR Partner role at a company where I will be able to apply my knowledge and skills to contribute to the company's success and personal growth. I am comfortable working both independently or as part of an HR team, remote or from an office in Kyiv."
hr,"Have experience in both recruitment and HR areas.
Recruited for the US and European markets.
Various interviewing techniques, candidates search and experience with a lot of job boards for the candidates search.
Onboarding, adaptation, retention, L&D, offboarding.
Experience with the following tools:
BambooHR, Paycom, Phenom CRM, Notion, Jira, Confluence, Miro.
Extreme attention to details and a high work ethics.
Looking forward to speaking with you;)"
hr,"I have eight years of experience in HR with IT, e-commerce, and digital companies.
I started as a recruiter at Dals Media and quickly became a lead within a few months.
After that, I worked for three years as an HR manager at Autodoc in the Moldovan branch, where my colleague and I created all the HR processes from scratch and I supported over 250 people (developers, management, and client support).
For the last three years, I have worked as an HR+Account specialist at Beetroot, where I support over 45 people in various stacks and provide HR services to Swedish and German clients. Additionally, I was an HR business partner for one of our largest in-house teams.
I have expertise and experience in the following areas:
- Implementing and improving HR processes;
- Providing full lifecycle support for teams (onboarding, 1:1, performance reviews, offboarding);
- Leading HR functions and projects;
- Participating in cross-team projects;
- Data collecting and analysis;
- Organizing and coordinating company's events and activities (50-550 people);
- Developing company's branding and merch;
- Maintaining internal communications."
hr,"I am open for a position of HR People Partner, HR Business Partner.
I have experience in IT, educational, social and digital fields
About 5 years of experience in people management.
- lifecycle processes (onboarding, 1-1 meetings, learning and  development, satisfaction feedback, performance review, Salary review, retention,  offboarding)
- conducted internal surveys and their analysis (Gallup Q12, eNPS etc)
- solved administrative issues and requests of the team
- organized and partially implemented internal training, master classes, workshops
- organization and maintenance of the company's current HR knowledge base (internal policies, processes, benefits, employee handbook, Salary documentation, adaptation manuals, standard operating procedures)
- HR analytics
- managed HR projects, such as the creation of adaptation systems, well-being
- cooperated with specialized training centers to attract talents
- supported and developed corporate culture
- coordination of various events related to employees (birthdays, significant life events, gifts and bonuses, evaluations, promotions, training, etc.)
- reporting on the required HR indicators
- organized and conducted corporate events and team building (online)
* Building HR department from scratch
* Created a EVP and promoted the HR brand
* Created a Performance Review &  Salary Review process from scratch
# Employer Branding, Laba 2024
# HR Business Partner, Laba 2024
I am looking for a company for long-term relationships with the possibility of professional development.
Only work remotely"
hr,"HR Manager
Come Back Agency
Period of work: September 2024–Present
Responsibilities:
- Developed the employee onboarding process, including creating accounts and preparing documents.
- Conducted a recruitment audit and provided recommendations for process improvements.
- Organized regular one-on-one meetings with employees.
- Managed HR documentation, including NDAs, contracts, and internship agreements.
- Designed and implemented a vacation policy for the company.
- Transitioned management processes to ClickUp for optimization.
- Calculated payroll and ensured timely employee payments.
Technologies:
Microsoft Office, Google Workspace, ClickUp, Notion
HR Generalist
Softlike
Period of work: September 2023–June 2024
Responsibilities:
- Executed the full recruitment cycle, including resume screening, HR interviews, and candidate support through the offer stage.
- Designed and implemented the onboarding process for new employees.
- Conducted regular one-on-one meetings with team members.
- Developed KPIs to evaluate team performance.
- Created and implemented a vacation policy for the company.
- Organized employee satisfaction surveys to gather and analyze feedback.
- Coordinated offboarding processes.
- Planned and executed offline team building events.
- Managed HR documentation.
Technologies:
Google Workspace, ClickUp, Slack, Microsoft office, Trello."
hr,"I have two years of experience working in an IT company. I understand the IT company structure from the inside and know the responsibilities of workers.
EXPERIENCE:
Customer Support Representative
Jun 2021 - Present
- Handle customer complaints, and provide appropriate solutions
- Сommunicate with customers via support tickets and emails
- Identify and assess customers' needs to achieve satisfaction
Retail Assistant (wholesale stationery products)
Summer 2017
Developed skills in customer service, teamwork and time management.
Always ready to learn and understand new concepts. Easily collaborate with others. Flexible to work in any environment as required.
I have completed:
Confluence Fundamentals Badge course
Jira Fundamentals course
I have finished the Creative Spark English Club course by British Council."
hr,"Внутрішні HR-процеси та підтримка працівників
- Онбординг та адаптація: забезпечую комфортний процес адаптації — проводжу welcome-презентацію, екскурсію офісом, знайомство з командою, супровід першого робочого дня
- Офбординг: проводжу 1-to-1 зустрічі при звільненні для отримання зворотного зв’язку
- Внутрішні політики: створюю та оновлюю внутрішні HR-документи, політики, форми
- Внутрішня комунікація: інформую колег про нові процеси та ініціативи, створюю міні-опитування для вивчення потреб працівників, підтримую позитивну атмосферу в колективі.
Компенсація та бенефіти
- Шукаю та аналізую постачальників для забезпечення необхідних бенефітів, комунікую з партнерами
- Організовую внутрішні корпоративні заходи, події та ініціативи.
Бренд роботодавця
- Представляю компанію на зовнішніх івентах, кар'єрних форумах, університетських заходах
- Проводжу презентації та виступаю як лекторка, просуваючи EVP компанії
- Розробляю промоматеріали: презентації, банери, інформаційні листівки
- Координую співпрацю з університетами, освітніми платформами та зовнішніми партнерами.
Рекрутинг
- Підбираю фахівців нетехнічних напрямків (бухгалтерія, аудит, податкове консультування, право, фінанси, маркетинг)
- Працюю з повним циклом підбору: брифінг з менеджером → формування профілю кандидата → пре-скринінг → інтерв’ю → супровід до офферу
- Активно використовую LinkedIn, пошуковими платформи, роботу з рекомендаціями
- Працюю у партнерстві з наймаючими менеджерами на всіх етапах процесу
- Веду звітність по етапах рекрутингу, аналізую ефективність каналів пошуку
- HRM/ATS системи: PeopleForce, e-staff.
I am eager to continue developing my career in the HR field, with a particular focus on:
- Recruitment & Onboarding: I am passionate about optimizing recruitment processes and ensuring smooth onboarding experiences for new employees.
- Employee Experience & Engagement: I am interested in fostering a positive work environment, enhancing employee engagement, and driving initiatives that contribute to a great workplace culture.
- Employer Branding: I aim to strengthen employer branding by effectively communicating the company's values, mission, and culture to attract top talent and improve brand perception.
I am motivated to learn new things. I regularly attend professional lectures to stay up to date with the latest industry trends.
Currently, I’m actively improving my English skills through courses."
