Category,Resume
java,"As a former architect from Kyiv, I transitioned into Java development, merging design thinking with technical expertise. I excel in Java, Spring Boot, Hibernate, and database management (PostgreSQL, MySQL), creating secure, scalable applications with Spring Security, Docker, and AWS.
I am passionate about innovation and ready to work in international teams, leveraging my various skills to drive impactful solutions."
java,"Java Developer with 6 months of production experience, known for quickly mastering new technologies and independently tackling complex domain models. Skilled in problem-solving and bug fixing, enhancing project performance and reliability. Combines strong practical and theoretical knowledge with excellent soft skills and English proficiency, making for an effective team player who adapts swiftly to new challenges.
Looking for a team that values initiative, continuous learning, and an engineering mindset. I aim to deepen my technical skills, work with modern technologies, and contribute to designing impactful solutions. I appreciate environments with mentorship, clear feedback, and a culture that supports both individual growth and strong team collaboration."
java,"Project - Estonian Transport Company
Designed and implemented solutions for multiple clients across Nordic and Baltic countries
- Actively collaborated with key project managers and stakeholders in refinement sessions
- Participated in reviewing project requirements to identify customer expectations
- Contributed to the architectural design of current systems and performance optimization to architect solutions that meet current and future business needs
- Played a pivotal role in the migration of legacy/outdated services to Modern Architecture
- Collaborated with cross-functional teams to ensure smooth integration of new features into the system and the quality of the application's performance and functionality
- Orchestrated integration with e-government services and external systems
- Conducted regular code reviews to ensure code quality, adherence to coding standards, and best practices
Project - Estonian Insurance Company
- Refactored and reworked integrations with external services like Estonian government and Swedish insurance
- Designed architectural diagrams and API designs of new features for the architecture committee
- Integrated 3rd party APIs to add new functionalities to the current system.
- Worked closely with the team to track progress and manage deadlines
- Followed unit/integration testing methodologies to identify potential issues
- Monitored system performance and recommended improvements or optimizations
Project - UK Gambling solutions
- Develop new features and functionality for online gaming websites.
- Implement trading and sportsbook solutions to customers' specifications.
- Provided technical guidance to junior members of the team on best practices for coding
Project - Mobile banking application
- Played a pivotal role in developing mobile banking application, implementing functionalities like onboarding, SMS notifications, investment management, and simplified payment systems.
- Implemented enabling loyalty program integrations and targeted campaigns based on customer data events using Apache Kafka
- Integrated external services for real-time payment and transfer processes, ensuring secure and seamless transactions.
- Improved customer experience by designing digital signature functionalities for investment onboarding.
- Contributed to backend development by creating synchronous data updates through core integration services.
- Created documentation to ensure smooth project handovers and maintain team productivity.
Oracle Certified Associate, Java SE 8 Programmer
Senior Java Software Engineer with over 8 years of experience delivering innovative solutions across diverse industries, including FinTech, Banking, Transportation, Insurance, and Gambling.
Skilled in modern technologies like Java (8/11/17/21), Spring Boot, Microservices, Kafka, AWS, Docker, and Kubernetes with a focus on building scalable, secure, and efficient systems.
I have contributed to projects for international clients, including Nordic and Baltic countries.
In my current role, I have spearheaded the migration of legacy services to modern architectures, integrations with e-government services and external systems, optimized system performance, and delivered mission-critical applications.
I am passionate about building solutions that enhance user experiences and solve real-world problems.
I thrive in collaborative environments working closely with stakeholders, product owners, and cross-functional teams to deliver high-quality solutions that meet business objectives.
I am actively seeking opportunities to bring my skills to innovative and dynamic teams where I can contribute to long-term growth."
java,"Senior Java developer with 12 years of experience in designing, building, and optimizing software solutions. Since starting my career, I have continuously evolved as a professional, working across diverse domains, including e-commerce, automotive, igaming and finance. As a team player, I not only strive to deliver high-quality solutions but also actively contribute to team development."
java,"I am a senior java developer, Have about 16 years of work experience in web programming. I worked in different domains like Finance , CRM, IOT. I can work as a full stack developer, in the backend and frontend parts.
I have created projected from scratch, which is now in production. This project using modern microservices architecture. So I am proud of my self to make impossible possible :)
New challenges, New technologies"
java,"Dedicated and detail-oriented Java Backend Developer with 2 years of experience in designing, developing, and maintaining robust and scalable Java applications. Demonstrated proficiency in providing new solutions and supporting existing ones for server-side Java applications. Passionate about learning new technologies and improving code quality to deliver high-performing software solutions."
java,"Experienced Java Software Engineer with 6+ years in development, specializing in Java, Spring, JPA/Hibernate, REST, SQL, and NoSQL. I have a strong background in software design and OOP principles. Passionate about creating innovative software solutions."
java,"Досвід роботи:
З 2024 року працюю в компанії UkrSoftLab, почавши з позиції Інтерна Java Developer, а згодом став Junior Backend Developer. Моя основна діяльність — розробка бекенд-рішень для монолітних архітектур, інтеграція баз даних та підтримка інфраструктури.
Технології:
Розробка бекенд-частини з використанням Java та Spring Framework.
Напрямок розвитку:
Моя мета — стати інженером, який глибоко розуміється в екосистемі та життєвому циклі розробки складних систем. Планую поглибити знання в проєктуванні масштабованих та відмовостійких архітектур і освоїти сучасні методи оптимізації процесів і автоматизації. Хочу брати активну участь у прийнятті інженерних рішень, які впливають на розвиток продуктів та компанії.
Оптимізував обробку HTTP запитів, використовуючи асинхронну обробку та кешування, що дозволило зменшити час відповіді сервера на 40% та покращити масштабованість системи під навантаженням.
Розробив інтеграцію з реляційною базою даних PostgreSQL для обробки великих обсягів транзакцій, що дозволило знизити час завантаження даних на 25% та покращити стабільність роботи системи при високих навантаженнях.
Переробив частину внутрішньої інфраструктури, впровадивши багатомодульну архітектуру та автоматизацію процесів деплоя, що знизило кількість технічних інцидентів на 30% і скоротило час на виправлення помилок."
java,"My responsibilities were:
- Writing and maintaining API and UI automation test cases;
- Testing framework improvements;
- Regression and smoke testing;
- Bug reporting;
- Mentorship for new members of the project;
- Preparation of test documentation (test cases, checklists);
- Investigating and rerun yellow\red tests on CI\CD.
QA Automation Engineer (Freelance)
May 2022 – May 2023
Designed and maintained automated UI and API test suites using Selenide and Karate.
Integrated automated tests into Jenkins pipelines for seamless CI/CD.
Collaborated with teams in an Agile environment to ensure high-quality releases.
QA Engineer EPAM Systems | April 2021 – April 2022
Automated UI and API tests using Selenium WebDriver and Postman.
Conducted manual testing for end-to-end workflows and validated API functionality using SQL and Docker.
Collaborated with cross-functional teams in two large-scale Agile projects: healthcare and e-commerce.
Supported Jenkins CI pipelines by integrating automated test executions.
DevOps Course – Prog.Academy | June 2023 – November 2023
Configured and managed AWS accounts, IAM policies, and EC2 instances.
Implemented CI/CD pipelines using Jenkins and GitLab, integrating tools like Slack and Telegram.
Automated infrastructure provisioning and management using Terraform and Ansible.
Deployed containerized applications with Docker, Docker Compose, and Kubernetes.
Published CI/CD pipeline results on GitLab Pages.
Developed a web application deployment workflow from Git to a server, automating the process with Jenkins and Bash scripts.
QA Automation Course – Prog.Academy | December 2020 – February 2021
Gained strong Java automation skills, including OOP principles, collections, and efficient test design patterns (Page Object).
Developed and implemented scalable test execution environments using Selenium WebDriver and Selenide, optimizing test stability with XPath/CSS selectors
Applied industry-standard testing methodologies, including TDD and BDD ( Cucumber), ensuring high-quality test coverage.
Built robust test suites using JUnit and TestNG, integrating with Jenkins for continuous integration and delivery.
Automated API testing for web services, utilizing RestAssured and Postman for efficient backend validation.
Strengthened backend testing proficiency through hands-on experience with SQL databases, focusing on CRUD operations.
Acquired foundational DevOps skills, including Docker containerization and Jenkins pipeline integration to streamline test execution.
Developed comprehensive test reporting solutions using Allure, improving visibility into automation results.
Designed and implemented a custom automation framework, improving test execution efficiency and maintainability."
java,"GlobalLogic - Intern
January 2024 – February 2024
Worked on a project with the STM32F051R8 device to encrypt and decrypt files.
Developed the encryption and decryption logic and created the program's user interface, where
the user could provide a file and perform encryption and decryption operations.
In a team of four developers, I led the project's organization and provided support with logic
implementation.
Stack: Java, JavaFX"
