Category,Resume
product manager,"I’m a Product Manager with a background in project management and a strong focus on delivering real value to users and businesses. I work closely with cross-functional teams to define product vision, prioritize features, and drive execution from idea to launch.
Key strengths:
- Translating business goals into clear product requirements
- Collaborating with designers, developers, and stakeholders
- Using data to guide decisions and validate assumptions
- Managing roadmaps, backlogs, and product lifecycles
- Communicating clearly across teams and levels
I’m passionate about solving real user problems and improving products iteratively. Open to opportunities where I can grow as a product manager and contribute to meaningful products."
product manager,"1. Led business analysis for 100+ projects, including web development, mobile development, ERP/CRM/HRM development, Custom platforms development, implementation and maintanance.
2. Optimized business processes for IT, HR, Finance, Legal, Marketing, Sales, Operations, and Customer Support departments, increasing efficiency by 30-90%.
3. Implemented task, document, and requirements management systems, including JIRA, ClickUp, Quire, Trello, Confluence, and Google Drive.
4. I created tons of technical requirements and documentation for projects (BRD, MRD, PRD, FRD, SRS, Use cases, User stories, BPMN & UML diagrams, etc.
5. Developed ITIL frameworks and Help Desk systems within JIRA & Confluence environments.
6. Led API integrations for Nova Poshta, Auchan, WayForPay, and internal systems. Executed cross-platform integrations, including GitHub & ClickUp, JIRA & HubSpot, Confluence, Heroku & GitHub, and
1. Provided business analysis for 100+ clients, specializing in stakeholder management, requirements gathering, and business & technical documentation (SRS, PRD, BRD, MRD, API docs, user stories, etc).
2. Optimized system integrations, product development, and process efficiency for Toyota, Nestlé, British American Tobacco, Philip Morris, IKEA, JYSK, McCarthy Holdings, Glovo, Nova Poshta, Prozorro.Sale, Kyivstar, Universal Bank, OTP Bank, and Viasat Ukraine.
3. Executed projects across 20+ global markets, including the USA, Japan, the United Kingdom, Germany, France, Spain, Switzerland, Turkey, Poland, Sweden, Israel, Kazakhstan, Czech Republic, Denmark, Hungary, Ukraine, Latvia, Estonia, Cyprus, and Georgia.
4. Collaborated with professionals from 80+ nation, leveraging cross-cultural expertise to drive innovation.
5. Worked alongside talents from Google, Apple, Microsoft, Meta, Netflix, Amazon, Walmart, Starbucks, Verizon, Walt Disney, Goldman Sachs, Nike, Salesforce, Cisco, PwC, Sony PlayStation, Warner Bros., Spotify, Activision, Twitter, TikTok, eBay, IBM, Nissan, FC Barcelona, Procter & Gamble, and Ford.
6. Industry expertise across 30+ sectors, including IT Services, FinTech, E-Commerce, Retail, Manufacturing, Agriculture & Horticulture, Healthcare, Financial Services, Transportation & Logistics, Government Sector, Automotive Services, Energy, Real Estate, Fashion, Trade, Sports, Leisure & Entertainment, Education, Food Processing, Construction, Furniture, Fulfillment, Courier & Parcel Delivery, Charity, Civil Rights,  Environmental Initiatives, and Gambling.
I'm looking for:
1. Great team who are proactive, reliable, and with whom we can make a difference.
2. Exciting projects that make our world a better place and help our society live better lives. If your project solves social problems, probably it's interesting for me.
I'm not looking for:
1. Toxic environment.
2. Cooperation with Russian, Belarussian, or Iranian companies or working in one team with people from these countries."
product manager,"Project Coordinator with over a year of experience at AJAX Systems, a product company that develops security systems. I coordinate the release of new devices: from the implementation of engineering changes to the launch of mass production.
I ensure effective cross-functional interaction between the development, production, logistics, and marketing teams to ensure timely implementation of engineering changes and adherence to project timelines.
I use Jira, Notion, and Google Workspace. I have a good understanding of hardware manufacturing processes and supply chains.
I am currently taking certified project management programs (Google Project Management, IBM Product Management).
My goal is to develop in the direction of Project or Product Management in a product company where I can influence the development of solutions and improve processes."
product manager,"Product-focused and automation-driven, I work across RPA, AI, and RFP process optimization to improve
performance and user experience. I lead cross-functional teams, handle delivery, and support customer success.
With deep research into Property Management Systems, I build tools for the hospitality market - turning
ineciencies into automated solutions that save time and simplify operations.
Managed projects end-to-end—from initiation to delivery—overseeing key account management, detailed
documentation, and task coordination to ensure timely delivery within scope. Collaborated closely with engineering,
UI/UX, and QA teams. Acted as the project manager for the internal product Uteach as well as various international
projects. Proficient in Jira, Trello, ClickUp, Linear, and MS Project, with hands-on experience using Figma, Miro,
Postman, Notion, Slack, Microsoft Teams, and other tools."
product manager,"I built Timeleft startup. I can help promising project to grow and spread just like I made it before.
Details of me being Product Manager:
- Data Analysis and monetization improvement strategy
- User Journey Analysis and funnel improvement
- Retention & Engagement Improvement strategy
- User Feedback Analysis and value driven development process
Improved monetization strategy;
Improved brand positioning and marketing messaging
Improved onboarding & activation metrics for 3 products;
Saved company's budget by implementing step by step MVP strategy and pivot
Startups related to:
health / fitness / well being
social networks
psychology and self-reflection
dating / connecting people
sustainability / green tech
education"
product manager,"Senior product marketer with a strong grasp of both classic marketing and modern growth tactics. Experienced in launching new apps and scaling existing ones in the mental health, health & fitness, and education markets.
Strong management skills. Reforge alumni.
- Reface: Drove a new AI journaling app to positive unit economics within the first month.
- Welltech: Created and optimized a web funnel for a new mental health app that drove a 40% CPA reduction, 1.9x conversion growth, and 1.6x higher user activation.
- BiniBambini: 1.8x purchase revenue, 2.4x ad monetization revenue, +2.1M installs per month, +15% organic traffic.
Looking for a meaningful product with a strong team"
product manager,"I have experience optimizing user acquisition and engagement funnels, focusing on converting traffic into active users and subscribers. I have developed and implemented subscription models with tiered pricing, balancing free and premium features to maximize conversion rates. My work involved calculating key financial metrics such as MRR, CAC, and OPEX, conducting A/B testing on onboarding flows and paywalls, and experimenting with trial access models to improve retention. I have designed user flows, optimized paywall experiences, and tested engagement mechanics to ensure a seamless transition from free to paid users. Additionally, I have worked on custom monetization models, tailoring subscription strategies to different audience segments. I collaborate closely with marketing, design, and development teams, leading roadmap planning, sprint execution, and backlog management. My expertise includes product analytics, utilizing tools like Google Analytics and Amplitude for data-driven decision-making. I have worked across both B2B and B2C markets, focusing on automation platforms, career planning tools, voice-to-text applications, and networking solutions. Currently, I am focused on deepening my expertise in product strategy, growth, and monetization, with a strong emphasis on data-driven decision-making and optimizing user engagement.
I see my further development in enhancing my skills in product management, particularly by deepening my expertise in analytics, strategy, and financial planning for products."
product manager,"Senior Product Designer / UX Specialist with system thinking and product ownership mindset.
I work at the intersection of UX, product, and strategy — blending research, design, and logic to build B2B/B2C SaaS platforms, marketplaces, and multi-role systems.
I focus on flows, permissions, admin UX, design systems, and user experience architecture.
I take ownership of the full design process — from discovery and research to delivery and team alignment.
I’ve also led communication with stakeholders, helped manage backlogs, and worked side-by-side with product teams and engineers.
I’m open to:
– Product Designer with team/strategy scope
– Product Manager / Owner with UX focus
– Senior UI/UX Designer roles
I’m comfortable leading workshops, connecting people, aligning priorities, and making things work.
P.S.  I’m currently in Ukraine, but (!!!) I have an exit permit
Improved product usability, increased user retention, reduced churn, and delivered measurable gains in satisfaction and profitability through UX-led, data-informed solutions.
Looking for a mature team where I can bring value and grow with the product."
product manager,"I have 8 years of experience as a Product Manager / Product owner with a solid project manager/business analyst background and some experience in digital marketing.
Product Manager/Product owner:
- generating and testing hypotheses
- roadmap creation maintenance
- product backlog creation, management and prioritization
- competitor analysis
- requirements elicitation and analysis
- feature development (user stories, acceptance criteria, user flows, diagrams)
- product metrics analysis (work with Tableau, Power BI, Google Analytics, Firebase, Amplitude, Mixpanel, etc)
- working with techniques: customer journey map, personas, user interview, brainstorming, mind mapping, SWOT analysis, prototyping
Some skills I've gained from PM/BA roles:
- setting up an Agile process for the team and leading all meetings
- requirements lifecycle management (trace, maintain, assess changes, prioritize, and approve)
- managing all phases of a project: estimation, initiation, planning, execution, control, and closure
- creating specifications (SRS, user stories, acceptance criteria, creating flows, charts, diagrams) and user manuals
- using different BA techniques: prototyping, workshops, mind mapping, document analysis, RACI matrix, estimation, brainstorming
- requirements elicitation and analysis
- risk management
- resource management
- change management facilitation
Soft skills:
- persistent
- ambitious
- passionate about my job
- attentive to details
- systematic
- friendly:)
All details in CV on request
- building 5 products from scratch or from early stages
- about 50 successfully delivered projects in PM/BA role
- testing hypothesis and launching MVP in concise terms
- positive trend of increasing engagement and retention
- expertise with b2b products (e-commerce, mental health, payments)
- work with projects on different stages (many projects from scratch)
- setting up analytics tools from scratch for making data-driven decisions
- successfully implemented agile processes for startup teams
I'm looking for a part-time Product Manager/Owner role oriented to products for the European, US, or Australian markets.
Preferred domains: fintech, e-commerce, health/mental health and other b2b SaaS solutions."
product manager,"COO at Solve Marketing
Overseeing all agency projects and the RM department.
Project launch: team formation, work plan development, and technical task creation.
Organizing and optimizing team workflows.
Ensuring project execution, meeting deadlines, and aligning deliverables with project goals.
Communication with clients and the team.
Project Manager at Solve Marketing
Outsourced marketing department: developing marketing strategies and setting up a steady flow of leads.
Project coordination, strategic planning, and task execution control.
Marketing strategy development and implementation.
Managing and optimizing advertising campaigns.
Digital Solutions Agency
Participated in product development: structuring information and finding innovative solutions.
Created and managed accounts, built portfolios, and maintained websites.
Developed marketing strategies and conducted competitor analysis.
Coordinated designers and technical specialists.
Social media management: Facebook, Instagram, LinkedIn, YouTube.
Worked with sales channels: Behance, Clutch, Dribbble, Awwwards.
Content marketing: long reads, email newsletters, blog platforms.
Engaged with influencers and media for brand collaborations.
National Online Media
Managed social media: Facebook (40,000+ followers), Instagram, Twitter, Telegram, YouTube.
Set up and analyzed targeted ads (CPC – $0.01) on Facebook and Instagram.
Community management: engaging with followers and handling negative feedback.
Organized giveaways and brand partnerships.
Developed communication strategies and marketing content (news, press releases, reviews, advertisements).
Email marketing: created segmented newsletters.
Sourced and collaborated with influencers.
Skills
Project and team management
Digital marketing, PR, and SMM
Content marketing and copywriting
Advertising and promotion
Market and competitor analysis
Client and partner relations"
