Category,Resume
project manager,"Head of Product Management, Digital Innovations Center
Oversaw the product portfolio and crafted a strategic roadmap,
incorporating Product Experience Management (PXM) principles
Created and implemented product metrics for performance evaluation,
defined features, and conceptualized new product elements in alignment
with the overarching product vision
Led strategic planning initiatives to drive comprehensive product
development
JIRA Administrator, Independent Contractor
Design workflows, screens, fields, and dashboards for JIRA projects
Handle user accounts, permissions, and configurations for Atlassian
Products
Evaluate, install, and maintain plugins
Oversee space management, permissions, and content
Product Manager, ShaggyMate
Utilized RACI and ICE matrices for structured project management,
integrating precise cost calculations, and tracked key metrics (stickiness,
MAU, DAU, NPS) for product performance evaluation
Project Manager in Goverment LLC
I expertly employed KPIs, RACI, and ICE matrices for strategic project
oversight, integrating precise cost calculations
Orchestrated sprint planning, managed team velocity, and burndown
charts for performance evaluation, conducted risk analysis, and ensured
alignment with organizational goals
Professional Agile Leadership™ - Evidence-Based Management™ (PAL-EBM) ( Product based , Market forecast, Cost Calculation)
Scrum Foundation Professional Certificate - SFPC™
Create Jira projects, config and publish
Create Selenium Automation Project
I have experience in writing tests in Java (Selenium), as well as the use of step actions.
Learning new technologies, gaining good experience and improving the current.
Interesting in gaming projects"
project manager,"I specialize in managing both small and large teams and projects. Proficient in overseeing projects from conception to completion, with a proven track record of delivering successful outcomes. Experienced in various project methodologies including Agile, Scrum, and Waterfall, with a deep understanding of SDLC.
Core responsibilities:
- Control and coordination of processes in the project team;
- Development and management of all aspects of project interaction:
- Estimating, planning (resource planning, sprints, deadlines...), retrospectives, risks;
- Task decomposition, requirements analysis, and goal achievement in line with sprint objectives.
- More than 30 completed projects.
- Successfully delivered a complex U.S. government project
- Working with a large team, with over 15 members
I have no desire to work on fleeting projects, so my future job expectations are to work on complex projects gain new experience, develop as a specialist, and make high-quality projects or products."
project manager,"As a project manager with 2.5 years of experience in IT and design, I effectively coordinate cross-functional teams and streamline workflows for faster outcomes. I have launched over 15 digital products, including websites and Shopify apps, while continuously expanding my skills to adapt to evolving business and user needs.
• Managed full project life cycle for design, website development, and Shopify apps (up to 10 projects simultaneously), resulting in greater completion predictability and stakeholder satisfaction.
• Delivered 5 Shopify apps and 10 websites in various industries, oversaw the design of 35 solutions, and supported over 50 websites, driving user engagement and consistent revenue growth.
• Led a remote group of up to 6 specialists, while handling communications with international B2B clients, helping to avoid bottlenecks and foster stronger collaboration through a clear information flow.
• Prepared estimates, tracked resources, priorities, and timelines, facilitated daily and 1:1 meetings, which accelerated decision making by defining transparent ownership and early issue identification.
• Built an MVP with Softr and implemented automated workflows using Airtable and AppSheet, cutting down manual work and increasing productivity for multiple units.
• Managed website maintenance for 5 clients at a time, achieving fewer reported errors through timely updates and proactive monitoring.
• Performed basic functional testing of websites, catching critical bugs, preventing post-release complaints, and enhancing the overall release quality.
• Created and edited content across 30+ pages in WordPress and Shopify CMS, which reduced publishing time and ensured site consistency by using structured templates.
• Promoted Agile practices and introduced an employee feedback form to encourage better team alignment, with a measurable 30% improvement in estimation accuracy and delay mitigation."
project manager,"* Financial Technologies and Artificial Intelligence
* Digital marketing systems
* Real estate investment platforms
* E-Government and Public Services
* Telecommunications and Networking Technologies
* Security Management Systems
* Hospitality and Restaurant Industry
PROJECTS:
FinTech AI (Startup):
Innovative product integrating artificial intelligence and cash transactions, simplifying processes for entrepreneurs and enhancing transparency and security in taxation.
REAL ESTATE INVESTMENT PLATFORM (Fixed Price Contract):
Development of an international real estate investment platform utilizing DAO contracts and cryptocurrency.
LOYALTY MANAGEMENT SYSTEMS (Fixed Price Contract):
The development of gamified loyalty systems aimed at brand development and increased lead generation efficiency. Utilizing interactive modules such as chatbots for data collection and automated promotional information.
AUTOMATED SECURITY SYSTEMS (Time and Materials Contract):
System for managing the full cycle of security services of a large security company consisting of three separate parts:
1) administrative panel (monitoring center with signal reception from alarm sensors of security systems, automated assembly of rapid response groups, navigation alarm processing system);
2) mobile application for rapid response teams and engineers, with the ability to draw blueprints of buildings and install map security sensors;
3) client mobile application with a billing system and security system management).
AUTOMATION OF THE MINISTRY ARCHIVE (Fixed Price Contract):
Automation of state registries using digital identification systems. Development of user cabinets of various types.
INTERNET PROVIDER CRM (Time and Materials Contract):
CRM system for the activities of an Internet provider. Development of a module for the commercial department. Determining the technical feasibility of connecting a subscriber to Internet services, cartography.
FinTech AI (Startup)
Achievement:
The MVP of the application was delivered on time and in quality. Both releases of the application were successfully implemented. The adaptation program for the partner's local market was fully realized. The integration process with the partner has been initiated, and entry into one of the markets has been achieved.
REAL ESTATE INVESTMENT PLATFORM (Fixed Price Contract)
Achievement:
Timely delivery of agreed functionality to the client according to the schedule. Successful handling of architectural change requests.
AUTOMATED SECURITY SYSTEMS (Time and Materials Contract)
Achievement: The project was delivered to the client on time and in quality.
AUTOMATION OF THE MINISTRY ARCHIVE (Fixed Price Contract)
Achievement: The MVP of the project was fully approved by government subject matter experts without any revisions.
INTERNET PROVIDER CRM (Time and Materials Contract)
Achievement: The basic functionality of the application was accepted by the client.
SCRUM MASTER ACCREDITED CERTIFICATION
GOOGLE PROJECT MANAGEMENT CERTIFICATE"
project manager,"Project Manager
OSKI Solutions | April 2024 - Present
• manage internal projects (onboarding, training case);
• manage our website and HRM system improvement (technical support, SEO);
• manage SMM activities;
• communication with current clients;
• project management: planning, launching, achieving KPIs, performance analysis,
reporting;
• team management, work at the head: resource planning, task setting, control;
Junior Project Manager
SaleRow Software Company, Kyiv City, Ukraine | September 2023 - April 2024
•Tasks management
• Sprint reviews
• Team management
• Scope management
• Estimation sessions
• Sprint planning"
project manager,"""Publisher remote 2024 - 2024
My responsibilities as a Publisher:
- Creating, customizing, and publishing push notifications for various projects.
- Developing and optimizing strategies to increase CTR and conversions.
- Collaboration with marketing, design, and development departments to ensure quality content.
- Work with platforms: (OneSignal, Push.Express, SkakApp, etc.).
- Writing texts for push notifications and advertising slogans using AI tools.
- Content optimization based on AI recommendations to increase engagement.
- Keeping statistics.
""Project Manager"" 03.2023 - 11.2023
- Creation of a team for the development and design of add-ons.
- Consultation with SEO on all ideas and cases.
- Motivation and division of work among the team.
Administration of the store with add-ons, and communication with service clients.
- Set tasks for developers, designers, creative specialists, assistants.
- Great team building.
- Formation of new ideas and cases.
- Test runs of advertising.
""Team Lead""  05.2022  - 10.2022
- Planning a strategy for further successful production of applications
- Responsibility for the team and help in uncomfortable situations or questions
- Checking applications and collecting information on their successful release
- Keeping a table with statistics
- Creating applications through a generator and training newbies
- Downloading apps to the Play Console
- Finding new types of cloaca for applications
- Motivation and distribution of work among the team
- Adjusting designers and copywriters to new Playconsole comments
- Communication with MediaBuyer regarding new settings or changes to them
""Technical support / ASO"" - 12.2021 - 05.2022
- Downloading applications to PlayConsole
- Tracking the status of applications that are under moderation
- Warm-up of applications that have just come out of moderation at the first stages on the Advertmobile service
- Filling in the table with statuses in which applications are located
- Gathering strategy information before downloading applications and measurements of new verticals for
- Help for designers, copywriters, developers, in new PlayConsole updates
- Submission of Appeals for applications that did not pass the check in PlayConsole
- 3 applications in the top 10 PlayMarket.
- Managed a team of 12 people.
- Improved time management
commands in workflows.
-  Increased ROI for the company.
-  Took part in the organization
eSports events."
project manager,"Total 6 years of experience in IT:
- 1 years as a Full-Stack Developer
- 1.5 years as a PM (team up to 40 members);
- 1.5 years as Delivery Manager
- 2 years as a Scrum Master
Projects Domains:
- Financial app
- CRM Systems
- IOT
- Dating
- iGaming
- Blockchain
- AI
- Delivery
- Healthcare
Customers: Australia, Canada, USA, Finland, Cyprus
Created from 0 team that has moved and reworked current architecture from VUE2 to VUE3 and optimized speed load to 700ms
PSM 1 Certification
PAL 1 Certification"
project manager,"Project Coordinator with over a year of experience at AJAX Systems, a product company that develops security systems. I coordinate the release of new devices: from the implementation of engineering changes to the launch of mass production.
I ensure effective cross-functional interaction between the development, production, logistics, and marketing teams to ensure timely implementation of engineering changes and adherence to project timelines.
I use Jira, Notion, and Google Workspace. I have a good understanding of hardware manufacturing processes and supply chains.
I am currently taking certified project management programs (Google Project Management, IBM Product Management).
My goal is to develop in the direction of Project or Product Management in a product company where I can influence the development of solutions and improve processes."
project manager,"Product-focused and automation-driven, I work across RPA, AI, and RFP process optimization to improve
performance and user experience. I lead cross-functional teams, handle delivery, and support customer success.
With deep research into Property Management Systems, I build tools for the hospitality market - turning
ineciencies into automated solutions that save time and simplify operations.
Managed projects end-to-end—from initiation to delivery—overseeing key account management, detailed
documentation, and task coordination to ensure timely delivery within scope. Collaborated closely with engineering,
UI/UX, and QA teams. Acted as the project manager for the internal product Uteach as well as various international
projects. Proficient in Jira, Trello, ClickUp, Linear, and MS Project, with hands-on experience using Figma, Miro,
Postman, Notion, Slack, Microsoft Teams, and other tools."
project manager,"Experienced sales professional with a proven track record in driving business growth and managing client relationships in pharmaceutical and machine learning sectors. Skilled in strategic sales planning, data-driven decision-making, and identifying new business opportunities. Eager to leverage my skills to contribute to the success of innovative IT companies."
