Category,Resume
python,"RabitaBank OJSC, Baku, Azerbaijan
· Database Developer Intern (Academic Internship)
ATL Tech, Baku, Azerbaijan
· Data Reporting Analyst (Internship)
Caspian Innovation Center, Baku, Azerbaijan (a joint venture between SOCAR and IBM)
· Application consultant (Full Time) at Data Management and Analytics Department
At the moment working as a contractor for FXC Intelligence as a Python Developer working with the scraping framework.
Graduated with a double degree at ADA University (Baku, Azerbaijan) and The George Washington University (Washington DC, USA) in Master of Science in Computer Science and Data Analytics major."
python,"Працював над pet-проєктами в ролі Python backend розробника. Реалізував Telegram-бота на aiogram з підключенням до погодного API, реалізацією улюблених міст, історії запитів та збереженням у SQLite.
Також створив backend-сервіс для нотаток на FastAPI, з повним CRUD-функціоналом, JWT-авторизацією, роботою з базою даних через SQLAlchemy та валідацією Pydantic.
Наразі активно вивчаю Django + DRF, створюю новий pet-проєкт на Django для порівняння з FastAPI. Вивчаю тестування з Pytest, SQL (JOIN, GROUP BY), Git, Docker (у плані на травень).
Самостійно створив 2 pet-проєкти: FastAPI API з авторизацією та Telegram-бот з базою даних.
Володію навичками роботи з REST API, SQL, Pydantic, Git, Postman, JWT.
Активно розвиваюся як Python Backend Trainee — навчаюся щодня, слідую roadmap'у, створюю публічні проєкти на GitHub.
Пишу чистий, документований код. Готовий швидко вчитись і адаптовуватись під стек команди.
Маю середній рівень англійської (B1) — читаю документацію, вчу технічну лексику.
GitHub: github.com.AvgDeftonesEnjoyer (замість крапки після com '/')
Шукаю позицію Trainee / Junior Python Backend Developer.
Цікавлять проєкти з використанням FastAPI, Django, REST API, SQL, Git.
Готовий швидко навчатися та адаптуватись до нових технологій.
Важливі для мене: команда, досвідчене менторство, живий код і реальний розвиток."
python,"Middle Software Engineer: Oct 2023 - Present
Worked in a team developing an analytical platform for e-commerce with external API integrations, predictive
analytics, and microservice architecture.
- Increased test coverage of critical microservices from ~30% to 85%, reducing production incidents by 50%.
- Optimized database performance (PostgreSQL + Redis), cutting average API response time by 40%.
- Automated CI/CD pipelines with Docker, Kubernetes, and GitLab CI, reducing deployment time from
2 hours to 30 minutes.
- Integrated a sales-forecasting ML model into the prod-environment, achieving forecast accuracy of 92%.
- Mentor: successfully onboarded two junior developers, accelerating their time-to-productivity to 2 weeks.
Tech stack: Python, Django, AWS, Pytest, Pydantic, TensorFlow, PostgreSQL, Docker, Celery, React."
python,"Staff-level backend engineer with 20+ years of hands-on experience building systems that scale, stay up, and evolve with the business.
Architecture: event-driven, microservices, serverless, modular monoliths
DevOps & Cloud: AWS, GCP, Docker, CI/CD
Code: Python, JS, Go — tools, not religion
Built engineering teams from scratch (hiring, mentoring, delivery)
Been through every product stage—from initial idea and zero funding to hundreds of thousands of users and millions in investments.
Looking for complex systems where clarity, precision, and trust matter."
python,"In project teams, I specialize in crafting and sustaining automated tests for web applications using Python and Selenium. This involves developing new test scripts and updating existing ones to ensure they remain effective in validating the functionality, performance, and reliability of web applications. My role encompasses the full lifecycle of automated testing, from initial script creation to ongoing maintenance and optimization.
What I want from work:
- Developing my skills and utilizing new technologies
- Opportunities for personal growth
- Work on interesting and impactful tasks"
python,"My experience covers quality assurance procedures at all stages – from requirements analysis to implementing automated testing.
I've worked with both desktop and web applications at UI and API levels, used SQL databases, log systems, and performed performance testing.
As an automation engineer, I've built testing solutions for various web applications from scratch, following best practices in code structure and framework design. I have hands-on experience with Selenium and Playwright, and automated both API interfaces and more complex end-to-end tests involving database and message broker interactions.
Overall, I’ve built and developed automation frameworks for three different web products, creating and implementing hundreds of tests, which significantly reduced time and manual efforts required for regression and covered at least 80% of important functionality of each product.
I'm interested in long-term, mutually beneficial collaboration within a team of responsible professionals who foster a healthy work environment, focus on efficient problem-solving, and strive for growth and improvement.
I value companies that provide development opportunities, appreciate goal-oriented approach, set clear objectives, and respect personal boundaries.
Such conditions allow me to thrive as a specialist, deliver effective solutions and provide maximum impact."
python,"As a Python Developer, I have led and executed multiple complex projects. My experience spans working on high-scale projects as well as numerous smaller initiatives aimed at improving processes and functionality. Main projects that I worked on:
Admin System
Developed a custom internal system for the affiliate team, handling over 100,000+ leads per month. The entire platform was designed and built by me from the ground up. Key features included:
- Delayed lead processing logic to hold and release leads based on customizable timeframes
- Integration with 5 major affiliate partner APIs for real-time data exchange and lead distribution
- Geo-based land file rendering, dynamically serving content per region
- Advanced statistics module and multi-redirect logic to optimize performance
Tech stack: Django, DRF, Celery, Redis, Selenium
News Showcase
Designed and implemented a custom content monetization platform used by the internal media buying team. The system serves dynamic teasers and adapts strategies based on user characteristics data, handling up to 200,000 clicks per days. Key features:
- Displayed teaser blocks for multiple campaign strategies
- Created a responsive frontend using a custom Django admin theme with Bootstrap
- Wrote backend APIs for seamless integration with internal tracking tools
- Set up infrastructure monitoring with Prometheus and Grafana
Tech stack: Django, DRF, Bootstrap, Redis, Prometheus, Grafana
Broker CRM System
Designed and developed a comprehensive CRM platform tailored for broker operations, allowing partners to manage leads and track performance. Key features:
- Frontend built using a Vue.js template for a dynamic and responsive interface
- Created user roles and team-based access with customized permissions and functionality
- Developed detailed statistics dashboards for lead tracking and performance metrics
- Built a full API for lead processing and internal frontend integration with Vue.js
Tech stack: Django, DRF, Vue.js"
python,"Innovative and results-driven Backend Developer with over 7 years of extensive experience in designing and implementing robust backend systems. Proficient in Python, Django, and a variety of database management systems, I excel at project planning, architecture solutions definition, and team management. Passionate about developing efficient, high-performance web applications, I have successfully led multiple projects from conception to deployment, ensuring optimal functionality and user satisfaction.
Throughout my career, I have successfully managed and contributed to diverse projects, from digital market platforms to urban management systems. My ability to clarify customer requirements, optimize backend functionality, lead teams, and explain complicated things in a simple way has resulted in significant improvements in operational efficiency and user engagement across projects."
python,"Software Engineer (3 Years of SaaS Development Experience + 1 Year of Python Tutoring)
Led full-stack SaaS projects using Python (FastAPI, Flask, Django), React, JavaScript, HTML, CSS, and Bootstrap, delivering highly efficient and user-friendly applications.
Set up containerized microservices using Docker and Kubernetes, improving deployment reliability and scalability.
Built and maintained CI/CD pipelines with GitLab CI, Jenkins, and other tools to automate testing and accelerate software releases.
Integrated streaming and messaging systems with Kafka, enhancing real-time data processing and system reliability.
Incorporated Java and TypeScript solutions where appropriate, contributing to polyglot environments.
Implemented data pipelines using Airflow, ensuring robust ETL workflows and automated task scheduling.
Administered and optimized SQL (PostgreSQL) and NoSQL (Cassandra, MongoDB) databases for diverse data needs.
Utilized Prometheus and Grafana for monitoring and observability, proactively identifying performance bottlenecks.
Deployed applications on AWS, leveraging serverless technologies and infrastructure as code for efficient scaling.
Employed Pydantic to validate data schemas, ensuring reliable and consistent API interactions.
Contributed to ML/DL projects, integrating machine learning pipelines and ensuring seamless deployment in production.
Provided Python tutoring for one year, improving learners’ foundational skills in coding, debugging, and software best practices.
Collaborated in Agile environments and performed peer reviews, promoting high-quality code and knowledge sharing."
python,"Odoo Developer | Specialized in Odoo.sh, Accounting, Fleet, and Telegram Bot Integrations
I am an experienced Odoo developer with a strong background in developing and customizing Odoo modules on Odoo.sh. My expertise spans across a variety of Odoo applications, including:
Accounting, Project, Knowledge, Employees, Contacts, Fleet, Point of Sale, and Inventory modules.
Seamless integration of Telegram Bots on Odoo.sh, automating processes such as invoice delivery and notifications, without the need for third-party servers.
Additionally, I excel in translating technical documentation, particularly in the marine engineering field, which aligns with my passion for maritime technologies.
Current Projects:
Developing a mobile and desktop application for marine engineers, focused on providing tools and resources tailored to their unique needs.
If you're looking for someone who can deliver high-quality, tailored Odoo solutions, and you value streamlined processes through automation and integration, feel free to reach out!"
