Category,Resume
qa,"Softserve Academy courses and test projects.
Programming languages: Java
Tools: Github, IntelliJ
Languages: Англійська – Intermediate, Українська - Native
Certificates: Testing fundamentals and intro to IT.
I am a proactive and detail-oriented individual with a strong commitment to continuous learning and personal growth. My analytical mindset and adaptability enable me to navigate complex challenges effectively. I thrive in collaborative environments and value clear, open communication to achieve shared goals.​
My ambition is to evolve into a proficient IT professional, specializing in QA. I am dedicated to expanding my skill set, embracing new technologies, and taking on responsibilities that foster both personal and professional development.​"
qa,"I am a manual software tester looking to build my career using all my knowledge, time and effort. I have 1.3 years of commercial experience in mobile manual testing. I am also proficient in Web/Desktop testing, creating and maintaining test documentation, and working with MySQL. I also have basic knowledge of JavaScript, HTML and CSS. I am responsible, non-conflicted, and a good team player. I always do my job ‘with a spare’ and will go the extra mile to become a senior QA.
Translated with DeepL.com (free version)
Manual QA Engineer, 1 Win
May 2023 - August 2024
Writing test documentation (decompositions, test cases, checklists, bug reports)
Testing of mobile applications (Android, IOS)  and offers
Testing of web and mobile versions of the store
Preparing apps before uploading them to Google Play
Setting up and integrating applications for marketplaces (Facebook, One Signal, AppsFlyer, Firebase)
Farm Google accounts
Technologies or Tools: Jira, Trello, Asana, Git, Android Studio, Xcode
Software Tester, Projects,
Sept 2022 - Present
Project: Joyn.de
Creating permission table and Requirements Traceability Matrix
Developing test cases using test design techniques
Executing test cases in TestRail
Reporting bugs into Jira
Taking part in Sprint Planning meeting, Daily Scrum meetings, Sprint Retrospective
Creating test report
Project: Sleep Booster, Shotlight [Mobile testing]
Developing and executing Test Cases
Testing with Android Studio, Genymotion
Reporting bugs into JIRA
Project: Conduit
Requirements reviewing with Product Owner (Story refinement)
Developing Decomposition
Developing and executing Test Cases in TestRail
Reporting bugs into JIRA
Project: JPetStore Demo
Developing and executing Test Cases
Reporting bugs
Trained and integrated new employees into the team.
Friendly team and interesting projects in which I can apply all my knowledge and skills."
qa,"CloudMade (2 years)- Manual QA engineer has grown from intern to Middle. Backend/Fronted testing, manual and automated Rest API testing (karate framewok). Manual testing of Postman/Curl rests. Experience with Postgresql, Hbase.  Experience with AWS.
Bringing the project to release and support. More confident in working with databases.  Use the theory of testing in modern realities, taking into account time management and resources.
Stable salary and mandatory development in the field of qa and qa automation"
qa,"Novice QA Engineer with basic knowledge of software testing, SDLC and quality assurance methodologies. Used JIRA, Git. I am currently taking GameDev QA courses at SKVOT. I worked in the financial sector (7 years), which helped me develop communication skills, attention to detail, and analytical thinking.
I want to work in a professional team where there is effective communication, clearly defined processes, and the opportunity to learn. It is important to participate in all stages of testing, learn new tools, and develop as a QA engineer"
qa,"QA Engineer (Manual/Python Automation):
- Wrote test documentation.
- Developed automated tests for Web Applications using Python (Selenium WebDriver, Pytest).
- Conducted functional testing of Web Applications.
- Conducted cross-platform and cross-browser testing.
- Tested API in Postman, created requests and automated tests.
- Tested Backend processes."
qa,"Dedicated and experienced Quality Assurance engineer with over five years of
experience working in web and mobile testing. An extremely focused and detail-
oriented with experience in :
Web application testing
Mobile application testing
Experience in software QA methodologies, tools and processes
SDLC (Waterfall, V-model, Scrum/Agile)
Client server architecture
Experience with documentation and quality systems
Ability to document steps to reproduce observed defects
Experience executing test cases
Excellent communications skills
HTML5/CSS
REST/API Testing
Basic knowledge in writing auto-tests (js,ts)
Experience with tools and technologies:
Jira
Asana
Trello
TestRail
Browserstack
Fiddler
Postman
SoapUI
JMeter
VM Oracle
Vagrant
Zephyr
CLI/CMD
Git (GitHub)
BitBucket
Confluence
Selenium IDE
WebStorm
VS Code
X-Code
Android Studio
Avocode
Figma
Analytical mindset
Open minded
A confident desire to learn and improve new skills
Thinking abstractly and out of the box
Flexibility in solving problems and the ability to work in a team"
qa,"I worked for 3 years in the FinTech field (an online-banking product)
Supported customer questions and issues by gathering data, analyzing needs, evaluating possible resolutions, and implementing the best solutions.
Recommended solutions to complex situations through research and critical thinking and escalated customers to supervisors for enhanced support.
Delivered exceptional customer service by prioritizing emergency issues and developing and employing workarounds to solve problems expeditiously.
Documented customer interactions in computer systems and assisted cross-functionally with billing and technical support to deliver high-quality customer service.
Contributed ideas and practical solutions to support process improvement efforts.
Participated in ongoing training to learn new products and enhance skills to optimize customer support delivery.
Generated reports to track performance and analyze trends.
Documented and resolved several inaccuracies in internal scripts for working with customers, which led to an improvement in the speed of customer handling and better information accessibility by 33%.
Helped in the creation of new and improved internal documentation for working with customers and training new employees.
Managed to maintain an 85-90% minimum customer satisfaction rate of my performance and ability to assist.
Never missed deadlines.
Collaborated with different teams to share ideas on how to improve working processes, and got permission to be trained for a different task in the company, which allowed our team to be prioritized for promotions and have more respect from leaders.
I would like to improve in the Technical Support field and possibly grow to Support Team Lead or Support QA Agent
Documented and resolved a number of inaccuracies in internal scripts for working with customers, which led to an improvement in the speed of customer handling and better information accessibility by 33%
Helped in the creation of new and improved internal documentation for working with customers and training new employees
Managed to maintain an 80-90% customer satisfaction rate of my performance and ability to provide assistance
Never missed a deadline
Collaborated with different teams to share ideas on how to improve working processes, and got permission to be trained for a different task in the company, which allowed our team to be prioritized for promotions and have more respect from leaders.
Helped manage a small team and assisted them with any questions due to superior product knowledge."
qa,"1) QA Student | Creative & Tech Projector Online Institute (08.2024-10.2024)
- Completed 2 testing projects of website and mobile applications, have found total 24 bugs.
- Created test documentation: test cases, checklists, bug reports.
- Used Postman and Swagger for API and UI testing.
- Made a list of proposals for real customer which can make his product easier to use and more
attractive to customers.
2) Sales | Market (05.2021-09.2024)
- Developed multilingual communication skills by learning 2 new languages within 6 months.
- Demonstrated high skill in dynamic interacting with Polish, German, and Ukrainian customers.
- Collaborated within a team of four, created a productive and positive work environment.
3) Freelancer (10.2014-04.2021)
- Completed more than 200 client projects: translations, graphic design, illustrations, teaching, copywriting, technical texts.
- As an illustrator and graphic designer, successfully created visual templates for the university, crafted book covers for authors, designed logos for businesses, and produced album covers for a musical group.
- Translated catalogues and labels from English to Ukrainian for the official distributor of Polish cosmetics Yope in Ukraine.
- Taught 3 different-level students as an English tutor
4) University - laboratory assistant (06.2013-09.2014).
- Prepared and kept in order all of the documentation of the department in the university
- Official communication between my department and other structures
- Worked with MS Excel and Word, emails
- I completed a QA-project with real customer, testing mobile application: 134 tests executed, 24 bugs founded (11 of them are critical), 15 proposals for increasing user interest.
- I completed an educational QA-project, testing website: 97 tests executed, 17 bugs founded, made 6 proposals for increasing user interest.
- I have learned two new languages for 6 months: Polish B1 and German A1.
My job is a place of development and learning. I am ready for this."
qa,"QA specialist with 5+ years in IT. I have a master's degree from the Institute of Applied Systems Analysis (IASA) of Igor Sikorsky Kyiv Polytechnic Institute.
I`m looking for a full-time QA position.
I accumulated a lot of experience working in different QA teams and projects. Also I`m highly competent in product implementation and support. These knowledges let me be a skillful team player on both fronts.
My profession is one I hold in high regard, and I ensure overall quality that aligns with my personal values. Eye for detail - it`s about me.
Practical experience:
• manual testing (desktop, web)
• functional and regression testing
• UI/GUI testing
• bug reporting
• test cases/check lists
• communication with QA and dev teams
• implementation, support
Practical skills:
• DevTools
• SQL
• JIRA, YouTrack
• TOAD
• SVN
Finished courses:
• html
• CSS
• Visual Studio Code
• API, Postman
English level:
• B1
QA positions held in the order of time with relevant responsibilities:
Middle QA / Manual Tester
Middle QA Engineer / Software Implementation Specialist
Head of the implementation team / Analyst / PM assistant
QA / Manual Tester
QA / Technical writer
QA / Manual Tester
(more detailed information is in my CV)
My job expectations: interesting projects, friendly team, being involved in making a quality product, self-fulfillment, implementing the acquired experience and skills, getting a desirable salary.
I don`t expect: lack of communication, low job evaluation, instability."
qa,"As QA in my current company, I perform the following:
• New feature testing, writing test cases;
• Web and mobile app testing;
• Close cooperation with the DEV team and PM;
• Highlighting the potential risks to PM and Tech Leads;
• Regression testing (Cucumber, TestRail);
• Customer-reported issues validation;
• Support, updating, and testing on a local server (Docker, PhpStorm);
• Taking responsibility for testing integration with third-party systems (e.g. Pendo, Brivo);
• Payment Processors integration testing (Merchants e.g. NMI, Stripe, Paragon...)
• Mentoring, onboarding, and reviewing;
• Web UI test automation using JS/TS + Playwright;
Successfully led a QA team (up to 5 members) for a separate project, from initiation to stable, on-schedule releases.
Full ownership of the STLC, including:
•	Static testing
•	Test design
•	Functional testing
•	Regression of stable builds
•	Smoke testing after releases
Ensured high-quality testing and seamless releases within the planned timelines."
