Category,Resume
recruiter,"Experienced humanitarian project manager transitioning into the IT sector with a solid foundation in Agile methodologies, including Scrum and Kanban. I’ve led multidisciplinary teams and implemented sprint-based workflows while coordinating complex protection and mental health programs funded by ECHO, BHA, UNICEF, UHF, GAC, and GFFO.
I hold a Master’s degree in Public Administration and have successfully managed cross-functional teams, facilitated strategic planning sessions, and introduced Agile elements in non-technical environments. I'm now looking for opportunities in the tech field as a Project Manager, Delivery Manager, or within Talent Acquisition — where I can combine my strong interpersonal skills, emotional intelligence, and strategic mindset to build and support effective teams."
recruiter,"Hey, I’m Eman, and I am not just a typical HR Operations Manager
I am a hard-working specialist committed to excellence, backed by a strong work ethic, a positive mindset, and a strategic approach. I thrive on combining the best of both worlds—humanitarian and mathematical techniques.
I am a dedicated recruiter with a proven ability to manage the full recruitment lifecycle, from sourcing to onboarding. My experience includes reducing hiring timelines by 20% and building robust talent pipelines to meet critical staffing needs effectively.
With a background that blends recruitment, customer service, and business analysis, I bring a well-rounded skill set for understanding diverse client needs and delivering exceptional results. Fluent in Arabic, French, and English, I excel at fostering inclusive hiring practices and connecting with candidates from varied backgrounds."
recruiter,"Recruiter, Self-employed
Aug 2024 - Feb 2025
Practicing:
- Full cycle of the recruitment process and recruitment ethic
- Founded relevant candidates for tech and non-tech vacancies
- Creating vacancy descriptions
- Wrote cold emails
- Communicated with Hiring Managers and created a vacancy description
- Сreated Technologies Library
- Сreated Sourcing Strategy"
recruiter,"as Sourser at freelance Searched for junior and mid-level specialists using Boolean and X-Ray search techniques
Published job vacancies on various platforms
Conducted CV screening to identify suitable candidates
Performed pre-screening interviews to assess initial fit"
recruiter,"Мені 25 років, я IT-рекрутерка та HR-менеджерка із практичним досвідом підбору
персоналу як на технічні, так і нетехнічні позиції. Пройшла шлях від асистента до
самостійного фахівця, що одночасно веде до 8 вакансій. Проводила інтерв’ю
англійською мовою, маю досвід організації процесу найму на європейському ринку.
Також працювала з арбітражною командою, зосереджуючи зусилля на підборі
персоналу.
Шукаю нові можливості як HR-менеджерки, рекрутерки або ресерчерки. Прагну приєднатися до команди активнийх однодумців, щоб навчитися новому та підсилити команду своїм досвідом.
Цікавить як фул-тайм, так і парт-тайм чи фріланс пропозиції. Готова до співпраці в офісі у Франківську або ремоут формат."
recruiter,"I'm Maiia, an accomplished Talent Acquisition Specialist, I bring extensive expertise in navigating both the Ukrainian and European markets, having contributed significantly to various product companies from Israel, Europe, and the US.
My professional toolkit includes proficiency in Engineering Search, adept communication skills, strategic sourcing finesse, and leadership capabilities."
recruiter,"June 2022 - now — Talent Acquisition Specialist
• Perform full life-cycle recruiting – source, screen, interview candidates and close technical and managerial positions;
• Develop, implement and manage creative and effective sourcing strategies using cutting-edge techniques;
• Work closely with managers;
• Maintain a candidate database;
• Prepare offer letters for new specialists;
• Participate in the adaptation process
conferences;
June 2021 - June 2022 —  IT Researcher at Luxoft
• Recruiting IT specialists;
• Recruiting Administrative specialist;
• Search and selection of the candidates;
• Organization of prescreen /Technical interview/ Project manager interview;
• Interaction with technical specialists, line managers;
• Making job offers."
recruiter,"I have worked with technical and non-technical vacancies for product and outsourcing companies.
My total experience in IT is over six years (2,5 as a sales manager and 4 as a technical recruiter). My score as a technical recruiter includes over 1200 interviews in the last 4 years and about 3,800 contacts on LinkedIn. I have successfully employed junior to senior candidates like Solidity, Rust(Substrate), Frontend (React, Vue), Python (ML/AI), Professors of Applied Mathematics and AI, Tokenomic experts, Product Managers, Scrum Masters, Community Leaders and managers, UX/UI architects, Ambassadors, Technical writers. Regions: Europe, North and South America, Asia, Africa.
Understand blockchain, AI technologies, and IT development processes well.
As a Head of HR:
- Created and filled a new department dedicated to the fundraising process.
- Optimized the onboarding policy (terms and conditions in SA, NDA, NCA).
- Resolved complex retention cases.
- Created and led the SMM department (X, YouTube).
- Created and led the internal crypto education program.
- Created and implemented the motivation policy for sales managers.
- Increased the level of satisfaction in teams.
- Optimized the corporate policy (mission, vision).
- Achieved deep understanding of blockchain and crypto domains."
recruiter,"Бажаю розвиватися в напрямку, який поєднує технічну експертизу та стратегічне мислення. Мене цікавить як поглиблення знань у своїй спеціалізації, так і поступовий перехід до ролей з більшим рівнем відповідальності — таких як тімлід, технічний експерт або менеджер проєктів. У компанії бачу себе як надійного фахівця, що робить вагомий внесок у розвиток продукту, підтримує команду, ділиться знаннями та допомагає досягати бізнес-цілей."
recruiter,"Recruiter with 2.5 years of experience.
Successfully close positions of various levels – from junior to senior and TOP.
Worked with roles in marketing, PR, communications, digital, management, sales, product, customer support, and IT.
Have experience in international hiring across Ukraine, Central Asia, and Europe.
Skilled in the full recruitment cycle: active and passive search, headhunting, X-ray and Boolean search, competency-based interviews, STAR, PARLA, communication with hiring managers, job briefings, job descriptions, market analytics, and reporting.
Little bit numbers:
⎻ Max count of vacancies simultaneously ⎻ 9 positions.
⎻ Fastest close vacancy ⎻ 2 days.
⎻ Maximum number of staff recruited per month ⎻ 7 peoples.
And also:
- Initiated the implementation of new interview and candidate engagement methods, increasing test task completion conversion by 20%.
- Optimized workflows by introducing new recruitment tools.
- Authored HR and recruitment-related articles for external platforms, contributing to HR branding.
- Built and maintained long-term relationships with candidates and stakeholders.
Take on interesting vacancies in short.
Or more precisely:
Looking for a dynamic company where I can apply my skills in recruitment and improve hiring processes. Interested in projects involving HR branding, recruitment automation, and market analytics."
