Category,Resume
rust,"I have enjoyed 10+ years of R&D experience across various projects and systems, utilizing lightweight frameworks, message queues, application and web servers, microservices and SQL/NoSQL databases.
- Rust projects: logistics ERP, crypto-trading subsystems development
- Axum, Tokio, ActixWeb, Tonic, Tungstenite, Sea-ORM, GraphQL
- Core Java (6–17), Spring, Quarkus, CDI, Web containers, J2EE stacks, .NET, Rust
- Open-source contributions – maintaining a CLI Rust, personal Rust project
• R&D in commercial products by customer requirements and achiving goals during 20+ years
• Took part in many startups at domains like telecom, gambling/lottery, social network, sport events, health, fintech.
Took part in several projects like:
• Rust projects like logistics ERP, stock exchange interaction subsystem,
• private open source blockhchain,
• 'Distributed File Subsystem', 'Crypto Keys Management Subsystem',
• social network with messaging/audio/video conference calls between web/mobile network users, used media server+webRTC protocol,
• Production release national Sweden geo lottery project
• Supporting legacy j2ee system for Danish insurance company
• other...
• Knowledge on Object Oriented Analysis and Design(OOA, OOD), UML
• Good knowledge on ‘Agile Technologies’, SCRUM, eXtreme Programming
• Code Pefromance profiling (JProfiler, YourKitProfiler, MC)
• Quarkus, Spring framework family (Core, Security, MVC, WebFlow, Rest, Batch, Data, Mongo, Social),
• JPA, Hibernate (1-6 versions),
• Gradle, Maven, Ant, JUnit/5, Mockito, Testcontainers
• J2EE, JDBC, EJB, JMS, JSP/Servlet api
• JMS, RabbitMQ
• Profilers: JProfiler,YourKitProfiler, MC
• CI/CD env: GitHub actions, GitLab, TeamCity, Jenkins
• Struts, Stripes, MVC web frameworks
• XML, XSLT,
• Spring.NET, NHibernate, JQuery/JQuery-UI
• Git, SVN, CVS
• GitHub actions, GitLab CI/CD, TeamCity, Jenkins
• noSQL: MondoDB, Cassandra, RocksDb
• SQL: DB2, MS SQL, Postgresql, MySql, sqlite, Borland Interbase, FireBird
• IBM WebSphere 4.0/7.0/8.0, IBM MQSeries, BEA Weblogic 5-6, Jboss 2.x-3.x, Borland AS, Glassfish, SOLR/Lucene server, TomCat, Jetty, Resin web containers
Meet a good team to continue doing interesting and funny back-ends using Rust"
rust,"Software engineer with over 8 years of experience developing scalable and reliable backend systems using Rust, Node.js, and cloud-native technologies. Extensive engineering background combined with hands-on leadership in guiding teams, shaping architecture, and delivering impactful solutions across e-mobility, healthcare, and e-commerce.
I am diligent and open-minded, passionate about creating innovative and intricate products. I am committed to continuous learning, and consistently refining my skills. I embrace challenges calmly and composedly, never settling for mediocrity, and always focusing on making well-informed, high-quality decisions.
Core System Redesign: Rewrote a core system in Rust, significantly improving performance and reducing operational costs by 3 times.
Effective Technical Leadership: Provided technical leadership and mentorship, enhancing team skills and driving project efficiency.
Scalable Systems Architecture: Architected backend services handling 1M+ requests daily, supporting global growth and operational efficiency.
Part-time/Freelance job in the second half of the day (CET).
I relocated to the Netherlands in 2021, looking for an interesting partnership."
rust,"I'm a Rust / Python Software Engineer with more than 7 years of experience. I worked in different domains such as gambling, crypto trading, health, advertising, production auto-testing. I have experience in product development both from scratch and will support the development of existing functionality.
Key points:
• 7 years of experience of Software Engineering;
• had experience working as an IT department manager;
• worked with 5 Products in different areas;
• successfully released 3 products (from zero to production);
ETL for Crypto Exchanges: Developed ETL processes to gather data from 7 crypto exchanges, significantly expanding data coverage.
Migrated HFT services from Python to Rust.
CI/CD: Configured CI/CD pipelines, optimizing product delivery.
Transition to Microservices: Rewrote a monolithic system into asynchronous microservices to enhance scalability.
High-Load Backend: Successfully implemented a backend handling up to 700 requests per second.
Automated Monitoring: Created an automated monitoring system for ad click tracking with external service integration.
I will can work with large volumes of data, analyze them, and uncover valuable insights. I'm particularly drawn to working with time series data, as I see immense potential in applying it to forecasting and optimization. With my experience in crypto trading, I would love to join a company or startup actively involved in this space. Receiving my Salary in cryptocurrency would be a welcome bonus, allowing me to immerse myself even deeper in this dynamic ecosystem and contribute meaningfully to its growth."
rust,"Experienced Rust and Golang Backend Developer | Scalable & High-Performance Solutions
As a backend developer specializing in distributed systems, I bring expertise in designing scalable, high-performance architectures for IT product companies and outsourcing firms. With a passion for optimizing systems and leveraging cutting-edge technologies, I deliver robust solutions tailored to meet complex challenges.
Core Skills & Expertise:
Backend Development: Proficient in Rust and Golang for building scalable, distributed systems and high-performance applications.
Data Engineering: Implemented Elasticsearch from scratch, optimizing full-Text search, filters, and aggregations for superior performance. Developed reputable, robust pipelines ensuring fault tolerance and data consistency.
Database Optimization: Deep expertise in PostgreSQL, MongoDB, Redis, and ScyllaDB, delivering fast, reliable data solutions.
Cloud & Containerization: Advanced skills in Docker, Kubernetes, and cloud-native architectures, streamlining workflows and deployments.
Observability: Practical experience with the ELK stack for log aggregation, monitoring, and diagnostics.
Microservices & Messaging: Skilled in microservice architecture, gRPC, RabbitMQ, NATS, and real-time messaging systems.
CI/CD Pipelines: Proficient in GitLab CI/CD, Travis CI, and Jenkins to automate build, test, and deployment workflows.
Key Achievements:
Boosted API response times by 25% through query optimizations.
Reduced system crashes by 40% with advanced debugging and memory management.
Improved SQL query efficiency, cutting execution times by 40%.
Architected and implemented scalable microservices to support enterprise-level operations.
Designed and implemented Elasticsearch pipelines, improving search accuracy and performance.
What I Bring to the Table:
Problem-Solving Focus: Strong track record of solving complex technical problems, from scaling backend systems to enhancing reliability.
Systems Architecture Expertise: Passionate about clean, maintainable code and scalable system design.
Cross-Team Collaboration: Adept at aligning technical efforts with business goals, ensuring deliverables meet stakeholder needs.
Continuous Learning: Actively exploring game engine development and interactive systems to expand my technical horizons.
Certifications:
Docker, Kubernetes, PostgreSQL, MongoDB, Redis, Rust, Golang.
Designed and implemented backend features for a medical enterprise system, focusing on reliability and maintainability.
Built core systems including pagination, ElasticSearch pipelines, filtering, ordering, and query helpers to streamline data retrieval and processing.
Reduced crash rates by 40% through efficient debugging and proactive system improvements.
Optimized database queries and service interactions, improving API response times by 25% and enhancing end-user experience.
Collaborated with cross-functional teams to deliver scalable and modular solutions aligned with client requirements.
Developed modular backend services using Golang, ensuring scalability and adaptability for future system expansions.
Increased test coverage from 75% to 95%, ensuring a robust and maintainable platform for financial transactions.
Resolved critical system discrepancies, improving transaction accuracy and minimizing errors by 30%.
Open to remote opportunities worldwide to contribute to innovative and impactful projects."
rust,"Education
Graduated from KTKC ChNTU College and Chernihiv National University of Technology (ChNTU).
Technology Stack
I have experience working with the following technologies:
Back-end: Node.js, Express.js, NestJS, PHP, Symfony, Rust, Go (currently learning)
Front-end / Mobile: Angular, Flutter
Databases: PostgreSQL, MySQL, Redis
Other: RabbitMQ (basic experience)
I have mainly worked with server-side applications — maintenance, development, and architecture design. In the future, I aim to grow as a back-end developer with a focus on Node.js, Rust, and Go.
English Language
Somewhere between A2–B1. Currently studying with tutors.
Work Experience
Early Years (1–2 years)
Maintained a CMS built on Kohana.
Developed a custom CMS for a company based on Symfony.
Created websites and online stores using the custom CMS.
Gained experience with WordPress and OpenCart.
Following Years (2–6 years)
Developed and maintained an educational website using Symfony.
Built a server-side application with Node.js (Express.js) for student bio-authentication and data management.
Created a Node.js (Express.js) application for collecting and displaying real-time data in a local network.
Worked on a cloud-based Node.js (NestJS) application for collecting and visualizing data in real-time.
Developed microservices: report generation, messaging, video streaming, and more.
Recent Period (4–6 years)
Developed mobile applications using Flutter with real-time system integration.
Software Development for Emergency Service Vehicles using Node.js.
Migrated a server-side application from Node.js to Rust."
rust,"I'm currently a SWE building low level systems with Rust. I've built a Postgres proxy, implementing the Postgres Wire Protocol, as well as network application all built in Rust. In my current role, I'm building an extendable filesystem among other things."
rust,"I have no commercial experience yet, but worked with axum, actix, sqlx, diesel, teloxide. Understand RESTful API principle. Keen on learning new things, eager to develop in fullstack development and development of high-performant systems.
I've completed Ukrainian Rust Bootcamp and taken certification. Now I have General Rust programming and Backend Rust programming certifications.                                                                 Developed Telegram bot using teloxide library and Postgres DB."
rust,"I've worked on a variety of projects as a full stack Rust developer, freelance Coda docs builder, and web content writer. The following is a summary of my work:
Projects & Tasks Completed:
- I developed multi-bot high-frequency trading engines using Rust, leveraging Solana's OpenBook V1 and V2 programs for efficient crypto trading.
- After winning the Coda Hackathon, I created and implemented automated systems for clients, collaborating with companies like Imaginary Space and TriviaLAB using tools such as Zapier and Make.
- I built and optimized web-based APIs with FastAPI, Django, and ReactJS. I also set up continuous integration and deployment systems with Github and Docker, improving development speed.
- I authored technical books and articles on Rust topics such as Rust Polars and data analysis, simplifying topics like machine learning for a wider audience.
Technologies I've Used:
Frontend: Rust, EGUI RS, Leptos, Yew, ReactJS, Wasm Web Socks, Solana Wasm Client
Backend: Rust, FastAPI, Django, Axum, OpenBook DEX, Python, Nginx, MySQL
Automation: Zapier, Make, Coda, Gmail Automation
DevOps & Infra: Docker, Docker-Compose, Railway, Redis, Celery, Github Hooks, CI/CD
Networking & Protocols: HTTP, DNS, TCP/IP, Zenoh, NDN, CoAP, DDS, MQTT, IoT/IoE
My Role in the Team:
In my current roles as a full stack Rust developer and freelance Coda docs builder, I handle both frontend and backend development, creating scalable solutions and enhancing workflows for global clients. I also contribute to open-source projects and collaborate with clients to meet their goals.
What I Want to Improve:
I aim to further develop my skills in blockchain and smart contract development, particularly in decentralized apps and layer-2 solutions. I also want to enhance scalability in Rust projects and explore more advanced automation systems, potentially integrating AI-based solutions for real-time data processing.
I'm proud of my diverse skill set and always looking for new opportunities to improve and innovate in both freelance and full-time roles.
I've successfully developed high-performance multi-bot trading engines using Rust for crypto trading on the Solana blockchain, leveraging OpenBook V1 and V2. After winning the Coda Hackathon, I collaborated with over 10 global clients, implementing automated systems with tools like Zapier and Make, which streamlined workflows and improved productivity. Additionally, I created secure web-based APIs using FastAPI and Django, and optimized deployment processes by implementing CI/CD pipelines with Github and Docker. My technical writing has simplified complex topics such as Rust data analysis and machine learning for a broader audience.
I'm looking for opportunities that allow me to continuously innovate, particularly in blockchain and decentralized technologies, with a focus on Rust. I value creative, challenging work where I can contribute both frontend and backend expertise, especially on scalable and high-performance systems. A collaborative environment that fosters growth and encourages knowledge-sharing is important to me.
However, I prefer to avoid rigid, overly bureaucratic environments where innovation is stifled. I also want to avoid roles that focus purely on maintenance work without opportunities for learning or development."
rust,"- 10+ experience with C++/Qt.
- 2 years with Rust.
- 2+ years of C++ team lead role.
- 7+ years of experience with embedded applications (STM32/STM8/AVR/ESP/nRF, linux-based, yocto, etc.).
- Good experience with development electronic schematics, PCB.
- Experience with network protocols (development, debug).
- Professional in Linux.
- Experience and big interesting with UAV, drones, aviation, etc.
- Experience in 3d-modeling (fusion 360 preferred), milling.
- Experience with blockchain.
- Several interesting pet-projects.
Would like to try Golang.
I want to take part in an exciting project as a Rust or C++ developer.
Preferred domains: UAV (drones, etc), modern vehicles, and other hardware projects"
rust,"Current Role: Senior Software Engineer at NZXT
Project: NZXT CAM (Rust)
Implemented core features for PC Monitoring and integration with upcoming hardware products.
Developed a Rust library for seamless communication between frontend and hardware using HID and WinUSB protocols for such devices like Mouse, Keyboard, Micro, Capture Card, Kraken coolers.
Utilized Windows APIs to handle low-level operations, enabling reliable backend functionality.
Built scalable APIs consumed by a TypeScript/React frontend, ensuring smooth UI integration.
Improved data processing efficiency, reducing latency and improving real-time monitoring capabilities.
Enhanced NZXTCorp/enunion to optimize Rust-to-TypeScript enum translations.
Wrote TypeScript test scripts for each device, ensuring accurate validation and smooth functionality.
Refine CI/CD pipelines, streamlining build and release processes.
Worked closely with firmware and frontend teams to deliver synchronized, high-quality product features.
Past Projects & Roles:
Senior Software Engineer at TAIT
Designed and optimized backend systems for stage controllers (Rust).
Migrated legacy systems to modern C++ standards.
Developed features for dynamic lighting and complex automation.
Development Team Leader at SToFU Systems
Led a team of 6 for MacOS antivirus and identity protection solutions (Rust/C++).
Improved cross-platform system libraries.
Mentored team members and conducted technical interviews.
Senior Software Engineer at SToFU Systems
Developed client-server and P2P file-sharing solutions (C++) with real-time protection drivers and multithreading apps.
Created adaptive systems for threat detection and notifications, improving user security.
Refactored codebases and built reusable libraries to enhance efficiency and maintainability.
Software Engineer at SToFU Systems
Built client-server and P2P apps with security focus.
Created Win32 drivers and hooks engines.
Enhanced exploit protection with real-time features.
Technologies Used:
Languages: Rust, TypeScript, C/C++, Python, Swift, Bash, Assembler.
Frameworks/Libraries: Tokio, Actix-web, NAPI, OpenSSL, Diesel, Qt, SwiftUI, Vapor.
Tools/Platforms: Docker, WinAPI, MacOS API, CI/CD pipelines, PostgresSQL.
Areas for Improvement:
Enhancing Leadership: Building larger-scale team management capabilities.
Deepening Systems Knowledge: Expanding expertise in low-level optimizations, hardware communication via USB."
