Category,Resume
sales manager,"I have an experience with the following:
- Jira, Trello, Slack, Zoho, Zoom, MsTeams, Webex, OBS Studio, Tawk chat, MS Office.
Languages:
Ukrainian (fluent);
English (upper-intermediate);
Spanish (intermediate).
Capability to handle large amounts of information in a short time, fast self-learning, and self-organizing, lead generation process.
New horizons, improvement of hard and soft skills, mutual development.
I want:
- to have a secure future"
sales manager,"representative of British American Tobacco
from April 2023 to March 2025
- Conducting product presentations, consulting clients
- Working with the needs of the audience and building long-term relationships
- Participation in sales and service trainings
- Work with CRM systems and Google Workspace
I am interested in developing in digital marketing and am ready to start as a Junior Marketing Manager, SMM specialist or content manager. I have practical experience working with clients, customer analytics, and CRM systems. I have good communication and teamwork skills and learn new things quickly. I am open to performing a test task."
sales manager,"- Account farming: Mass creation and preparation of accounts for use in advertising campaigns.
- Anti-detection browsers (Dolphin): Use of anti-detection browsers to bypass blocking and ensure privacy in advertising accounts.
-Work with proxies: Set up and use proxies to hide your IP and avoid bans.
-Working with graphic tools (Canva): Create advertising content, including images, videos, and other formats using design tools.
-Launching advertising campaigns (Facebook Ads): Prepare, launch, and monitor advertising campaigns on the Facebook platform.
-Bypassing Blocks (BW): Utilize strategies to bypass ad account blocking and restrictions on the platform.
-Reporting: Generate reports on the performance of your advertising campaigns.
-Ad content creation: Developing images, videos, text, and other content formats for ads."
sales manager,"Closer (3 years) - Closing deals, negotiating at the final stages, working with key clients, overcoming objections and reaching agreements.
Team Leader (2 years) - Managing a team of 6-8 managers, developing and implementing sales strategies, conducting trainings and coaching, motivating the team and achieving team KPIs.
Sales Manager (1 year) - Active search and attraction of clients, management of the full sales cycle, development of commercial offers, formation of long-term partnerships."
sales manager,"Experienced sales professional with a proven track record in driving business growth and managing client relationships in pharmaceutical and machine learning sectors. Skilled in strategic sales planning, data-driven decision-making, and identifying new business opportunities. Eager to leverage my skills to contribute to the success of innovative IT companies."
sales manager,"I have over 5 years of experience in sales, specifically:
- 3.5 years as a Sales Manager at ""Kyivskyi KPK,"" focusing on B2B sales to various enterprises across Ukraine.
- 2 years as a Land Sales Manager at ""Zeminvest,"" specializing in B2C sales.
Additionally, I have 2 years of experience managing a small business as an entrepreneur (up to 5 employees).
During my previous roles, I successfully implemented personal projects, including:
1. Achieving monthly sales of $350,000 in the B2B sector.
2. Implement the idea of a new product to a client, from initial creation to delivery in retail markets.
3. Managing teams of up to 5 individuals.
4. Contributing to the development of the company's operational structure, implementing systematic processes and reporting.
Currently, I work as a sales manager in Zeminvest, where I organize all processes related to land sales and mentor junior specialists.
In the future, I would like to develop my skills in mentoring sales teams and contribute to the growth of specific areas within companies.
- Increased sales share among clients compared to competitors in 3x. For example, I raised the monthly purchase volume of one client from $6,000 to $50,000 through effective management of a large assortment of products.
Expectations of ease and accessibility in communication within the team and with management. Opportunities for financial growth."
sales manager,"Summary
WEB 3.0 Business Development Manager with extensive experience in Sales, blockchain products, and SaaS startups. Proven track record in driving revenue, building strategic partnerships, and scaling innovative solutions. Passionate about emerging technologies and maximizing business impact."
sales manager,"8+ years' experience in a customer-facing role.
6+ years of experience in non-IT sales (B2B\B2C).
I am a very focused, responsible, and confident individual with good sales skills. I consider communication skills, adaptability and flexibility of thinking to be my strengths.
- Performed full sales cycle from prospecting to closing.
- Serving existing clients and re-engaging former clients
- Advising and building trusting relationships with clients.
- Conducting negotiations with potential customers/partners
- Managing operational activities and problem-solving
Soft skills:
- Strong communication skills
- Fast learner
- A dynamic, results-oriented hard worker
- Desire for personal growth
- Good sense of humor
Hard skills:
- Good technical knowledge and understanding of the process
- Completed IT sales courses
- Prioritising and goal setting
- Strong real-world sales experience
I believe that quality people are the most important resource for any company and that a healthy culture & collaborative environment will outperform others."
sales manager,"Worked as a sales manager in TrackEnsure and as a dispatcher(position consisted from following positions’ responsibilities: sales, customer support, billing agent, complaint manager, logistics and lead generation(locally)) in WorkFlow
Both positions were in English (first one was for American audience, the second one is for Canadian one)
2+ years of experience in creating videos and banners for tt and fb mediabuyers
Traffic arbitrage 1 year of experience. I know how to create a campaign and make it profitable.
Top daily profit $980
Full integration of ServiceTitan system in Techvill!
Know how to make generative creatives for affiliate marketing and business!
Conversion rate in sales from 60 to 85% depending on the company"
sales manager,"Work Experience Details:
Current Role
As a Business Development Consultant at Essential Solution, I manage client accounts for startups, SMEs, and enterprise clients, focusing on software innovation and AI solutions. I conduct market research, lead generation, and client negotiations while staying updated on AI trends and technologies like prompt engineering. I also represent the company at international conferences and expos.
Projects and Tasks Completed
Successfully implemented Electronic Management Systems (EMS) for government entities with AVROMIC.
Led multiple high-value contracts and tenders for local and international e-government markets.
Developed and negotiated proposals for enterprise clients, helping them adopt innovative IT solutions.
Directed the growth of VARPET, a mobile app for home and enterprise solutions, overseeing platform development and customer engagement.
Managed financial planning and risk analysis in the manufacturing sector with ZOR-AGATA.
Technologies Used
CRM and Analytics Tools: Hubspot, LinkedIn Sales Navigator, Salesforce, Power BI.
Software Development Knowledge: AI integration, EMS systems, and prompt engineering.
Project Management Tools: Trello, MS Project, SQL, MS Office.
Current Role in the Team
I play a leadership role in strategy development, market analysis, and team collaboration. My role includes mentoring, knowledge-sharing, and representing my organizations at professional events, ensuring alignment with the latest industry standards.
Areas for Improvement
I aim to deepen my expertise in cutting-edge AI technologies and their application in business analytics. Additionally, I strive to enhance my knowledge of advanced software development frameworks and explore innovative sales strategies for high-stakes contracts."
sales manager,"Sales Manager for Logo-Branded Chocolate:
Account Manager for Logo-Branded Chocolate:
Consulting clients via messengers, by telephone, assistance in selecting products according to client's request. Sale of branded sweets.
Placing orders, working in the CRM, support in approving the layout, transferring information to production.
Conclusion of contracts, control of payments for orders.
Client support throughout the entire order from registration to shipment.
Travel Sales Manager:
Сonsulting clients on the specifics of destinations and tourist services, selecting tours according to clients' wishes, selling tourist products, concluding contracts for tourist services, booking tours, maintaining a CRM system.
Vodafone:
Consulting subscribers on the company's products and services, selling services and tariffs to customers. Worked with clients, providing consultations and support.
Resolved customer issues and inquiries.
Assisted clients in choosing the best products and services.
Sales Manager for Logo-Branded Chocolate:
Increased the average order value for logo-branded sweets through personalized consultations and a strategic sales approach.
Travel Sales Manager:
Successfully boosted sales of travel services by tailoring offers to individual client requests.
Provided a high level of customer support, fostering long-term relationships and increasing client loyalty.
Vodafone:
Efficiently resolved customer inquiries and issues, enhancing trust and overall satisfaction."
sales manager,"6+ years of total experience
Sales Manager
- Inbound selling;
- Analyzing the needs of potential clients to define the project goals and milestones;
- Preparation of customized proposals and project requirements preparation;
- Providing expert guidance on building digital business solutions;
Market Researcher
- Business growth opportunities research based on ICPs and market trends
- Provided recommendations based on research to inform business decisions.
UX/UI designer
- Analyzed business requirements;
- Recommended the best design approach based on the product's goal;
- Designed products;
- Collaborated with stakeholders to improve the product based on the feedback."
