Category,Resume
software engineer,"Successfully led and implemented several projects to migrate, process, and compute data from Snowflake to AWS S3, ensuring scalability and data integrity.
Developed and maintained microservices using Java and SQL.
Created ETL pipelines with automated DAGs in Airflow that processed large amounts of data in the cloud environment.
Actively worked with cloud infrastructure:
Snowflake - data storage
AWS (S3, Lambda, RDS, SQS, EC2)
Redis - for caching and accelerating access
Technologies: Java, Python, SQL, Snowflake, AWS (S3, Lambda, RDS, SQS, EC2), Redis, Airflow, Docker"
software engineer,"With five years of hands-on experience in Python backend development, I specialize in utilizing technologies like FastAPI and Django to create efficient and scalable server-side applications. My expertise extends to working with databases like PostgreSQL, optimizing performance using Redis, and integrating various technologies to build robust web solutions. I am proficient in designing RESTful APIs and ensuring the security and reliability of web applications, while also staying updated with the latest trends and best practices in backend development."
software engineer,"1. Senior Software Engineer at S&P Global (EPAM) (2021 – Present, Paris, France)
• Developed scalable backend solutions for financial transaction reporting.
• Optimized data reading from S3
• Accelerated data processing by 80%, reducing runtime from 2.5 hours to 15-20 minutes.
2. Software Engineer / Team Lead at DevRain (2019 – 2021, Kyiv, Ukraine)
• Led development team for a CRM system integrating webshop and financial modules.
• Optimized Azure costs by 40% and implemented various business-driven features.
3. Software Engineer at Churchill Capital (2015 – 2019, Kyiv, Ukraine)
• Developed an online research management system for trade idea sharing.
• Migrated to Microsoft Azure, cutting costs by 30%.
• Improved search efficiency with Lucene content indexing.
4. QA Engineer at Nik LLC (2012 – 2015, Kyiv, Ukraine)
• Desktop and web applications for energy management software.
• Contributed code and wrote guide documentation."
software engineer,"I'm Senior Software Engineer with hands-on experience in software development and software architecture. I have experience in several domains: fintech, insurance, and transportation. Mostly I'm responsible for the backend. I've been working in companies of different sizes, so I have a good understanding of SDLC (from gathering requirements to the support phase), how to communicate with stakeholders and teams, and how to build good processes.
As a part of my daily responsibilities, I'm involved in the architecture design and implementation of the solutions, and code reviews.
Made a refactoring of application that helped reduced api calls withing internal service to service communication. Improved database schema that helped us to reduce response time in 20%,
Created a plan that improved code coverage up to 75% using Unit, Integration, Load, Acceptance testing using different tools (k6, xunit/nunit, Specflow, etc) Made refactoring the system that helped us to increase scalability and availability.
The Projects are based on modern technologies.
Preferred technologies/approaches on the project:
DDD, Docker, Kubernetes, Cloud Services, ELK, .Net 5+, ASP.NET Core, Microservices, CQRS, Event Sourcing, SOLID, GOF, OOD, CI/CD"
software engineer,"I’ve spent the last few years building, fixing, and scaling real-world systems - from high-load backends to Electron desktop apps and AI-integrated platforms. I don’t just ship features - I take ownership of the whole thing: architecture, code quality, performance, and delivery.
At ProDrops, I rebuilt a broken tournament system from the ground up, cutting response times and boosting user session duration 5x. At The EXT Store, I implemented the frontend architecture for a cross-platform app, built a UI Kit from scratch, and helped steer product direction. With Basilicode, I integrated AI into a FinTech platform and led development on a psychology app, balancing technical complexity with clear delivery timelines.
I’ve led full-stack teams at AMC Bridge, contributed to critical performance fixes, and replaced clunky libraries with clean, fast internal ones. Earlier, I co-founded a studio, shipped MVPs under pressure, and freelanced across a bunch of domains - always learning, always delivering.
My go-to stack is TypeScript, Node.js, React, Next.js, Electron, and PostgreSQL, but I’ve worked with everything from Python and Go to Lua and Rust. I’m solid on CI/CD, DevOps basics, and scaling challenges.
These days, I’m usually in a senior or lead role - writing solid code, mentoring teammates, and driving product delivery. While I’m deeply experienced in full-stack and web technologies, I’m also expanding my skills into lower-level programming - things like C/C++, embedded systems, and Rust - to round out my toolkit and better understand the layers beneath the platforms I build on.
- Rebuilt a major tournament system at ProDrops, fixing long-standing performance issues. The new version cut backend response times significantly and increased user session duration by 5x.
- Created a full UI Kit from scratch in just a few weeks at The EXT Store, replacing scattered, inconsistent code with a clean, reusable component system that sped up development across the team.
- Integrated AI features into a live FinTech platform at Basilicode, balancing complex ML outputs with a clean user experience. Also led development of a psychology app powered by GPT-based analysis.
- Replaced bloated Material UI with a custom internal library at AMC Bridge, reducing app build times and improving runtime performance. This change also made styling and component logic easier to reason about for the whole team.
- Delivered an MVP event app in 3 days during a high-pressure client engagement at BOBR.studio. Fixed bugs live while the app was in use - risky but successful, and the client was happy.
- Led a full-stack development team and coordinated with BAs, designers, and QAs to deliver on tight deadlines, while mentoring junior devs and handling complex technical decisions.
I want to work on things that matter - projects with real technical challenges, where good engineering makes a difference. Ideally, I’d like to be part of a small, sharp team where everyone takes ownership and the work isn’t buried under layers of bureaucracy.
I’m especially interested in systems that go beyond just UI - whether it’s backend-heavy, infrastructure, integrations with hardware, or anything with a bit of technical depth. I’m always up for learning something new, especially if it takes me closer to understanding how things work under the hood.
What I don’t want is to be stuck pushing tickets in a giant feature factory, or endlessly polishing frontend animations for yet another clone app. If I’m in, I’m all in - but only if the work’s worth doing."
software engineer,"10+ years of embedded devices and systems development experience.
ESP32, ESP8266, C, Altium, Keil, IAR, full-cycle development, components research, schematic design, PCB tracing, prototype production
Development of automated payment systems based on ESP8266 and ESP32 microcontrollers - vending, turnstiles, parking lots - cash and non-cash payments. Registration and printing of fiscal checks. Full cycle from design to implementation and user support.
Automated climate control systems - humidity, temperature."
software engineer,"4+ years of Android experience, inc. development of highly optimized applications.
--------------------------------------------------------------
NDA | Android Software Engineer (November 2024 - Present)
Project: Point-of-Sale (PoS) application for a major retail chain
Stack: NDA
- Built payment integration framework, supporting diverse payment methods.
- Optimised app for processing 900K+ daily transactions, scaling to 2M during peaks, ensuring 99.99% uptime.
- Designed modular technical menu, streamlining diagnostics and reducing MTTR by 25% for support teams.
- Optimized application performance by refactoring critical components, leveraging multi-threading.
- Implemented OAuth 2.0 and JWT-based mechanisms to safeguard sensitive data.
Tedee | Android Developer | (July 2023 - November 2024)
Project: Smart home application with over 15k+ globally active users
Stack: Kotlin, Jetpack Compose, Coroutines, MVI, Koin, BLE
- Created a system to automatically restore BLE connections when they break, ensuring continuous operation.
- Participated in the development of a huge data encryption and decryption system.
- Fixed a critical bug related to access token and improved security by 25%.
- Implemented a hashing mechanism to secure sensitive user data.
- Resolved a token expiration lag during network drops, improving auth reliability by 25%.
- Reduced BLE module power consumption by 20% by optimizing connections.
- Rewrote and covered 30% of the team's legacy codebase with tests.
- Developed dashboards for real-time monitoring of smart devices.
- Reduced the application size by 10 MB by removing RxJava
- Creating UI screens - Compose.
- Code refactoring
MBDA Group | Android Developer (April 2022 – July 2023)
Project: Local application for employees 1k+/MAU
Stack: Kotlin, Jetpack Compose, Coroutines, MVVM, Dagger 2, ExoPlayer
- Engineered a high-performance video streaming solution with ExoPlayer, optimizing bitrate adaptation for smooth playback and reducing resource consumption by 15%.
- Implemented secure token-based authentication ensuring safe storage and refresh of access tokens
- Improved project build speed by 16% by optimizing core module dependencies and Gradle configurations.
- Improved network requests with Retrofit, cutting response times by 20% with retry logic.
- Designed and implemented a video download system using Fetch and WorkManager, enabling queued offline playback with progress tracking."
software engineer,"I’m a passionate backend developer with nearly 2 years of hands-on experience building scalable server-side applications, primarily using Node.js and Express.js. I've also worked with Python frameworks like FastAPI and Flask for several months, giving me flexibility across technologies.
Throughout my career, I’ve developed and maintained APIs, integrated third-party services, and optimized database interactions using PostgreSQL and MongoDB. I also have solid experience with web scraping tools, including Selenium, Beautiful Soap, and tools Airflow which I’ve used to build efficient data extraction pipelines.
In my early journey, I completed a full-stack development internship, gaining practical experience with React.js on the frontend. While my main focus has been backend development, this exposure allows me to understand and collaborate effectively with frontend teams."
software engineer,"Software Engineer II July 2022 - Present
EPAM SYSTEMS Newtown, Pennsylvania, USA
Leading US company in legal, tax, finance, and healthcare solutions (remote) Remote
• Implemented features, fixed bugs, conducted code reviews, and was actively involved in customizing core features to
meet business needs.
• Increased test coverage by more than 80% by writing high-quality code, and covering the written code with unit
tests using Jasmine and Karma.
• Successfully enabled the Sonar scanner by increasing code coverage and addressing technical debt.
Leading US company in workforce management solutions (remote) Remote
• Successfully updated jQuery from version 1.x.x to the latest version, 3.6.0, effectively resolving security issues.
• Migrated the main page dashboard from the ASP.NET web framework to the latest version of Angular, employing
a micro-frontend approach.
• Developed high-quality E2E tests using Playwright which decreased number of project defects to be deployed to
production.
• Performed technical analysis and delivered impressive demos to key stakeholders.
• Designed, developed, and maintained cutting-edge Web Components using Angular and RxJS.
• Created and maintained robust unit and end-to-end tests using Jest and Playwright, respectively.
• Developed and maintained Web Methods (HTTP endpoints) using ASP.NET.
• Enhanced CI/CD pipelines and implemented Quality Gates for comprehensive E2E testing.
Software Engineer I July 2021 - June 2022
EPAM SYSTEMS Newtown, Pennsylvania, USA
Carbon footprint calculator | Eco-friendly impact measurement tool Remote
• Implemented code quality gates by adding pre-commit step using Husky, which performs auto-formatting code
according to project code-style and checks for potential code issues by configuring ESLint and Prettier tools.
• Collaborated with the backend team and Business Analyst on translation matters, resulting in the confirmation of
the Excel structure for translations and its accurate parsing to JSON to meet frontend requirements."
software engineer,"I only accept offers from product companies. Thanks for understanding
I have extensive experience in programming using technologies such as Python, Django, React, and Kubernetes. I have worked on a variety of software development projects, playing a key role in the development and debugging of software code.
In my most recent project, I developed a high-level platform for container management using Kubernetes and Docker, where my role involved developing a web interface and API for managing containers.
I also have experience in developing data collection and monitoring systems using Python and Elasticsearch, and in my current project, I am responsible for developing microservices using Django and React, including analysis of software requirements, system architecture design, and software development.
I am always looking to improve my skills and explore new areas of development. In the future, I am interested in exploring the use of artificial intelligence in software development and expanding my knowledge in this field."
