Category,Resume
backend,"
Senior Software Engineer

• Languages: C#, JavaScript
• Platforms: .NET Framework, .NET Core, Docker.
• Technologies: ASP.NET Core, ASP.NET MVC, WPF, Windows Forms, Xamarin, Xamarin Forms, REST, AWS SQS, AWS SNS, AWS ASG, AWS ELB, EC2, Entity Framework (Core), Dapper, ADO.NET, LINQ, Redis, AWS/Azure Infrastructure
• RDBMS/Storages/NoSQL: MS SQL Server, Cosmos DB, Azure Blob Storage, AWS DynamoDB, Elastic Search, Azure Blob Storage, AWS S3, AWS S3 Glacier.
• Unit tests: nUnit, xUnit, FakeItEasy, Moq.
• Monitoring and logging: Elastic Search, Kibana, Logstash, Serilog, NLog, AWS CloudWatch, AWS CloudTrail, Azure APP Insights.
• Methodologies: Agile, Scrum, Kanban.
• CI/CD, Tracking system: Jira, Git, Azure DevOps, MS Build, Gitlab, BitBucket. AWS CodeCommit, AWS CodeDeploy
Interested in developing new challenging projects, actively improving and extending existing ones, or rewriting them from scratch."
backend,"
I have 6+ years of related experience. Familiar with Magento for more than 4 years (3 years as Project Manager and 1+ year as a backend developer)

    • Supporting existing projects and developing from scratch
    • Modules developing
    • Setting up different features by customer’s request
    • Migration and updates
    • Bugfixing
    • Various small tasks

PHP, HTML/CSS, jQuery, Git, PhpStorm, xDebug, LAMP/LEMP, SSH, Magento 2, Magento Cloud, Projects deployment, Observers, Plugins, UI component
I'm looking for a company where my skills and experience will be useful and I can improve my Magento 2 and PHP skills as well."
backend,"
I have experience from small projects to supporting big ones, used different technologies to develop APIs (Symfony, NestJS) along with frontend technologies (React) and mobile clients (Android). Had different project roles: developer and architect.
Currently, my interest is android development.
"
backend,"Had an experience of leading development teams in 3 different projects and teams.
Contributor of microservice with regular load of 50K+ RPM. Experience in creation of CICD process.
~ 3 year on Lead position.
~ 6 year of Node.JS development experience.
~ 8 years of front-end development experience.
Back-end: NodeJS
Back-end frameworks: ExpressJS, FastifyJS, HapiJS.
Databases: MongoDB, CouchDB, Couchbase, PostreSQL, DynamoDB, CosmosDB.
AWS: Lambda, EC2, ECS, DynamoDB, RDS, SQS, SNS, Cloudformation, Cognito, Cloudfront.
Azure: Functions, CosmosDB, Key Vault, Active Directory B2C, ARM templates.
CICD: Github Actions, Bamboo, Gitlab CICD
Front-end: JavaScript, TypeScript, HTML5, CSS3.
CSS preprocessors: Sass (Compass), Less.
Front-end frameworks: Angular, AngularJS.
Module bundler: Webpack.
Build tools: Gulp, Grunt.
Tests: Karma/Jasmine, Mocha/Chai, Jest.
Open for leading positions. Ready to learn new things. Challenge projects and clear goals. Professional team."
backend,"a unique experience, architectura
Hello, I have been working as an asp.net developer for almost 5 years. During this time, I have written projects in classic MVC, Asp.Net Core MVC and API Structures in versions 2.1, 3.1 and 5. I Worked on a Project at MeadiatR Pattern Desing. I have worked on Project onion Architectura Desing, Rest-Full Surveys and Soap Surveys.
High Salary and the good team"
backend,"
""Power of the .NET in the palm of my hand. Nothing will stand on our way of creating great applications. NOTHING!!!"" - Doctor Octopus would have said this, if he had been .NET Developer.

But your are lucky because I can do it instead of him)

I can offer you my experience in developing fast-responsive, cross-platform, and last but not least - secured backends.

If you make me part of your great team I will do even greater since I like to work in collective raise my qualification and share my experience.

Platform:
- ASP .NET Core 6.0;

Databases:
- MS SQL Server;

ORM:
- Dapper;
- EF Core;

Unit - tests:
- xUnit;
- Moq;
- FluentAssertion;

Version control system:
- Git

Task trackers:
- GitHub;
- Gitlab

Security:
- JWT;
- OAuth 2.0;
- OpenIdConnect;
- IdentityServer 4;

User credential providers:
- Asp .NET Identity;

Others:
LINQ, experience of working with middleware and experience of optimising responses using caching and pagination techniques.
I want to work on product which designed on modern technologies"
backend,"
I have worked on a number of freelance projects mostly with Java, PHP, NodeJS and Kotlin for backend and Android development.
Some of my previous projects are a music recognition app, web applications for a cooperative society, an internship placement system and an e-commerce platform.
"
backend,"GCP - ML and other base skills
Lviv Polytechnic National University, 2013-2019
Bachelor's Degree Field of study “Software engineering” – BS: 72 of 100, 
Master Degree Program Subject Area “Software engineering”  – MS: 75 of 100.
DeepLearning.AI TensorFlow Developer - Couresa Course of AI and ML development on Python
Developed applications with Spring stack and Docker with InfluxDB and Flux. Build a solution for the De-Fi platform with several approaches for business logic and different algorithm for the best value.
Developed several applications with Spring Stack. My responsibilities were the MVC approach to build business logic and Rest-API for communicating with the front end.
In development, I used to use different approaches for building apps like TDD and others. Also had different ways of projects like: from zero to hero and developing new features for a ready platform.
Last but not least is the writing Unit and other testing and writing documentation statements.
Do you want the best?  - Here I'm."
backend,"
Roles: Architect, Team lead, Developer
Experience in IT: 24 years
Team-lead experience: 2 years
Architect experience: 3 years
ASP.NET Core experience: 5 years
C# experience: 9 years

Technologies:
Languages: C#, LINQ, T-SQL, XML, VB.NET, JavaScript, JScript, VBScript, HTML/DHTML, CSS
DBMS: MS SQL, PostgreSQL, SyBase, Pervasive SQL, MS Access
Frameworks: .NET Framework, .NET Core
ORMs: Entity Framework Core, Dapper
Architecture: WebAPI, RESTful, Microservices
Patterns: MVC, MVVM, Repository
"
backend,"
Experience - 2 years in outsource company - Full-stack JS (TS) developer, Solidity smart contracts developer.

Backend - NodeJS, Express, NestJS
Databases - MySQL, PostgreSQL, MongoDB, DynamoDB
Blockchain - Ethereum (Solidity smart contracts development, interaction with smart contacts using ethers.js, web3.js, alchemy, infura, hardhat, moralis. L2 technologies - Polygon, StarkWare. Auth - web3auth, metamask, WalletConnect ).

Why backend? I love to solve complex problems using different patterns, algorithms and data structures.
Why blockchain? It's awesome felling - you can touch the future. Building different contracts (Tokens, DAOs, Games, etc.) brings be a lot of pleasure. It's huge world I'd like to investigate.

Also, I have experience of direct communication with customers.

On one of the most interesting projects I have been working as Backend and blockchain developer.
About backend: Serverless NodeJS backend, deployed on Vercel. Database - MySQL, interaction with DB using prisma. Tools & APIs: Pinata, Cloudflare, StripeAPI, AWS Lambda, Instagram & Twitter API.
About blockchain: Building solidity smart contracts (ERC721, ERC1155 with build-in mint fees - possibility to pay with ETH, USDC (Oracle used to convert eth to usd)) and building smart contracts using L2 technologies - StarkNet(Cairo language).
Contracts deployment and testing - hardhat.
Interaction with smart contracts - ethers.js, infura, alchemy.
Work-life balance
Ability to grow
Backend(NodeJS) and Blockchain development"
