Category,Resume
c++,"As a part of Ubisoft Kiev team I participate in development and maintenance of graphics features for Ubisoft AAA titles. To this moment I've worked on Far Cry 4 and Far Cry Primal projects. Good with algorithms and math.  Proficient in CPU/GPU optimization.
C++, DirectX, Unity3D
I'm interested in development of graphics features for both gaming and non-gaming projects, achieving great CPU/GPU performance."
c++,"I want to develop in the field of programming to the maximum. Get experience in teamwork, experience in creating large projects, so that in the future I would not have problems with this.
I do not have work experience. I am currently in my 1st year of university.
I had practically no projects, only simple clicker games.
I studied Python for 6 months at the academy, and studied C++ on my own for about 7 months.
I am currently learning Java and HTML.
I want to do everything, more precisely, try something new and learn new programming languages."
c++,"creating intuitive and easy to use interfaces that delight the end users and solve business problems, open to continually learning new things, energetic, agile and creative problem solver who is open to careful experimenting.
i have not been employed yet but currently in my 4th and final year of my undergraduate degree program at Uzhhorod National University but have learned quite a number of skills in Object Oriented Programming
C++
Java
Web Design
Algorithms
C#
Android Mobile Applications development
Parallel Systems
Computer Networks
working with different object oriented programming languages such as C++, Java and C#"
c++,"As an employee of small software company, managed to propose company process improvements(like regular 1-1 meetings, mentoring program, goal oriented salary review system)

As a consultant in Spotify we formed a good team with other guys. I tried to push pair programming sessions, because it helps to jump to new domain and to get experience faster.

Also, I'm very proud of my work on-site. I managed to solve integration problems and solved all implementation blockers.

As an architect I managed to clarify tension points from customer and ""drived"" him through technical details and made result predictable.
Latest experience:
+ Unreal Engine + C++ projects. Architecture proposals. Client communication. Company process improvements.
+ Spotify engine changes. Migration of interfaces between engine and applications.
Also:
5 years in automotive industry
* Navigation development
* Architecture description creation
* Representing company on-site in suppliers office
* Leading team of 5 people
* Little OpenGL experience
* Game development experience
I really don't like very long support projects. When you are fixing bugs for several years without any new features."
c++,"Legacy application architecture assessment and creating long term refactoring plan based on the gathered architecture significant requirements.
Was able to come as a tech lead to development area i had no experience with and build up good relations and effective team.
Leading a team among chaos created by management. 
Performing in-depth analysis of requirements with correspondent follow up during all stages of dev process (analysis, design, implementation, review, support). 
A number of successful dev streams where i was dev and/or lead.
Most of my experience comes from banking Enterprise solutions world (existing legacy solutions refactoring and business features implementation of various scale).
Among them the biggest interest for me had a project with monolithic application refactoring due to total un-maintainability, poor testability and almost zero scalability (plus a bunch of other problems).
Roles i took during my career: dev, Team/Tech lead.
I like having hands-on experience in the projects i work on.
My desired professional growth path is Solution Architecture.
Activities/languages/other i worked with:
Solution Architecture assessment, C++, Boost, STL, MT, OOP, OOD, Design Patterns, C# (basics), Python (basics), Qt (basics), VCS (Git, Perforce), Team management, Scrum, Mentoring, Requirements Analysis, Requirements Breakdown.
Expecting good management, opportunities to grow, complex tasks including solution architecture, communication with business, high load or performance critical application, team management or mentoring."
c++,"
I am an experienced C++ developer with a strong background in mathematics and algorithms.

Big Internet company (4 years 5 months)
Highly loaded service - multithreaded daemon in C++ on Linux. 
Implemented new features, did algorithmic optimizations, fixed bugs.
C++ (including C++11/14) (and some Go), Linux, CMake, MySQL, multithreading, protobuf, tests in Python, etc.

Small product company (5 years 11 months)
Desktop accounting application (Windows).
Mostly C++.
Did everything, from GUI components to fixing multithreading bugs in the custom installer and building prototype to access app data from Web.

Another big Internet company (9 months)
Search index processing utilities.
FreeBSD, C++.

(another 8 months as a junior developer)
"
c++,"Designed and Implemented window with complex business logic that contained properties organised in a tree strusture (each item corresponds to a bitmask) in the middle of big project which used to handle logging process of whole application. Used Qt 4.8 library.

Wrote simple HTTP server using libevent under Linux
C++, STL, Boost, Qt, Linux
Seeking for project where I could grow like a crossplatform developer."
c++,"Education:
2014-2016 National University “Lviv Polytechnic”.
8.05100303 ”Devices and systems of precise mechanics”
Degree: Master

2010-2014 National University “Lviv Polytechnic”.
Specialist in information technologies.
6.051003 “Precision Mechanics”
Degree: Bachelor
Experience:   3 years

Programming languages:
C/C++, STL, Win32
C#    (beginner, writing simple programs, debugging and fixing)
Python (begun study)
SQL
HTML

Skills:
    understanding of design patterns
    debbuging
    microcontrollers programming (Arduino, AVR 8bit) as hobby
    understanding of electronics (digital/analog)
    advanced user of PC (software, hardware, module repair, assemblage)

Experience with :
   MS Visual Studio
   TFS
   JIRA
   SCRUM methodology
Also :
   SolidWorks 3D CAD
   MatLab
   Mathcad
   Arduino IDE
 
Languages:  
   Ukrainian (native)
   English (pre-intermediate)
   Russian (pre-advance)
Moving to another city is not interested."
c++,"
Golang, REST, C++ 11/14, STL, Boost, GTest, MFC, COM, ATL, WinApi, Qt, SQL, cross-platform development
Interested in cross-platform development.
Ready to consider working with such technologies and branches: computer networks, web services, machine learning. Prefer to develop Golang skills."
c++,"Successfully completed international certification of Fogra Research
Institute for Media Technologies
- HMI Project for Mercedes Benz
- Certification authority for “Polygraph Combine “Ukraina”
- Counterfeit protection system ""CipherME""
- Road safety camera software
Looking for an interesting job in a company of talented developers with good work-life balance"
