Category,Resume
data analyst,"I made a report about delays in order processing allowing me to do this daily and a report calculating a KPI for this metric for the two divisions. It helps to decrease the delays. 
Compiled new reporting, with the help of which managers began to achieve 15% more goals on average and accordingly receive more monetary motivation.
With a background of over 2.5 years in analysis, I have gained expertise in different spheres (customer support, sales, and pricing). I am recognized for my ability to generate insightful reports, optimize performance, and implement effective strategies. 
Known for my attention to detail and problem-solving skills, I have successfully identified patterns and regulated negative factors to achieve positive outcomes. Skilled in data analysis, report generation, and communication, I have consistently delivered results throughout my career. 
I have a passion for data analytics and I am actively deepening my knowledge in this area to further enhance my skills. I develop new skills, such as SQL, Power BI. Also I learn English.
My mission is to leverage my analytical expertise to drive growth, enhance business operations, and contribute to the success of organizations.
Current job responsibilities: 
Generating periodic reports on the department's key performance indicators, the fulfillment of key metrics (daily, weekly, and monthly), and employees’ productivity (on request, about once every 2 months). 
Analyzing data and performance results with their preliminary collection, interpretation, visualization, and identifying patterns to regulate negative factors. 
Monitoring the efficiency of first-line support agents (550-600 employees in 4 locations and 2 outsourcing partners). Their allocation among 3 channels of customer interaction (calls, chats, emails) in accordance with the workload in 12 directions by country in real-time, including interaction with outsourcing. Also checking employees’ compliance and adherence to schedule. 
Tracking delays in order processing. I made a report allowing me and team leaders to do this daily, and a report calculating a KPI for this metric for the two divisions.
Calculating additional human resources to cover the workload. 
Assisting in building employees' work schedules (monthly) and correcting them if necessary.
I want to be part of a large team that works together on projects in foreign markets."
data analyst,"Identifying multiple flaws that affected either the performance of the analyzed products or the revenue, creating multiple ETL to enhance the existing analytical processes, setting a benchmark for all analytical reporting activities & dashboards creation, leading 6 people, etc...
I'm an experienced analyst that is planning on switching to data science. I have a couple of certifications to prove my sql, python, looker, and tableau skills. I'm a software engineering bachelor.

I have worked as a senior (also, was leading a team) data analyst in a company for more than a year. Used sql, python, bigquery, looker, and tableau mainly. 

Before that, I'd been working as a middle data analyst (also, was leading a team too) for 4 years. Used sql, python, aws, looker, and tableau mainly. 

My main responsibilities were to conduct a full-cycle analytics process for the existing/released products/features. That's data exploration, cleansing, processing, organization, ETL processes, visualization, creating dashboards, presenting the results, conducting the reports, ad-hoc analyses, etc...
I prefer remote positions the most!"
data analyst,"
I have been working as an analyst in Choco Holding for about 2 and a half years. I had participated in constructing an analytical architecture for a Data Warehouse. I became proficient in tools such as sql, dbt and jinja in order to do that. I vizualized finalized data in Superset. Then, I became engrossed in product analytics and had sufficient practice in skills regarding python libraries like pandas and seaborn. I carried out statistical tests for new product features.
"
data analyst,"- scaled dbt project to other regions in heathcare company;
- worked in a team of 6 analytics engineers & data analysts;
- built dbt project from scratch for call center company;
- Certified Tableau Associate
Technologies:
- dbt for data modeling;
- Tableau, Metabase for data visualization;
- Airbyte, Fivetran for data extraction;
- Snowflake
- Matillion

My current role is BI Engineer. I'd like to continue building data pipelines using modern data stack.
"
data analyst,"
- realtime reports for C-level data-driven decisions in Google Looker, QuickSight
- analytics of different ad channels, its profit/loss coefficient, lead/sales conversions
- Jira, gitlab
- creating data pipelines for getting, processing, saving data to database
- reports on sales agents performance
- developing dashboards on existing CRM data
- Technologies used: Python, Pandas, NumPy, SQL, Mongo, AWS S3, docker, Google Looker, Google Analytics 4, GTM, Flask, Amazon QuickSight, Amazon Redshift

- developing dashboard analyzing client segments by different features
- developing hypothesis and key metrics and  designing recommendations to improve marketing campaigns and ads configuration
- Jira, Confluence
- gitlab
Technologies used: Python, Pandas, NumPy, SQL, JupyterNotebook

- building dashboard for marketing analysis like GA 
- creating marketing metrics for dashboard(CPA, visit time, cost per each utm_tag/device type and so on)
- analyzing customer journey
- working with Google Analytics, Mixpanel, Tableau
- building prediction model and market segmentation model
- data preprocessing: feature vectorization and normalization
- Jira, Confluence
Technologies involved: Python, Pandas, Keras, SQL, JupyterNotebook
"
data analyst,"BI developing:
- In 6 months developed 12 dashboards from zero for 3 group of companies (Retail and Distribution);
- Organizing and designing appropriate data warehouse for more than 1 billion rows data;
Data analysis:
• Active participation in stretch planning processes: sales base cleaning, trade activities and promo calculations, demand planning accuracy, forecasting;
• Improved method of calculating Sell In forecast by categories Mars, Wrigley and Skittles: Demand planning accuracy (DPA) – 98%
- Coaching and mentoring BI developers and analysts team (5 members);
- Developing strategic, operational dashboards from zero, using Qlik Sense and Power BI, implementing best practices of data modeling (Snowflake, Star Scheme) and visualizations;
- Importing data from PostgreSQL, MSSQL databases using a query (join, aggregation functions);
- Performing ETL processes at the script part while importing data;
- Organizing and designing appropriate data warehouse using QVDs and daily updating data with task planning (QMC) – Fact tables (sales, orders, stock) and dimensions;
- Creating documentation and guidance of dashboards for users.
"
data analyst,"
4 years of experience working as an Analyst, including 3 years as BI Analyst and 1 year as Marketing Data Analyst.

Main Responsibilities as BI Analyst:
- creating and updating reports in Power BI, based on customer requirements
- report automation by transforming from spreadsheet-based one to a fully-automated set of dashboards
- processing big datasets in order to get insights (MS SQL, Big Query etc)
- visualisation data and information, presentation of results
- modelling and describing business processes As-is and designing To-be 
- development proposals to optimise and automate processes

Main Responsibilities as Marketing Data Analyst:
- comprehensively analysis key channel’s metrics to provide recommendations for improvements (revenue, traffic sources, best timeslots, RPM, playback-based CPM, audience behavior) 
- maintaining weekly/monthly reporting of channel performance 
- developing Strategy of YouTube-channels (advertising budget forecast, compiling media plan, market and competitor analysis)
- conducting audit and provided advisory on channels promoting
- launch and analysis of the effectiveness ad campaigns
Not interested in crypto/casino projects."
data analyst,"Key contributions:
· independently implemented Power BI at two companies;
· organized the work of the control department (development of regulations, instructions, reporting, etc.);
· developed a number of initiatives to improve the control system in the enterprise;
· automated existing and developed new reports and forms, thanks to which the main working processes of the department were significantly optimized;
· implemented a system for assessing the current state and identifying ""weaknesses"" in the activities of affiliates;
· simplified the mechanism of sale of problem products, launched an analysis of its balances and sales, as a result of which the volume of its sales increased significantly, and the balances of such products in warehouses decreased by 60%;
· reduced the average annual level of receivables by 31%;
· as a result of the agreements reached with fuel suppliers, the fuel discount was increased by 41%, as a result of which the company saves about UAH 500,000 annually;
· reduced the time of consideration of acts of non-compliance with quality, acceptance acts by quantity and quality, claims and complaints from 5-7 to 1-2 days;
· developed a project to collect fees for overdue terms of keeping products in the warehouses of the organization;
· unification of documents at all branches of the enterprise.

Certificates and Courses
· MS Excel: Business Intelligence and Forecasting (graduated with honors);
· MS Excel: Advanced Tools (graduated with honors);
· Practical course for beginners in SQL and PostgreSQL;
· Power BI: from beginner to confident business user;
· Dynamic business data analysis in Tableau;
· Analytics and data science for managers and humanities;
· QlikView for beginners;
· Fundamental Power BI.
Tasks and responsibilities: • design and development of business analysis data model;
• creating specific metrics by DAX/M;
• processing and visualization of data from different sources;
• development and support of analytical reports and dashboards in the Power BI system;
• providing analytical conclusions and suggestions based on Power BI reports;
• advising users on how to work with BI;
• writing instructions for using reports.
"
data analyst,"
I have been in the IT industry for more than 4 years. I worked as a Business Intelligence analyst and took part in different projects with Power BI.
My major experience is in Power BI, Excel and MS SQL Technologies.
The scope of my responsibilities include generating reports and presentations on Power BI, doing analysis, creating interactive data visualisations and dashboards, which were used in internal reporting for the whole company and helped the company to make business decisions.
"
data analyst,"
A results-oriented Data Analyst with about two years of experience in various industries eager to help optimize processes and improve data quality. Proficient in data analysis tools, an expert in data management, and able to quickly learn new concepts. Skilled in collecting, organizing, and analyzing different types of data effectively. Committed to continuous professional growth in challenging projects.

SKILLS:

•	Data Research, Data Validation, Data Cleaning, and Data Analysis
•	Analyzed large data sets to identify trends, patterns, insights, and growth points 
•	Created reports; maintained datasets  and dashboards 
•	Understanding Of Database Structure and SQL proficiency
•	Gathered and documented statistical information to generate reports
•	Experience with Python, Big Data tools, and Data Visualization tools
•	Proficient in MS Excel, Access, and PowerPoint
•	Strong analytical and problem-solving skills
•	Strong attention to detail and accuracy
"
data analyst,"
I'm a Business Intelligence / Data Analyst with extensive experience in wide range of marketing activities, sports & sales data analytics, sound knowledge of various business domains and good practical foundation of web development.

Analytics:
* SQL (PostgreSQL, MS SQL Server)
* Tableau & Tableau Prep Builder, Power BI, Metabase, Google Data Studio
* Dashboards & reports
* Python + Flask, SQLAlchemy, Jupyter Notebooks, Pandas, NumPy, Matpotlib, BeautifulSoup
* Web analytics (Google Analytics, Google Tag Manager, Hotjar)
* API

Additional Tools:
* git, GitHub, Linux, JIRA, Slack, Trello, Redmine
* HTML, CSS, Bootstrap, JavaScript & jQuery

Sales & Marketing:
* Buying personas, user flow & user stories
* Email-marketing, web-pushes, Telegram bots
* Content marketing & webinars
* B2B SaaS Sales training
* B2C Sales & Sales scripts
* Conversion & Retention
* SEO
* SMM
I'm open to client-facing opportunities with English as a primary language of communication."
