Category,Resume
data engineer,"Industrialized an existing scikit-learn prototype using Spark (Scala) to deploy a system for predictive maintenance of trains. 15 binary resume_classifier predicting the probability of failure of each type of physical equipment of 200 Paris regional trains. This allows French railways to detect potential failures and proactively replace a train, which is more cost-effective than fixing a train failing during a passenger circulation.

Deployed an image classification system, based on satellite images (100 megapixel, 1 meter resolution) from Sentinel satellite of EU Copernicus program. System is used for ice segmentation in the Arctic Ocean, improving safety of ships navigation.

Was teaching 4 introductory 1-week courses on Machine Learning / Deep Learning to the students of Pierre-Marie Curie university in Paris.

Created 2-million node graph of transportation network (roads, railways) of 100% territory of France, using OpenStreetMap data. Implemented Markov Models to project data of mobile network events onto the generated graph. This map-matching system, via both LeafletJS visualization and aggregated geo data, allowed mobile operators to improve the accuracy of their geo-statistics solutions.

In a team of 4, built a hackathon winning Flask/Leaflet web application: animation of map-matched trajectories on the transport network of France.

Built a centralized system for storing all marketing costs (25 channels/vendors) of a NYSE public company. Reports based on this data are more stable, allowing Business Intelligence, Strategy, Marketing teams to plan marketing campaigns more accurately.

Participated in French Robotics Cup 2016.
The main part of my IT career was in France. After some Java internship, got my first Data Science job in 2015. As a consultant, participated in several projects for transport, energy, manufacturing, retail. Then, in 2017-2020, had several Data Science/Data Engineering jobs, covering a wide range of tasks: from research/prototyping to data engineering and devops activities for deploying ML resume_classifier.

In 2021-2022 I had a role of AI Team Lead, delivering various AI applications to the clients, with hands-on experience as well as team and people management activities.

Originally from Ukraine, i lived in Paris in 2011-2019 and in Berlin in 2019-2020. This gave me a good experience in working with European clients and a lot of foreign languages practice (especially English and French). In 2021 i moved back to Ukraine.

I also like teaching: in 2018-19 gave several 1-week introductory courses on Machine Learning / Deep Learning to the students of Pierre-Marie Curie university in Paris.

Interested in designing/building/deploying Machine Learning systems. A mix of a solid mathematical background (theoretical physics MSc in Ukraine and France) and a software engineering education make me relevant for a wide range of Data Science/Machine Learning/Deep Learning positions, from prototyping ideas to deploying resume_classifier in production.
Machine Learning/Deep Learning/Computer Vision projects, with resume_classifier running in production (not just prototypes). Perfect case: ""bridge"" between Data Science and Data Engineering.

Want to be a part of a strong Machine Learning/Data Engineering team, being able to constantly learn and grow. 

Most interested in domains like computer vision, medical, transport, ""social good"", ecology. Less interested in marketing, retail.

Social aspect is very important to me: knowing that the results of my work help to improve people's lives.

Agile methodology is preferred, with very clear communication. 

In case of an international collaboration, the company could also benefit from my knowledge of foreign languages and almost 10 years of observing the culture/mentality of Western Europe."
data engineer,"
4 years of experience in Data Analytics / BI.

Programming: Python (Pandas, Numpy, SqlAlchemy, skicit-learn, BeautifulSoup) ,OOP   
Visualization: Power BI (PBI Desktop, PBI Service, Data Flows, Development Pipelines,Automated Refresh, ETL,DAX query Language, Power Query)
SQL: MS SQL (T-SQL), Oracle, PostgreSQL,SnowFlake
MS BI: SSAS, SSIS 
Jira (Agile Scrum) 
Git
"
data engineer,"
For the past 6 years, I have worked in the IT industry, with two years of experience in database development and maintenance, two years in business intelligence (ETL, data visualization/transformation), and two+ years in AWS cloud development (data oriented). 
My current job involves working with large datasets, writing Lambdas using Python, creating infrastructure using CFN templates and boto3 methods (Python SDK for AWS), monitoring on AWS via Cloudwatch, configuring and maintaining databases and DWHs (RDS and Redshift databases), S3 for storage, Athena for data reading, CLI for a wide range of AWS tasks. 
Furthermore, I have had direct contact with customers and enjoy it. I am also knowledgeable in designing relational databases as well as ETL pipelines using Python to store information from various sources.
I'm interested in projects that align with my expertise"
data engineer,"
Development of AWS ETL pipelines and solutions using serverless stack. Migration to a cloud-native architecture.

Financial reporting automation, ELT pipelines and validations using an enterprise reporting platform. Performance optimisation of data-intensive scripts.
BI / dashboards"
data engineer,"Exam 70-761 Querying Data with T-SQL
Microsoft Certified: Azure Fundamentals
Microsoft Certified: Azure Data Engineer Associate
Developed DB structure and ETL processes.
Bulding ETL Data Migration process (to copy data from MSQL to Redshift) and destination structure  
Lambda/Boto3 using Python
AWS Glue job development with spark/Python shell
Step functions as orchestration of ETL process
Development reports in AWS QuickSight 
Building Redshifts structure as DWH storage from zero 
Using Terraform as solution to deploy IaaC from dev env to other stages

Full lifecycle of design and development SQL Databases (SQL Server, Azure SQL)

DB/DWH Developer with more than 10 years of development experience

MS SQL Database Performance optimization

SSRS, SSIS, and Azure Data Factory experience development 

Leading the team members
A new challenging project with AWS stack that allows me to grow and improve my professional and soft skills.
Project (OLTP or DWH) with AWS Cloud technologies.
I am looking for a remote job or a part-time job."
data engineer,"
I'm a product minded, result oriented software engineer with 11+ years of experience in building B2B, B2C systems and mobile apps. I’m keen on implementing and optimising software engineering practices and processes to help products grow.

At the current moment I'm working as a Data Engineering Consultant for a major Pharmacology producer.

Living in Warsaw, Poland
"
data engineer,"I can proud of my participation in each project I have worked for. I believe that Customers I have worked for can say that Products I developed absolutely met their expectations.

A lot of software products were developed and commissioned into Production during 21 years. Many legacy Software decommissioned and thrown into trash can.

N.B. Please!!! See detailed info in attached resume or on LinkedIn
N.B. Please!!! See detailed info in attached resume or on LinkedIn

Summary
--------------------------------------------------------------
• 21 years as software engineer(backend). Cloud and on-premise application development.
• 10 years as Technical Lead of software development team

• Certified in Python 3.4 
• AWS Certified Solutions Architect – Associate

Developer skills in Cloud solutions:
----
• AWS developer: Lambda, SNS, SQS, API Getaway, RDS Postgresql, DynamoDB, Timestream DB, S3/Athena, Glue, DMS, Step Functions, Batch
• AWS DevOps: VPC, CDK/SAM, ECR, Fargate and Batch
• AWS IoT: Core, SiteWise, IMC

Other developer skills:
----
• Python 3.5/3.8, sync and async programming
• Flask and Sanic frameworks: RESTful API micro service development
• Using of Docker virtualization
• Python + Celery, Reddis, Rabbitmq, Kafka, 
• SQL DB (PostgreSQL), NoSQL(Cassandra), Apache Spark
• SQLAlchemy / ORM / Raw T-SQL
• Data base developer(PostgreSQL, Oracle PL/SQL, MS SQL)

Projects:
------
Jan 2022 - now

Project: mining company. AWS IoT solution to support research of zero-emission truck development
Role: AWS Data Engineer
Tech details: AWS: IMC, IoT Greengrass/Core/SiteWise, Lambda, Kinesis, Glue, S3/Athena

Nov 2021 - Jan 2022

Project: food&beverage production. Research of solution for BigData processing, storage and reporting
Role: AWS Data Engineer
Tech details: AWS: CDK/SAM, Lambda, Timestream DB, Dynamo DB, S3/Athena, Glue

Aug 2021 - Nov 2021

Project: traders consulting. Migration of on-premise solution to AWS
Role: AWS Data Engineer
Tech details: AWS: CDK/SAM, VPC, Lambda, DMS, RDS, Glue, Step Function

Oct 2016 - Aug 2021

Project: Medical Insurance, USA. Corporate WEB application built on micro service platform
Position: Technical Lead / Senior Software Developer
Tech details: Python, WEB, Flask/Sanic, REST API, microservices, Kafka, RabbitMQ, Celery, Postgres PL/SQL, Spark

2014-2016

Project: Banking and Financial, Germany. Bank Data Warehouse based on Oracle technologies
Position: Software Engineer
Tech details: Oracle Pl/SQL, Python

2000-2014(more than 10 projects)

Projects: Banking, Metallurgy, Heavy industry. ERP, Billing systems based on self-developed and third party Software
Position: Senior Software Engineer, Technical Lead
Tech details: Oracle Pl/SQL, Postgres PL/SQL
1. I see myself as AWS Python Data Engineer/Developer with Big Data specialization in future.

2. Project is a long-term. Project technical stack is a really huge; a lot of different AWS services are used.

3. Roles and responsibilities of each project member are clearly defined.

4. Office is located in Dnipro or full remote

5. Project road map exists and project follow this map. Project goals are understood for all team. Project goals are reachable."
data engineer,"experienced in Azure stack of data engineering technologies, such as Data Factory pipelines, data flows, data transformations using Databricks notebooks, data warehousing capabilities in Azure Synapse Analytics.
IT professional with 18 years of experience in various positions, including customer service, Cybersecurity, back-end development (.NET) and Data Engineering (Analytics). Currently holding 5 Azure certifications.
Слава Україні!
Opportunity to relocate to Europe and work with a multi-ethnic and energetic team, to learn new technology stacks and meet new challenges."
data engineer,"During my work in Deloitte I started with Azure Cloud Fundamentals and achieved to get Azure Administrator Associate and Data Engineer Associate certifications. These accomplishments is the evidence of my dedication to continuous professional development.
Over the past eight months, I have applied my theoretical knowledge into practical experience through an internship within Deloitte Consulting team in Germany in the Cloud Transformation department. We had a project in which the client possessed various data sources (SAP, SQL Server, Excel). We employed an ETL process utilizing the Data Vault 2.0 model on the Azure Cloud platform (including Data Lake, Data Factory, and SQL Database), followed by visualization in Power BI.
"
data engineer,"
Data Engineer experienced in developing, supporting, and optimizing data systems (OLTP, DW, BI, ETL) for different domains.

- Got multicultural working experience with clients (USA, EU, UK, Ukraine) and was a part of local and abroad development teams (out staff and outsource).
- Got solid experience in working with Microsoft-developed data products (Azure, MS SQL Server, SSIS, SSRS, Power BI) and Azure Databricks.
- Worked side-by-side with Business Analytics, Product Owners, Product Managers, and Delivery Managers with software development teams or as a separate and independent developer on delivering quality data products.
- Worked both in Waterfall and Agile methodologies.
- Worked in such domains as healthcare, agribusiness, cybersecurity, oil & gas, and others.
- Passed certifications 70-461, 70-462 needed for MCSA: SQL Server 2012/2014. 
- Passed certification for Databricks Certified Associate Developer for Apache Spark 3.0.
I'm looking for a nice, friendly, and healthy working environment. Teammates who you can call friends. And a company that values the great sacrifice of the AFU."
data engineer,"Worked closely with the client teams to analyze and clarify technical and business requirements. 
Leaded estimation activities reported and negotiated task completion terms with the client’s reps. 
Drove architecture definition for both application and cloud infrastructure and refinement processes.
Took part in quality management, testing with high code coverage (90+% for the application server with ~200 endpoints).
Was responsible for the development of application servers, event-based scripts, data pipelines, and cloud infrastructure.
Supervised new versions deployment.
Leadership, mentorship, knowledge sharing, researching.
More than 5 years of experience in designing, developing, testing, and maintaining cloud-based web services with a focus on software quality, i.e. application design patterns & approaches, cloud architecture patterns, refactoring techniques, different types of automated testing, ensuring performance and fault tolerance.

As a Backend Software Engineer:
The main domain is E-commerce. Main responsibilities: development of backend application and infrastructure. Main technologies used: Python, Tornado, MongoDB, Redis, Stripe, AWS, Docker.

As a Data Engineer:
The main domain is Corporate Systems. Main responsibilities: development of data pipelines and infrastructure. Main technologies used: Python, PySpark, SQL, Databricks, AWS.
I expect from offers great teamwork on an interesting project, where completed tasks lead to visible results. Clear career advancement opportunities, the opportunity to gain experience in leadership and hard skills will be highly appreciated."
