Category,Resume
data scientist,"- ASR system with WER (word error rate) ~34% in the wild (noisy data)
- TTS models for Kazakh and Russian languages
- Custom Voice Activity Detector written in PyTorch
I am an expert in Machine/Deep Learning and Speech Technologies (ASR, TTS, VAD, etc.) with more than 5 years of experience. I am working with conventional Machine Learning and Deep Learning on a daily basis.
I also have an experience in Computer Vision, Natural Language Processing, Machine Learning, and Statistical Analysis.
It would be nice to have a research side along with development."
data scientist,"
1. Green White Solutions: ML Engineer| 2022.02 ~
        I.SKU Object detection YOLO
2. Tidesquare: Data scientist | 2021.11 ~ 2022.10
        I. Spearheaded cutting-edge projects on deep learning-based recommendation, harnessing the power of data to deliver personalized and highly accurate recommendations.
        II. Implemented collaborative filtering techniques to enhance user experiences by providing relevant and targeted content.
        III. Leveraged listwise ranking algorithms to optimize content presentation and improve overall user engagement.
           
3. Autosemantics: Research Engineer | 2019.8 ~ 2021.11
        I. Pioneered advancements in computer vision, excelling in tasks such as object detection, keypoint detection, image segmentation, and image classification.
        II. Developed an expertise in NLP through successful implementations of entity recognition systems, contributing to the extraction of valuable information from unstructured text data.
        III. Leverage the power of reinforcement learning techniques, specifically DDPG and DQN, to optimize energy consumption, highlighting a dedication to sustainable practices.
        IV. Applied data-driven approaches to wind turbine data analysis, identifying patterns and insights to optimize performance.
        V. Demonstrated proficiency in web crawling using popular frameworks such as Selenium, Scrapy, Splash, and Beautifulsoup, facilitating data acquisition from online sources.
        VI. Showcased skills in creating intuitive UI applications using Builder C++ and PyQt5, delivering seamless user experiences.
        VII. Spearheaded Flask-based web development projects with a focus on efficient database management, ensuring robust and scalable solutions.
        VIII. Leveraged time series data analysis and prediction methods to extract valuable insights and inform strategic decision-making.
        IX. Developed an innovative Android application, Watereyes, for anomaly detection, combining mobile technology with cutting-edge algorithms to address real-world challenges.
"
data scientist,"I have Bachelor's degree in Artificial Intelligence and Master's degree in Data Science. I have 3 years of experience in AI, stay on top of new technologies and use them in production, pre-sales and researches. I also have an article on Defect Detection In Manufacturing With Unsupervised Learning.
PROFESSIONAL EXPERIENCE

• Deep Learning, Data Science, Computer Vision, NLP
• Models integrating and creating ML apps
• Communication with project stakeholders, demonstration of results
• Knowledge sharing, mentorship, tech leading, pre-sale activity


Project: Sentiment Analysis of Reviews
Role: AI Engineer
Description: Reviews come through data cleaning and formatting stages, then are processed with
models and algorithms to extract keywords, sentiments and opinions.
Applied technologies and skills: PyABSA, NLTK, SpaCy.

Project: Skin Features Detection
Role: AI Engineer
Description: User provides photo of the face. API returns visualization of detected skin features and
calculated scores.
Applied technologies and skills: OpenCV, MediaPipe, Segment Anything, Docker, AWS, Fast API.

Project: Body Measurements Application
Role: AI Engineer
Description: User provides photos and height as a reference. Circumference measurements are
predicted using linear measurements.
Applied technologies and skills: Scikit-learn, Regression models, MediaPipe.

Project: Virtual Wardrobe
Role: AI Engineer, Tech Lead
Description: User provides their photo and selects outfit for virtual dressing room. Application is
based on custom diffusion models.
Applied technologies and skills: Stable Diffusion, Streamlit, MediaPipe.

Project: Watermark Detection
Role: AI Engineer
Description: Application for detecting watermarks on images.
Applied technologies and skills: PyTorch, Docker, WandB, Streamlit.

Project: Hand-Written Diagram Recognition
Role: AI Engineer
Description: Application for recognition of hand-drawn content including diagrams.
Applied technologies and skills: PyTorch, Docker, Flask.
"
data scientist,"* Winner of Odessa Computer Vision Hackathon (2017).
* Former ^_^ speaker at JavaScript conferences as JS Frameworks Days, OdessaJS, KharkivJS and other technical events
Have 7+ years of experience in Software Engineering. 

Last year I have been working on Machine Learning related tasks and projects in Computer Vision and NLP fields.
Also tried to build own startup in the application of Reinforcement Learning to finance domain. 
Current technologies: mostly Python, Keras, Tensorflow stack.

Previous experience includes JavaScript, Java(Android) and C#.
Have experience of starting projects from scratch and leading teams.

I'm passionate about constant learning and self-education.
In one month I'm finishing Master's program in DataScience from UCU.
Looking for the interesting and ambitious project, and for the great team :)
Willing to combine my Software Engineering background with latest DataScience knowledge.

Interested mostly in Computer Vision domain, but also open for other opportunities. 

Salary expectations: 3800$+ after the trial period, 3000$+ on the trial period. 
Nice to have: options/bonuses/tokens depending on performance. Open for negotiations :)"
data scientist,"
Junior Programmer

Programming robots with RoboDK API, fron-end and back-end with Django, building network connetion with Modbus/OPC UA for a start-up creating software for remote control of CNC robots.
--
Data Scientist

Analysis of trains geo-position in a Polish railroad system with an aim of constructing an algorithm
for accidents identification in real time.
Routine tasks with documentation"
data scientist,"* Experience in software development since 2012
* I have been successfully working in various AI projects for more than 5 years, more than 3 of them as a freelancer
* Education MSc. Computer Science (AI and Robotics),
Freie Universität Berlin
Development of AI-based applications, e.g.:
* object recognition in video
* image segmentation
* sentiment analysis in speech
* email routing
* phishing detection
* answer proposals
* voice routing (AWS Lex)
...
* friendly and nice team
* interesting and exciting tasks
* long term partnership"
data scientist,"Educational Accomplishments:
- Graduated Summa Cum Laude with GPA 4.44/4.5 (rank 1/115 students)
- Class valedictorian
- Best Student award
- President award
- Top Academic Excellence Award
- Global Vision Scholarship (South Korea)
- Master's degree CGPA: 4.5/4.5
- Obtained Ph.D. in computer science and engineering

Professional Accomplishment:
- AI-Connect contest winner
- Winner of ML contest by National IT promotion agency (NIPA)
- ACM-ICPC winner

Work accomplishment:
- reduced CNN computational and memory cost by 21-30% 
- achieved 2.8x CNN training speed-up with 6-10x fewer parameters
- designed a new face liveness detection model to prevent spoof attacks
- optimized ML system pipeline to reduce each user request (1000+ per minute) under 400ms on CPU for iOS, Android, and web services
** AI researcher at DeltaX, Seoul, Korea
  •  Led team of engineers for the X-Cabin project (computer vision-based solution for in-cabin control system)
  •  Developed hand gesture recognition solution for a futuristic hologram-based car infotainment system.
  •  Developed left-item detection, seat-belt detection, driver monitoring system, and occupant monitoring system using in-cabin fisheye camera and deployed the solution to low-power embedded devices.

** Head ML Engineer at UZINFOCOM LLC
  •  Designed and trained DL-based liveness detection models to prevent face spoof attacks using Keras, PyTorch, Tensorflow, OpenCV
 •  Implemented a new face spoof artifact detection model and converted Keras and PyTorch models to ONNX runtime
 •  Designed system’s overall workflow and built a central data processing pipeline: face detection, blurriness detection, head pose estimation, artifact filter, occlusion detection, liveness detection, and face recognition
 •  Optimized vision backend pipeline to reduce each user request (1000+ per minute) under 400ms on CPU.

** Core ML Researcher at Intelligent Mobile Lab
 •  Researched and led various ML projects and provided end-to-end solutions by modeling, experimenting, designing, optimizing, and troubleshooting new and state-of-the-art methods; developed novel learning algorithms for CNN and DBN models
 •  Authored and co-authored prestigious SCI(E) journal publications
 •  Optimized large solutions and pruned large networks to improve inference time and memory costs and deployed them onto embedded devices with limited computational resources, e.g., Jetson Nano, AGX, Raspberry Pi (pruning, ONNX, ROS, TensorTR)

** Head AI Engineer at ITMED LLC - Ministry of Health of the Republic of Uzbekistan
 •  Developed DL models for breast cancer diagnosis and implemented the system for Radiology-Oncology PACS and RIS systems
 •  Built APIs and workflow to get DICOM data from SYNAPSE, then process, inference, and prepare diagnosis results for Radiologists

My technical skills: proficient in Python, Tensorflow, Keras, Pytorch, ONNX, OpenCV, ROS, GitLab, Linux; previously used C++, MATLAB

Soft skills: project management, teamwork, technical writing, task organization, meeting deadlines, problem solving
Friendly environment and a fantastic team"
data scientist,"•	Have realized project which has already saved ~1 mio EUR for our company;
•	Have implemented two cross-functional projects with classification and clustering methods of machine learning. As a result, it was possible to significantly improve the quality of SAP master data and reduce the load of specialists on ~ 1,6 FTE;
•	Have applied best practices from data science to implement 5 big cross-functional projects using time series regression, classification, clustering methods of machine learning. Also, using Python has significantly sped up the processing of data sets (over 2.5 million records) and improved the quality of statistical analyses, visualization and increased the efficiency of business decisions.
•	Have implemented and stabilized, FI Controlling SAP ERP, in a short time, successfully;
•	Have automated cost calculation reporting which allowed to reduce the load on 30%.
•	Leading budget process, monthly forecasts, and root cause analysis of deviations and proposals to be fixed. Supporting Purchasing & Supply Chain performance. Controlling budget of ~70 Mio EUR;
•	Own hiring, coaching, and developing expertise in a team of 2 managers;
•	Validation and co-lead efficiency projects portfolio ~ 5 Mio EUR. Lead internal process optimization with the vision to achieve greater added value to the business while engaging less effort;
•	Developing and implementation of BI systems (Power BI and MicroStrategy) from scratch. Define and measure KPIs and metrics;
•	Animating benchmarks discussions for General Management, establishing group reports.
•	Conducting presentation of results to Management. Cost analysis, generating process improvement requests and seeking new cost reduction opportunities;
•	Leading a team of financial analysts in order to deliver transparency and reliability in the company.
An experienced and self-motivated professional with a 7-year multinational experience in Management, Finance, FMCG, seeking to leverage my knowledge and skills as Data Scientist through new international experience."
data scientist,"Сover business aspects in different areas: procurement, sales, marketing, financial
Create reports by different tools
Development and support dashboards made by QlikView+ SQL
Development and implementation new logic and methodology  for company needs
SQL (MS SQL, Transact-SQL)
QlikView
MS Visio
Business Studio
Strong knowledge of Excel
Pre-intermediate level of English
Using Tableau, Python, R"
data scientist,"
I have worked for Elbit systems in 2020, in Azerbaijan. My duties were next: Quality Check of the product, IT Systems Administration, Finding failures in the system and applying solutions.
"
data scientist,"Research, development of a new organization from scratch, speeches at conferences, publications in the media, development of draft laws.
I have 7 years of experience in data analysis and model building in the public administration sector. However, I have no experience in IT.
I want to change the field of activity, gain new skills and go deeper into data analysis."
data scientist,"Have an experience of failed startup and consider this as an achievement 
Obtained a huge amount of experience and now understand how important it is to properly plan the project and formulate the requirements, identify the needs of the users and realize what exactly problem you solve. Form a shared vision of the final product across all stakeholders and minimize uncertainty.
- Full-cycle Data Science & AI project development 
- Data analysis and creating models for data-driven decisions 
- Computer Vision, Time Series Analysis
- Creation and integration of AI solution on the multi-platform (mobile, desktop, browser) 
- Development of systems for processing, collecting, and storage large amounts of data 
- Data Visualization (Tableau, MatPlotLib, Plotly)

	Was working on different projects providing outsource services to UK clients as a Lead Data Scientist. I was communicating with clients, eliciting requirements and defining goals and roadmap. Initiated and lead the preproduction and discovery phase, where we did a data audit, find restrictions and possibly oriented results. After coordination with stakeholders, we did research and development of the final predictive model.

Most of the time we worked as an independent product team developing products with our own investor. We have developed a trading system and AI algorithms for automatic trading on the world's largest trading exchanges. We have also created a system for real-time processing and collecting a large amount of trading data from over 20 different exchanges. 

We developed a lightweight system for real-time hand and fingertip tracking (gesture control system) which work on the web and mobile devices. 

Our team was not big, so despite the fact that my main specialization is machine learning, each of us was essentially a full-stack developer working as a Data Scientist, Data Engineer, DevOps, backend python developer, front-end developer (JavaScript, CSS, HTML) and QA so I gained an understanding of all the process and  wide technical stack needed for full-cycle project development
Inspired by the creation of high technology solutions, which bring value to users and resolve their problems.
Interested about What to do more than in How to do"
data scientist,"I have a solid understanding of data mining and analysis. Experienced in  Python & R programming, capable of writing complex SQL queries. 
Fond of solving complicated problems using EDA (Exploratory data analysis), predictive analytics. 
Knowledge and usage of machine learning / big data by solving real-world issues. 
During my project activities used BI tools to gain valuable insights from raw data, worked with a huge amount of log events and information. 
Analytical thinking and business communication, self-presentation skills. Able to write complicated SQL queries, 
I am a co-author of about 10 research papers about Big Data and Machine learning. 
I have participated in a few Kaggle competitions. 
Like statistics / probability theory. Make clear data processing and visualization. Ready to join interesting projects!
SQL, R (tidyverse, caret), Python (numpy, padnas, matplotlib, Scrapy), VB, HTML, Machine learning
Awaiting interesting projects and skills development."
data scientist,"
Participated in a number of Data Science projects: CV, NLP, Data Engineering, Recommender Systems.
Stack: Python, PyTorch, sktime, OpenCV (Cuda version), numpy
Tasks: small object detection (tracking), pose estimation, text recognition, text similarity, Deep Learning based RS
Leading position in Data Science in a company"
