Category,CV
devops,"As Architect/Lead Engineer - continuous integration for Openstack based project.

As Lead Engineer - high availability, monitoring and more for popular web project.

Many years ago - built internet provider service company from scratch
Linux, LAMP, Python, Ansible, Openstack

Infrastructure as a Code, build workflow from scratch to continuous delivery. Analyze, find bottleneck, improve and automate everything that possible.

No more magic - keep infrastructure simple and clear.
Veni, Vidi, Vici"
devops,"- Passed AWS SA Pro exam.
- Co-published book ""Coffee Break Pandas"" which is listed on Amazon.
OVERVIEW
I am cloud-trained professional with 5+ years of experience in engineering and strong practical knowledge of implementing cloud-native solutions on AWS. I also passed AWS SA Pro exam.

PROFESSIONAL EXPERIENCE
In my current position as AWS Solutions Consultant (1 yr 3 mos), I
• Transformed client requirements into technical functionality and collaborated with stakeholders to generate advantageous solutions.
• Audited running applications and created improvement strategies according to AWS Well-Architected Framework.
• Standardized multi-account and cross-regions workloads.
• Managed technical standards and operational processes in day to day delivery.
• Assisted project management with defining projects timeline and milestones.
• Organized and developed learning programs for other team members.

In my previous position as AWS Cloud Engineer(2yr 10mos), I
• Co-architected and worked on implementation of data lake.
• Prepared reusable and auditable infrastructure using IaC tools.
• Implemented effective CI/CD for data science teams.
• Tuned application quality attributes to comply with AWS Well-Architected.
• Evaluated trade-offs for proposed solutions by implementing PoCs/MVPs.
• Managed data migration to/from AWS cloud-native solutions.
• Containerized applications to be launched in Fargate and Lambda

In my previous position as Data Engineer(2yr 6mos), I
• Built data pipelines and maintained python source code.
• Implemented data ingestions routings using schedulers and events.
• Automated data reporting based on ElasticSearch/SQL queries.
• Built telemetry for applications health status and operational load.
• Addressed clients ad-hoc requests and inquires.
• Worked on-site for US-based client.

TECH STACK
Programming: Python, Bash, PowerShell
Network: VPC, API Gateway, CloudFront, Route 53
Security: WAF, Network Firewall, Inspector, GuardDuty
Compute: EC2, Lambda, ECS/Batch, EMR
Storage: S3, EFS, S3 File Gateway, Lake Formation
Databases: RDS, DynamoDB, Redshift, ElasticSearch, ElastiCache, Exasol, Snowflake
Integration: SQS, SNS, Kinesis, EventBridge, Airflow, Step Functions, Rundeck
Governance: Organizations, Control Tower, Config, CloudTrail, SSO, IAM
Dev Tools: AWS Code*, CloudFormation+CDK, System Manager, X-Ray, Terraform, Jenkins, Ansible, Grafana, Atlassian stack, ServiceNow
Analytics/ML: Athena, Glue, QuickSight, Tableau, SageMaker
I definitely do not want to work in a company where there is ""no time"" for implementing best practices and instead spending time for complicated workarounds, usually at the expense of efficiency or common sense. In general, I would like to work in a place where I can grow while delivering good results."
devops,"Programming С, study Python. At the moment, Python and
Now I study programming in courses where in large volumes we solve various problems. Most of the time we made code in C.
HTML5, CSS3.
– C 
– MinGW, SumLine text, GIT, GitHub
– Electrical Engineering Basics
- GlobalLogic courses – C/Embedded BaseCamp
- GlobalLogic courses – C/Embedded ProCamp
- SoftServe courses - AWS re/Start
I want to get practical experience and new knowledge and skills"
devops,"2x AWS Certified: 
- Solutions Architect Associate
- Developer Associate
4 years commercial experience: 2 as software developer and 2 years as DevOps Cloud Engineer.
Currently working in outstaff/outsource company for different kind of projects, mainly focused with AWS Cloud services.
Worked a lot with ECS, Lambdas, API Gateway, SNS, SQS, SES, RDS (MySQL/PostgreSQL), CloudFront, S3, Lightsail and Docker.
Have experience with Kubernetes, currently working on Certified Kubernetes Administrator (CKA) certification.

- OS: Linux, Windows Server.
- IaC tools: Terraform, Terragrunt, CloudFormation, SAM.
- CI/CD: Bitbucket Pipelines, TeamCity, Github Actions, AWS CodeStar.
- Programing Languages: Bash, PHP, Python (beginner), NodeJS (beginner).
Want to continue work with cloud/serverless architecture hosted on AWS (or migrate existing on-premises to cloud).

Don't want to work companies, that use time/click/screenshot tracking software."
devops,"Project must be related to AWS
Experience in creating and configuring cloud-based environments and services
Solving mission-critical problems in production or development environments
Providing technology, consulting to clients on their system architecture and infrastructure
Developing CI/CD processes
Automating routine activities
Collaborating with development team members to ensure the scalability, resilience, security, and availability of the software products
Experience with monitoring tools
Upper-intermediate English.

Tech skills:
AWS (Certified SysOps Administrator Associate)
IaC
Docker
Jenkins
Ansible
Basic scripting skills (python, bash)
ELK, Zabbix, Grafana
Network configuration, routing, VPN, etc.
Windows"
devops,"AWS Certified SysOps Administrator - Associate
AWS Certified DevOps Engineer - Professional
A System Engineer with 10+ years of experience including more than 3 years as a DevOps & certified AWS Engineer. Developed CI/CD, and infrastructure automation, and monitored and managed AWS-based environments. Most proud of CI/CD for multi productions project with IaC. Highly proficient in Python/Bash scripting, Docker, DBs administration, configuration management tools, monitoring, and logging tools
Proficient knowledge of Python and Bash scripting

 - Hands-on experience in database administration (AWS RDS,
Aurora MySQL)
 - Strong knowledge of AWS services (EC2, ECS, VPC, S3, Route
53, IAM, API Gateway, Lambda, WAF, Codebuild, StepFunction,
ALB, Cloudwatch, Opensearch, Cognito, SNS, SQS, etc.)
 - Understanding of networking (VPC, VPNs, routing)
 - Hands experience with Docker and basic knowledge of
Kubernetes (K8S)
 - Experience with CI/CD concept (CodePipeine, CodeBuild, Jenkins, Gitlab CI, StepFunction)
 - Strong knowledge of IaC Terraform and Ansible (basic knowledge of CloudFormation)
- Project management and ticketing systems (Redmine, glpi, Jira)
- Monitoring systems (Zabbix, Cloudwatch, Prometheus, Grafana)
- Logging systems (Opensearch, Elasticsearch, Graylog)
- Operating systems (Linux, Windows, Mac OS X)
- Experience with JavaScript, HTML/CSS, SASS, Node.js, Express
Cloud computing platforms - AWS. 
I won't work on 24x7 support."
devops,"- creation terraform/terragrunt dynamic code for microservices, cross acc deployment
- design and implementation of cloudwatch/fluentbit monitoring
- aws client vpn with sso authorization, cognito custom lambda messaging, kubernetes oids configuration etc
- AWS (IAM, VPC, SSO, Cloudwatch, Lambda, CloudFront, Beanstalk, EKS, Codebuild, Cognito)
- Terraform + terragrunt, AWS Cloudformation
- Linux (bash, ca, OpenVPN CE, HAProxy, nginx, Let's Encrypt, NFS)
- Docker, docker compose
- Gitlab CI, AWS Codepipeline, Jenkins
- Python (for AWS Lambda mostly)
- Kubernetes, little experience with helm, argocd
Laptop for work in case of blackout
No night shifts"
devops,"
- AWS (IAM, VPC, SSO, Cloudwatch, Lambda, RDS, CloudFront, Beanstalk, EKS, Codebuild, Cognito and other)
- Terraform + terragrunt, AWS Cloudformation
- Linux (bash, ca, OpenVPN CE, HAProxy, nginx, Let's Encrypt, NFS)
- Docker, docker compose
- Gitlab CI, AWS Codepipeline, Jenkins
- Python (for AWS Lambda mostly)
- Kubernetes, little experience with helm, argocd
"
devops,"Designed and implemented a fully automated CI/CD pipeline using AWS CodePipeline, AWS CodeBuild, and AWS CodeDeploy for a complex application, resulting in a significant reduction in deployment time and increased reliability.
Created infrastructure as code using Terraform and CloudFormation to automate the deployment and management of AWS resources, reducing manual intervention and improving the consistency of the infrastructure.
Implemented a self-healing infrastructure using AWS Lambda and AWS CloudWatch, which automatically detects and resolves issues, resulting in improved system availability and reduced downtime.
Developed and maintained a library of automated scripts using Python and Bash, which automated routine tasks, reducing the workload on the operations team and freeing up time for more critical tasks.
Optimized AWS resources usage and costs by implementing an AWS cost monitoring solution, which tracked usage and identified cost-saving opportunities, leading to a 30% reduction in monthly AWS costs.
Led the migration of on-premises infrastructure to AWS, which involved designing the architecture, implementing the migration plan, and automating the deployment process, resulting in a more reliable and scalable infrastructure.
Overall, as an AWS DevOps engineer with a passion for automation, my accomplishments demonstrate my ability to design, implement and maintain robust and scalable infrastructure using a combination of AWS services and automation tools. My focus on automation has led to increased efficiency, reliability, and cost savings for the organizations I have worked for, and I am always looking for new ways to improve and innovate.
Key Responsibilities:
Worked with cross-functional teams to design and implement infrastructure as code using Terraform, AWS, and Azure DevOps
Implemented and maintained CI/CD pipelines using Jenkins to automate application builds, testing, and deployment to multiple environments
Configured and managed Apache web servers on Linux-based environments to ensure maximum uptime and reliability
Wrote Bash scripts to automate routine tasks and improve the overall efficiency of the team
Managed and maintained cloud-based infrastructure on AWS and Azure, ensuring optimal performance and cost-efficiency
Implemented containerization using Docker and Kubernetes to improve the scalability and reliability of applications
Worked with development teams to troubleshoot and resolve application and infrastructure issues
Documented infrastructure and application architecture and maintained up-to-date technical documentation
Provided support and mentoring to junior team members
Key Achievements:
Successfully implemented Kubernetes for a new microservices-based application, resulting in improved scalability and resiliency
Reduced infrastructure costs by 20% by optimizing cloud resources and implementing cost-saving measures
Improved application deployment time by 50% by implementing a fully automated CI/CD pipeline using Jenkins
Conducted training sessions on Docker and Kubernetes to improve team members' skills and knowledge
Overall, as a DevOps engineer with a passion for automation, I am constantly seeking new ways to improve processes and infrastructure to enhance the efficiency and reliability of systems. I am eager to work with containerization tools like Docker and Kubernetes to build scalable and resilient systems that can handle high volumes of traffic and maintain optimal performance.
"
devops,"
I am a DevOps Engineer with about 2 years of experience in AWS, with solid hands-on experience with services EKS, VPC, IAM, SES, SNS etc. My passion is to create and improve cloud-native solutions. 
I have experience in CircleCI and GitHub, oriented CI/CD tools like GitHub actions to automate builds and deployments. Also, previously I have been working with IaaC tools like CloudFormation or Terraform to automate infrastructure. 
I can maintain Kubernetes clusters and deployments, create clusters from scratch, update versions, Helm templates etc. 
I'm not afraid to take responsibility and see things through to the end. I feel good in a team and understand the importance of well-coordinated work. I am ready to learn new things diligently and quickly in order to help my team in the way that I can.
"
