Category,Resume
full stack,"Certifications:
Adobe Certified Expert-Adobe Commerce Front-End Developer
Adobe Certified Expert-Adobe Commerce JavaScript Developer

Having a 6-year experience in Magento development, I faced many interesting and challenging projects during that time. I would like to share some of them with you:

Subscription (Recurring Payments) Module Development. 
Created interactive wizard-like recurring configuration for product page (admin), including complex configuration of configurable products with customizable inheritance.
Created custom Ui-component for  all product type pages for subscription process.
Using UI-components, created a recurring checkout flow in admin.
Made compatibility customizations for 3rd-party payment modules to support recurring payments (Braintree, Stripe, Authorize.NET, PayflowPro, CyberSource) in both frontend and admin checkout
Created grids, forms, etc. for management of related recurring entities.
Created components for subscription profile management in customer account.
Transactional emails
Lots of customizations made to native Magento flow in minicart, cart, checkout, frontend product widgets, Category pages, etc.

Shipping Module Development
All-in-one app (aggregator API) for managing shipping methods, rates and delivery dates for different platforms.
My job was to develop and maintain Magento part (module)
Created checkout shipping widget to support API capabilities. Those included multi-origin shipments, delivery date/time slots
Created product page delivery cost estimation widget using Google places API for address lookup.
Made compatibility fixes for custom checkouts, such as OneStepCheckout, BSS_Checkout, Amasty_Checkout.
Transaction Email extension with module data

Payment Module Development
Frontend logic for Stripe and Authorize.NET integrations

Contributions to Magento Open Source code
Worked on some issues, my fix commit was merged to v2.3.5

Client projects (>10)
That kind of projects mostly include theme development according to designer prototypes and customizations to fulfill client business processes. Notable challenges:
Made a migration of «Bluefoot» builder content to new PageBuilder. Created new PageBuilder Content types to migrate all content correctly.
Created custom «builder» ui component to make complex product selection flow easier.
Babenko eCommerce — Full-Stack Magento Developer
September 2017 — current

#AdIndex — Web Developer (Opencart and Wordpress projects)
March 2015 — September 2017

Prior experience is irrelevant to web-development
Marketing & Product Management in non-it companies
2002 — 2015

My Magento Skills:
Theme development/customization
Module development
Following Magento coding standard
Checkout customization (payment, shipping etc.)
Layout manipulation
Theme & Email templates, styles
KnockoutJs-driven UI components (grids, forms, data providers, PHP modifiers etc.)
Frontend widgets
Template customization using ViewModels
Customizing/extending JS with mixins
Serving private customer data with customerData layer
Dependency Injection with plugins/preferences/virtual classes
Event observers
Extension attributes
Declarative Schema, Data & Schema patches
Magento Cloud
Linux server deployment
Amazon AWS services
New Opportunities I look for:
I'm convinced headless storefront is the future standard for ecommerce. So, I'm willing to take part in Magento projects which would include PWA Studio storefront development or alike (React-based) in a team of developers with relevant experience. My goal is further knowledge improvement in headless storefronts for Magento."
full stack,"
I am a professional SW developer with about 15 years of experience in a wide range of technologies.
JS/frontend is my main focus in recent years.
I have excellent experience with Angular, also familiar with React and ecosystem.
I love to act as fullstack (have experience with Node, Golang, .NET, infrastructure, API design, DBs).
I am familiar with modern SW development practices/principles (BDD/TDD, CI/CD, SCRUM, etc.).
I love tech, spend a lot of time learning new things, follow latest community practices and always try to stay on
the bleeding edge.
My main principles are: proactivity, result and problem-solving orientation, responsibility and ownership,
discipline, transparency.
I am able to mentor and lead, have good communication skills, always try to build friendly non-toxic team
relationships.
I have worked on multiple projects in various companies - from tiny startups to huge enterprise projects in big
distributed teams.
"
full stack,"I've been made two projects from scratch to market as System Architect/CTO.
- I know how to save your money in the development process.
- I love my teammates like my children and know how to mentor them in remote work.
- I'm studying to be better and never stop studying. The startups are the best for that. I've been worked in 14th startups from middle developer to CTO for the last 10 years.
- I love good and wise people and can't work with toxic ones.


- Node JS Developer (OOP, Express Js, koa, ActionHero JS, LoopBack JS, highland.js bluebird js, cluster, Mongo DB(gridFS), Redis, Vertica db, Cassandra DB, Clickhouse,  Mysql, Postgresql, Jade,  JSONRpc, REST, WebSocket, canvas, npm/yarn, bower, gulp, webpack, mocha,  less, stylus, AWS API, async/await, es6+ ), solidity smart contract, web3js, ganache, truffle, ERC20
- Microservice architecture, RabbitMQ
- Clean architecture, DDD, EventSourcing
- Neural Network (brain.js)
- ORMs: Mongoose Js, Waterline, Sequelize, Jagger(Strongloop), Knex
- graphql: Hasura
- Node WebKit, JXCore, electron, nativescript
- Web-crawlers, Parsers.
- JavaScript (Material Design, VueJS, Vuex, Nuxt)

DevOps Skills
- OS: Centos, Debian, Ubuntu, Mint, FreeBSD
- clouds: Amazon, Azure, Digital Ocean, Heroku
- web servers: Apache, Nginx, lighttpd
- Other tools:  Pentaho, Jenkins,  Ansible, gitlab, docker, k8s, elk
- Other languages(in background): JAVA, Python, Go, Swift, Rust, Masm, Perl(PHP), C++, glsl, hlsl
I'm looking for a good team with an exciting project."
full stack,"Worked with some popular UK/ Europe companies. Helped to create a successful Germany startup from the scratch. 

Open source projects (github / npm), Medium articles, certificates (Microsoft / Scrum / Coursera / Udemy / Zend)...
I am an information technology professional with 17+ years experience and I'm looking for Architect or Team / Tech Lead  Full-Stack position. 

Deep knowledge in frontend (React / Redux / Rx / SSR / TypeScript) / backend (Node.js, REST / GraphQL API) / AWS (Serverless Application Model: Lambda, Fargate..., Infrastructure as a service using AWS CDK / Serverless.js) / databases (SQL: MySQL, Postgres / NoSQL: Redis, DynamoDB, MongoDB...) / Docker / CI/CD / 3S (security, stability, scalability)... 

Great experience of starting new projects and creating new teams. 

Strong sense of great UI/UX.

Managing AWS infrastructure.

Machine learning.

Practical knowledge of classic and agile software development methodologies (Scrum/Kanban).

Strong knowledge in software engineering approaches, design patterns and enterprise architecture. Rich background in enterprise-wide application development, web development.

Effective leadership in many projects, mentor and consultant for less experienced colleagues. Deep interest in process improvement, lean manufacture.

More details are in private conversation, I'll provide detailed CV with projects accomplished + LinkedIn link.
I'm looking for a company to create a team and infrastructure from scratch or help existing team to improve better quality, speed, performance... using best tools and practices like Machine Learning, AWS, Serverless / CDK, Docker, Node.js on backend and React / Redux / Rx / TypeScript on frontend."
full stack,"Using just a napkin drawing as a plan, I built an MVP in a weekend. This MVP allowed to attract investors, what led to actually founding a viable company. This happened a few times, so I know the secret sauce.

Created an in-house framework for dealing with multiple travel agencies and payment gateways. This helped business to make more deals with data providers as well as making partnerships with payment companies.

Led a team of senior developers in a human health startup. Was involved in all stages of design and development. ⁣
⁣
Designed and implemented Elm layer on the frontend to reduce amount of runtime exceptions in JavaScript. The goal was achieved and the amount of such exceptions went down by 87%.⁣

Developed in-house testing framework with DSL. This allowed business analysts to write business requirements in a form of a functional test.
⁣
Designed event-based system that could revert database state to some point, apply changes and roll everything back.⁣
⁣
Led frontend development on-site from scratch for the core Novartis business systems for ~50k users in 190+ countries.⁣
⁣
By extending my responsibilities to cover visual and UX design of the product, saved a client from hiring a separate designer.⁣
⁣
Participated in business development meetings as an IT expert to analyze software offers and verify that they are truly needed.⁣
⁣
Managed to standardize codebase by making frequent code reviews and pushing the priority of having a clean codebase, what led to fewer hours spent on bug fixes, faster new hire onboarding.⁣
⁣
Was responsible for filling up the front-end development team in several projects. Interviewed overall 25 candidates.⁣
⁣
Co-authored in-house JavaScript framework to develop fast and high-quality UI for set-top boxes.
I have 10+ years of software development experience in various fields: from entertainment to pharma, from corporations to startups. 

I developed myself as a Swiss army knife. Generalist with a strong sense of the product design and understanding what needs to be built.

Co-founded a Swiss-based fintech startup to make donations and banking easy for streamers, bloggers and anyone with creative thinking. I built the core of the product using React, Next.js, Node.js and Postgres on top of Google Cloud platform, with websockets and external integrations. After the company expansion, I led a small team of senior developers, while continuing hands-on development as well as working on the product design and customer analysis.

Grew from lead engineer to CTO in a Swiss-based travel startup. I joined a company during the expansion as a Fullstack (React Native + Node.js) developer and quickly became a driver for all things technology, including product decisions. My product obsession helped the company to evolve and grow.

Co-founded Cureous, Swiss-based clinical research startup, built scalable mobile and web clients using React, React Native and Elm. Developed some core parts on the backend using Go. Led a small team of senior engineers.

I enjoy building and working with teams, mentoring people, balancing their load and enabling each member's growth based on the company's needs.

I contribute to open source projects on GitHub, participated in 20 hackathons around the world, tutorials I made were watched over 1 million times.
Looking for young companies/products with budget, with zero to none bureaucracy and strong team motivation to build the best product.

I value trust and autonomy. No meaningless meetings for the sake of having a meeting. No fixed working hours. I work to provide the best result possible within a guaranteed time period, not to be in front of the screen for a fixed amount of time.

If you know why you do what you do, then we can be the best match you ever had."
full stack,"
I don't have any formal work experience, I've had the opportunity to work with Laravel through a personal project I started as a student. This project allowed me to explore and apply various concepts such as:  MVC Architecture, Routing and Controllers, Blade Templating Engine, Database Migrations and Seeders and helped me to create functional and dynamic applications.
Although my experience is limited to personal projects, I am enthusiastic about further expanding my knowledge and skills in development. I am eager to take on more complex projects and collaborate with experienced professionals to gain a deeper understanding of best practices and advanced techniques in the field."
full stack,"
I have two years plus of work experience, I mainly use the MERN stack and Jamstack sometimes. I have built ecommerce websites for different clients all specifically tailored to the desires and requirements of the client. I do give advise on the best ways to achieving what the client wants. Its been wonderful.
"
full stack,"Wide range in development from scratch. Transforming old code base to new stack/concept. Ability to work both independatly and in a team. 
Implementing some really complex innovative solutions for real time video processing with JS in browser, and ability to learn fast, proved with few tasks last year.
Have experience in bulding translators (code translators, not language ones:))
Fullstack/Backend developer with 4.5 years wide experience in different domain areas (engineering IoT, AI video processing, manufacturing, CRM).  Experienced in building products from scratch in RnD environments, start up, have both independent and team working experience.
Have experience in team management. 
Worked with both monolithic and microservice environments. 
Have experience in migrating monolith to microservices architecture

2022-2017
1 year as Java Developer. Core, Spring, Hibernate and other technologies

1 year as RnD Full stack developer (2 months as a Team Lead) with lots of side tasks for infrastructure and other products (NodeJS Express, Typescript, Angular, JavaFx, Go - mainly for AWS infrastructure support tools like proxies, gRPC, C++ - mostly bug fixing, Postgres, SQLite, FE Javascript vanilla for realtime video processing, Emscripten, Web workers)

1.5 Years as as RnD Full stack developer using Electron, Anuglar, mxGraph for FE, snd Java Spring Boot for BE side(Also 2 component Desktop IDE application), PLCs programming

1.5 years as Delphi developer. Mainly desktop graphic IDE project, with some ammount of C code for microprocessor devices, JS, HTML, CSS, PLCs programming
Mainly product, but not limited. Not legacy projects, where 80% of time is spent for investigation, support, bug fixing, building cratches."
full stack,"I have some achievements in study development:
- Creating complex relations in backend for SQL databases
- Creating responsive Web site according layout
- Managing development team and instantly code fixing
- Providing a full registration and login package with back-end
Commercial Projects:
- ERP-ba3a (Node.js, Express, MySQL) - ERP web system for management orders and production (in work)

Personal Project:
- PhoneBook (React, Redux, Rest API) - Web application for managing your personal phone contacts (incl. registration)

Team Projects:
- Filmoteka (HTML/CSS, JavaScript, Rest API) - Web application for searching movies for further watching
Role: Team-lead

- Ice cream shop (HTML/CSS, JavaScript) - Online shop for choosing and ordering cold deserts.
Role: Developer - Slider section with ""Reviews""
Looking for a full time job at IT company for confident self growing and sharing my existing knowledge and experience for business goals' achievement."
full stack,"
Askme - my personal project dedicated to provide a place for sharing a knowledge and discussing problems related to software engineering. Users are allowed to register, edit their profiles, ask questions and respond to them. Website API is written using Express and Node.js. User authentication/authorization is implemented with JSON Web Tokens and secure cookies.

Technology stack: PERN
ORM Library: Sequelize
OS: Linux (Alpine)
Services: Google Cloud Storage
Hosting Provider: Railway
Other: JWT (for user authentication/authorization)
"
