Category,Resume
sales manager,"
Level of English: Pre-Intermediate
Education: Master’s Degree of Appearance and Audit (2014)

Work skills:

1. Work in Microsoft Dynamics NAV (Navision);
2. Closed and open periods adjustments (by price, weight, change of legal entity);
3. Create and restore orders;
4. Processing and control of the correct preparation of primary documentation (Archive Formation);
5. Registration of reports;
6. Search for documents in the archive;
7. Work with corporate mail;
8. Registration and handover of work results, formation of the pivot table at the end of the working day;
9. Preparation of contracts (work agreement, rent), estimates;
10. Invoicing;
11. Formation of invoices, acts of work performed, acts of acceptance of completed contract work, certificates of the cost of construction works and expenses;
12. Formation of consignment notes (TORG-12), universal transfer documents;
13. Formation of debtors and creditors summary tables (tracking the amount of debt or overpayment, report transfer to the chief accountant, control of the presence of these documents in the archive);
14. Life support office;
15. Receive and send mail.

Software skills:

- Microsoft Dynamics NAV (Navision);
- Microsoft Word/Excel/PowerPoint;
- Google Docs/Sheets/Slides;
- E-mail.

Personal skills:

- Sociable
- Responsible
- Diligent
- Punctual
- Stress resistant
- Fast learner
- Tidy
- Purposeful
- Industrious
- Without bad habbits
"
sales manager,"
5+ years in B2B IT sales (outstaffing/outsourcing) concentrating on closing deals & revenue growth of onboarded clients.

- Leading my 5 BDRs team
- Executing introductory conversations /meetings
- Qualifying potential clients
- Developing long-term relationships with my potential and current clients
- Working with the delivery team and top management team — orchestrate the pre-sales process 
- Drafting of business proposals, sales presentations, RFI/RFP, contracts 
- Contracts (MSA, SOW, NDA) negotiations
- Working with the delivery team and top management team — orchestrate the account management process (monitor, customer satisfaction, team performance review, QBRs, upsell, cross-sell, increase pricing, resolve conflicts, sign new SOW, etc)
- Keeping clear CRM records 
- Providing weekly/monthly reporting to the Management
- And as the result — win deals/sign contracts / bring revenue
"
sales manager,"
As a sales professional, I have a proven track record of achieving and exceeding sales targets. I am skilled in building and maintaining strong relationships with clients. Previously, I have mostly been working in B2B sector with small & medium-sized enterprises. I am passionate about delivering game-changing products & services that bring customers a real value.

With my extensive experience in sales and management, I am confident that I can contribute to your team's success.
"
sales manager,"I am proud of the fact that once my team and I won the Hackathon from Microsoft Students Partners Azure technologies. We were the only ones, in the Azure for Business Category who ended up with their idea on the final presentation.
Key domains I'm experienced in: eCommerce (custom development for web shops, marketplaces), Blockchain/Crypto (NFT, Web3, CEX, eWallets, DeFi), Travel, Fintech, SaaS/PaaS. 

Solid experience in building sales pipeline and ability to drive small teams. Have proven track record of successfully closed deals on various markets in IT industry. Besides high-level involvement in sales processes, I'm improving my tech background as well. 

Participating in all pre-sales activities (including estimation) helps me to understand processes much better and provide YOUR clients with better experiences. 

Currently, besides lead generation & closing, I successfully perform account management activities that leads to increasing deals to x1.5-x2 from initial scope. 

Let's chat to see if we could be a good teammates
I would love to work with a motivated, friendly, fast-paced team who are real pros and know their stuff. It’s a well-known fact, that if the salesperson doesn’t like what he is selling then the business is doomed. So it is really important for me to find the right people to work with, and then from my side, I will perform at my best to ensure growth and progress.  

Frankly, I don't like to perform lead generation activities and believe that this process MUST be covered by separate person.
If you're looking for a jack of all trades - sorry, but better keep scrolling through other candidacies' profiles. 

AND PLEASE, if you have ru/belarus clients or workers - DON'T MESSAGE ME."
sales manager,"- Hitting personal sales targets
- Creating long-term relations with customers
- winning opportunities of up to $50k
- Full-cycle sales
In my present role, my primary responsibility is to process inbound requests for a range of enterprise-grade storage products, including hardware and software, in order to subsequently convert them into sales. I have successfully managed infrastructure upgrade projects, which involved replacing and repurposing the aging server equipment to meet the customer's business objectives.

I have a high attention to details and accuracy, strong investigation skills, strong organization and prioritization. I am a continuous learner. I am always looking to improve and gain new skills and knowledge. 

What I do:
• Process inbound quote and live demo requests by establishing first contact with our clients, learning their requirements and informing them about the product's features while also addressing any initial questions. 
• Arrange and organize virtual meetings in Teams, GoTo and Zoom.
• Manage an annual software and hardware maintenance renewals pipeline for our clients. 
• Prepare quotes for new software and hardware opportunities, renewals, and upgrades and work closely with our distributor's sales team and resellers to ensure the quotes reach our customers on time. 
• Facilitate communication between the end customer and our pre-sales engineering team to meet their complex infrastructure requirements using Salesforce and Zendesk ticketing system. 
• Request and review server BOMs and hardware warranty buy quotes from OEMs to resell as a part of our solution or support contract. 
• Chase up on the quotes with our channel partner, resellers and end customers to spur along project completion and secure PO's.
• Liaise with our purchasing team to invoice and fulfill orders in a timely manner. 
• Log all information into Salesforce and maintain accurate records.
• Use Salesforce to generate reports and track my team's revenue targets. 

In summary, my daily activities include managing relationships with our existing clients and channel partners. I reach out to our customers over the phone and Email, arrange video calls/presentations.
- official employment in Poland
- social benefits package 
- sales and product training

- Not interested in outbound lead generation"
sales manager,"- Average quota attainment 130%;
- 191% sales revenue growth compared to the previous year;
- Account Management for 10+ companies;
- Developing personalized B2B messages for an outbound outreach;
- Working with inbound trial/demo request prospects; 
- Cold calls/ rapid inbound calls;
- Conducting discovery meetings with target accounts; 
- Presenting B2C services to clients;
- Discovery meetings with prospects;
- Cooperation with different stakeholders, including the Product team, Account Executives, persona owners, partners, consultants;
- Experience with banking, retail, manufacturing; insurance; healthcare, Telco industries.
"
sales manager,"1. Launched and developed 10+ new Epson products from zero level in my region.
2. Customer and partners base grown from 70 to over 500 companies.
3. Around 10 successful large corporate projects (over 5 mln UAH) per year
4. 20-35% revenue growth per year
5. Mentorship for 10 representatives in my region
A cross-functional sales professional equipped with a strong skillset of sales development and account management. 
Gained experience in B2B and B2C sales in an international company;
For the last 10 years I have been working as Key Account Manager in Epson Europe B.V. rep. office.
Now I’m finishing MBA (in July 2020) - International Institute of Busienss with the best result in the group.
Have interest in business development and IT equipment sales. 
Ready to lead sales department or representative office.
I am currently looking for a challenging job with wide growth opportunities - both vertical&horizontal. Key criterias: 
- interesting projects; 
- flexible working hours; 
- active and friendly team.
Medium and large companies selling IT products, services and equipment for B2B and B2C are interesting"
sales manager,"
A result-oriented person used to multi-tasks. The usual thing for
me is to talk with 20-25 partners per day including routine daily
communication as well as new cooperations discussions.
Have a big experience to determine customers' needs and to offer the best solution to meet their expectations.
Able to optimize work to effectively support partners from different time zones considering different business cultures.
Always learn new marketing trends to be prepared for all changes and challenges.
• B2b leads generation using Linkedin, Facebook, digital marketing forums and affiliate marketing services
• Managing existing affiliate partners demand
• Traffic performance evaluation and optimization based on
KPI`s
• Using numerous self-served marketing platforms to promote
partners` mobile applications.
• Dealing with invoices, reports, and payments
• Preparing an insertion order for publishers. Negotiations with
partners regarding terms and conditions.
• Finding compromises in case of disputes and troubles with partners.
I`m looking for the opportunity to grow with the company and want to be a part of this growth, finding new clients for the company and providing them with high-level support."
sales manager,"I have a huge experience in Huawei in B2B business development (product/account manager role). It brings me an understanding of how to work with big enterprise clients.
I have experience in long-term negotiations (9-10 months for 1 deal enterprise level) and the result was successful. 
Have experience in team management (10-15 people) in tender activities. 
For more details, you can directly contact me.
WORK EXPERIENCE:
Account Manager (SaaS Sales Dept.)	
S-PRO, Kyiv
03.2022 - present time
Responsibilities: To build a long-term relationship with existing clients, business development; Problem-solving related to the project and client satisfaction; Providing services to the company and following the terms of signed contracts; Presence in external and internal workshops; Budget control; Commercial and contractual negotiations; Invoicing, collection; Control and accounting of the follow-ups from the team; 

Account Sales Manager (Business Development Dept.)
MakeBeCool, Kyiv
03.2021-08.2021
Responsibilities: Achieving the sales goal; Project scope, commercial, contractual negotiations with customers; Building and maintaining relationships with customers; Preparation of TT for the delivery team.

Founder
RizdvoMarket, Kyiv
11.2020-present time
Responsibilities: Control and organize the delivery of products to the customer, product promotion, site preparation (SEO). Negotiate with wholesale importers to get the best terms for price and storage.

Product Manager/Account Manager (Service Solution Rep.) 
Huawei Ukraine, Kyiv
06.2018-11.2020
Responsibilities: Authorized Person for Service Solution Portfolio; Daily work with documents flow (contract, orders); To build a relationship with the customer; To present solutions to the customer; Problem-solving in projects related to the services; To finding new sales opportunities; To negotiate with the customer; Strategy development for new sales, tenders; To work with a team in the projects;
First of all, the product should be interesting. It will help me to make better performance and to get the satisfaction from your job.
Also would be great if ""teammates"" are young and pro-active people with an interesting experience. It is a big plus when you can share your experience with colleagues and gain back their experience.
Responsibilities should be not monotonous operational work, I want to use my brain and generate new ideas for the company and business development in general."
sales manager,"
•	Sales management. Account Management. 
•	Negotiations at various levels 
•	Work with data (budget, targeting, analysis, developing measures to increase sales, pricing) Excel, Google.docs
•	Development and introduction marketing programs. Organization and provide of various type of events (from 3 till 250 person)
•	People management (Interview, onboarding, assessment, appraisal, performance overview, KPI, coaching, trainings, Feedback session, 1-2-1, surveys etc)
"
sales manager,"Key achievements: 
1) I have grown up form beginner in sales to mid-level manager (5 positions) within 3 years in the USA company.
2) I have grown up form assistant project manager to account manager in charge of the cooperation with a key client (a global FMCG company) within 2 years. 
3) I have reestablished a cooperation with a global FMCG company in 2020 after a several years of no-business (around $600k is sales that year).     
4) I have achieved and existed 2022 sales target by 30% (around $10M) despite all challenges in Ukraine.
I am an energetic account manager, experienced in both B2B and B2C sales. Passionate to switch to IT industry.

I currently work as Key Account Manager at the large manufacturing company. My client is a global FMCG company. My role is to establish and develop long lasting relationships with the markets worldwide (includes EU, Middle East, Africa, America's).
I have the experience of managing a large-scale manufacturing projects (full cycle - from the development to delivery).  

I have also worked in B2C segment in the USA. Face to face sales, starting from establishing the contact and resulting in closing high ticket sales ($10k+). The company was a part of LVMH group, it provided outstanding opportunities for personal development (sales trainings, management trainings, carrier growth), which I have used to the fullest.

I am able to build a long lasting personal relationships with the clients (B2B is P2P). I have a strong commination skills with both external and internal stakeholders.
I will add the most value at the large-scale projects.
I would prefer the company with carrier growth opportunities. 
I am a friendly person, so it would be great if there is a warm atmosphere in the team."
sales manager,"During working as a TV buyer and a Media Planner, made new Excel templates and VBA-macros for both individual and team needs. It helped to optimize time for doing routine tasks. Also, as a Media Planner received the Company Award “Efficiency and support of the Sales team” for providing better solutions and getting the best conversion rate in the Planning department in 2016. 

As an Account Manager, became a recipient of Star Award in the nomination “Client service star” in 2018.
I’ve got 8 years of experience working in TV Advertising Agencies, among them 5 years as an Account manager. Was responsible for:
•	preparing proposals and negotiation;
•	communication with clients;
•	coordination of documents approval and signing;
•	preparing regular reports;
•	planning and organization teamwork;
•	monitoring and control of implementation of clients’ requests;
•	solving arisen issues;
•	presentation finals results.

Have been working with the biggest Ukrainian Advertisers and foreign companies. Acted as a troubleshooter for clients with any issues. 

Advanced user of Excel, search instruments, and can easily learn a new software. Also, I have experience working with CRM and task trackers.

I have good analytical and communication skills, also I’m a good organizer, team player and oriented on a result.

I was always passionate about Hi-Tech products and companies, so I’d like to get a job connected with clients’ service and sales in an IT service company.
"
sales manager,"1. Created a sales department from scratch in a digital agency and managed it successfully.
2. Opened and launched a fitness studio from scratch (starting from technical points to staff selection)
• The full sales cycle for B2B and B2C clients (services such as targeted
advertising, Instagram profile promotion, contextual advertising)
• Recruited, trained, and managed a team of sales managers.
• Management of a Sales team with business goals and in a business
growth environment:
-Implementation of KPIs -Implementation of financial plans
- Forecast for improvement of indicators
• Development of the mechanics of attracting clients to the agency, thinking of new tools for expanding the agency's services, the company's ideology, values, and plans.
• Direct and electronic communication with the customer at all stages of the project, resolution of disputed issues, and continuation of projects.
• Experience in working in CRM systems, Trello, notion, slack etc.
1. A useful IT product for the market
2. Decent pay
3. The opportunity to offer your ideas in the project
4. Loyal working conditions (flexible schedule, additional training courses, еtс)"
sales manager,"I am an eager learner and a very open-minded and easy-going person. I am always interested in learning new things for new projects and industries. The first thing that comes to my mind in terms of achievements is my previous volunteering experience for the international organization AIESEC.  Also, my passion for travelling and attending conferences like Web Summit (attended in 2019 and 2021) even though I am not sure I'd call it a great achievement :)
In my role as a BDM, my main responsibility is to close
deals with prospects in the EU and USA. I mostly work
with pre-qualified leads, but actively take part in lead
generation and pre-sales processes.
My responsibilities include but aren't limited to
conducting meetings and presentations, negotiating
deals and contracts, working with legal documents,
writing & editing sequences for automated LeadGen
(emails and LinkedIn), preparing templates of ""selling""
messages for the team to use, new team members
onboarding and training.
As an Account manager, I am responsible for building
relationships with existing clients that result in
continuous and successful collaboration, including
upsell, cross-sell, troubleshooting, NPS data collection
and analysis, Project Health Check conduction and
analysis, contract renewal, payment calendar tracking,
etc.
I am not interested in job opportunities that have Lead generation on Upwork or other freelance platforms, cold calls in the scope of work."
sales manager,"
Work Experience  
2018-2022
MAXPAY
Account Manager 
 - Closely communication with company departments 
(Finance, Legal, Pruduct, Project, Risk, Sales) 
 - Introduction and welcoming for new clients on our product 
 - Identifying clients needs and making valuable offers 
 - Preparing recommendations for product improvement in 
response to client feedback

2012 - 2018
Travel agencies
Tourism Manager
 - Planning travel accommodations, booking flights, 
hotels, car rentals, and coordinating activities. 
 - Managing and processing all travel-related 
documentation, including payments, itineraries, visas, 
medical, and legal forms.
 - Assisting with any travel-related issues that may arise. 
 - Researching travel deals and evaluating prices and 
services.
 - Arranging travel accommodations for business 
visitors.
 - Creating, optimizing and monitoring corporate travel 
policies.
"
sales manager,"
Experienced Account Manager with a demonstrated history of working in the information technology and services industry. Skilled in Teamwork, Customer Relationship Management (CRM), Business Strategy, Project Management, Sales Management, and Financial Analysis. Strong sales professional with a Master's degree on International Economics and Finance
"
