Category,CV
sql,"Implementation of fully automated motivation system
Sales, purchase and distribution forecasts auto calculation systems development
DB development for personal training and recruitment
Marketing campaigns auto processing implementation
I am a certified SQL development specialist with reliable technical and analytical skills to write relational database solutions for business. I've developed and maintained a large scale of solutions from Data Warehouses to 24/7 high loaded high available DB. I also have experience in banking, accounting, logistics and transportation.
Projects where I can apply and improve my skills in DB architecture, SQL development and SQL Server tuning."
sql,"
Good knowledge of Oracle Business Intelligence, Oracle SQL, Qlik Sense
Practical experience of business and test analyst.
5+ years experience of the banking subject area.
"
sql,"Experience in business intelligence. Oracle BI.
Designing of data models. Development of data loading procedures. Supporting the implementation of analytical solutions, monitoring and optimization queries and data downloads.
Сreation of analytical reports, dashboards, printed forms
Working with databases: Oracle 10/11g/12c (sql, pl/sql); MSSQL (t-sql); PostgreSQL.
Areon Consulting. 
Aug 2017 – today
Oracle BI developer.
Development and implementation of dashboards and analyzes, based on the Oracle Siebel CRM database.

Participation in the projects:
-Banking sector.
Development of dashboards of the effectiveness of marketing campaigns, sales funnels.
Preparing data, writing procedures for aggregating data. Development data models for analytics. 
Oracle BI 11.

-Industrial - technical company.
Development of dashboards, analyzes, reports and other tasks on demand.
Oracle BI 12.Oracle BI Publisher

-Government sector.
Business analyst. Description of business processes at the stage of pre-sales. Description of the business requirements for the identified business processes.
Oracle BI Developer. Development of a data model for analytics. Development of dashboards, analyzes, reports.
Oracle BI/BI Publisher 12.
"
sql,"
- 5+ years experience with MS SQL;
- 1 year experience with Oracle;
- etl development using SSIS, Datastage;
- creation analytic reports using SSRS, Power BI
- experience with PostgreSql, MySql;
- data modeling using PowerDesigner;
- erp systems: Anaplan, Microsoft Dynamics Nav;
- SSAS;
- Rest API
Part time project"
sql,"
PL/SQL, T-SQL.
Oracle, MS SQL, MySQL, Sybase.
C# (ADO, Services, WPF, WinForms, SSRS, SSIS, EF)
Full-time in a good company that has established itself as a reliable employer. With an official employment contract or employment. The company operates under the laws of Ukraine and provides a corresponding social package to employees.
The work is not ""for the project"", only long-term cooperation is of interest."
sql,"Have a solid practical experience in FMCG DWH building from scratch, CRM systems development, BI reporting and dashboards at leading International FMCG Company.
Development experience of enterprise level solutions that focused on Database Development, Analytical reporting architecture, Data Warehousing and BI.
Strong background in design, implementation, analysis,  development, customization,  DBs products. Excellent technical and analytical skills with clear understanding of design and development.
Interesting projects
learning new technologies ( NoSQL databases, Azure, AWS,  Redshift, Vertica, etc)
English lessons
Friendly team"
sql,"
•	Solid hands-on experience in Oracle development (PL/SQL, Jobs, Triggers, Procedures / Functions), maintaining of BI tools, OLAP cubes, ETL tools, DWH. SQL Certified Expert.
•	Skilled in development of desktop applications and tools.
•	Experienced in implementation of continuous integration processes. 
•	Knowledge and experience in automations using different languages like Python, Groovy.
Skills:
•	Programming languages: SQL, T-SQL, PL/SQL, Python, Groovy.
•	Tools: JIRA, Toad, PL/SQL Developer.
•	Source Control: Git, Stash, GitHub, Perforce, Rational ClearCase.
•	Databases: Microsoft SQL Server, Oracle, Teradata Database.
•	BI Tools: MicroStrategy 10.3
"
sql,"Migration of 2 different Internet service provider to one unified system it was one of the hardest challenges in my work experience in order to keep all the service up without affection clients
Over 12 years at GlobalCom Holding . IT experience in SQL Database Administration, System Analysis, IT Operations Team Lead, Design and development of client/server, web based and development of windows applications, web applications and web services(Rest/SOAP) in Microsoft Visual Studio .Net IDE -Strong Experience in SQL Server relational databases including modelling, complex queries writing, calling Web-services from SQL using CLRs, Reporting, Stored Procedures using Rollback transaction and error handling skills. -Strong Experience in databases performance enhancement and maintenance (Indexing /Shrinking /Backup Jobs) -Experience .NET web applications using C#, SQL, SOAP, WCF Services, IIS, CSS -Experience with web tools/technologies such as JSON -Strong Experience in Analyzing assessing, documenting and managing business requirements -Strong Experience in integration with Online Payment methods and 3rd parties -Able to develop and interpret technical documentation for training and end user procedures. Good understanding of the organization’s goals and objectives. - IT Operation team lead and Ability to work under pressure.
i dont want to do boring daily tasks for me its a waste of time for me and for the company. everything can be automated!"
sql,"
Currently, I work as an Middle Analyst at Kyivstar.

My responsibilities are:

- working with databases, uploading scripts of various complexity (Oracle);

- analyzing customer experience metrics in a telecommunication sector (NPS, CSI);

- preparing post-launch analysis of business activities with further recommendations;

- developing and launching ad-hoc surveys for customers;

- preparing presentations on a regular basis for decision makers.

My position 
Being only Analyst in the Customer Experience Department I play a leading role in data operations, providing statistical information, trends, patterns and recommendations.

Now I’m open to new challenges, projects and complicated tasks and would like to use my hard and soft skills to develop in the field of analytics within the IT sector.
"
sql,"
PROFESSIONAL SUMMARY
Extensive experience in 
•	Data Analysis, SQL Server DBA
•	database administration, design, modeling, and
        development
•	design and implementation of ETL from different data 
        source (Oracle, SQL Server, Excel, CSV)
•	design and implementation of complex queries
•	design and implementation of PowerShell and Command 
        Shell automation and orchestration
•	design and implementation of complex data generators for 
        database test cases, post migration data reconciliations, 
        analytical reporting on data quality and usability

Tools and Technologies: 
SQL Server, SSIS, T_SQL, SQL, SSMS, SQL Server Performance Dashboard Reports
Oracle, PL/SQL, SQL, TOAD, SQL Developer, 
RedGate Data Tools, 
Visual Studio, 
DataFlux Data Management Studio and Server, 
PowerShell and CMD Shell
vSphere, 
Visio, Sparx
"
sql,"Проектирование системы потоковых вычислений на базе 512 Rasberry Pi4 для использования Cluster Beowulf.
Поддержка и мониторинг PostgreSql MySql  баз в нагруженных проектах. Оптимизация быстродействия RDBMS.
Разработка приложений на основе библиотек Keras, Scikit-learn.
Db Engineer.
Monitoring, support for MySql Perl fast payment service.
Monitoring AWS Python Prometheus services.
DevOps support - environment deployment.
Working with Athena, S3, Glue, App Runner, EC2, Auto Scaling, RDS, Redshift, Created a Docker container for microservices.
Written RegEx for Logstash.
Created Zabbix metrics and dashboards.
Wrote a Python script OpetCV.
Wrote a Python script with scikit-learn and Seaborn for backoffice. Wrote a Python WebScraping model.
Monitoring and support of 10 production PostgreSql servers and 23 dev servers. 
PostgreSql 9.5 10 11 12 13.
Query optimization - explain. Database migration and restoration. Porting the database from the server to the Azure PaaS service and setting up access and monitoring in the ecosystem.
Working with Azure Monitor, Azure for PostgreSQL.
Development of a monitoring system with AI elements.
Attestation training.
Working with Azure Data Explorer, Databricks, Anomaly Detector.
Build of queries for sampling data from the OLAP cube and database to create a scoring system. Calculation of statistical parameters of data from requests.

Design, installation, support: PostgreSql, MySql, Redis, MongoDb. Extensions TimescaleDB, PipelineDB, pg_stat_statements, hstore. Setting up replication, Upgrade database version. Use of systems of high availability of services / balancing sharding partitioning /.
Deploying instances in the clouds AWS, Azure, Google. 
Working with services: EC2 - S3 - Athena - Redshift - AutoScaling.
Working with services: Azure Monitor - Azure for PostgreSQL - Data Factory - Azure Functions - ServiceFabric-Database. 
Migration Service - Data Explorer - StreamAnalytics-Anomaly Detector - Databricks. 
Load testing tSQLt, SQLQueryStress. 
Explain source profiling. 
Porting - PostgreSql to Azure PaaS.
ОLAP - OLTP - DWH- DataLake. 
Monitoring with: Zabbix, Prometeus, Percona Monitoring, pgCluu.
Development of streaming monitoring with AI elements. 
Use of Scikit-learn - regression, search for anomalous data, datacleaning, classification, clustering, data dimensionalityreduction,signal classification and prediction. 
Programming in languages Perl, Python, SQL, Bash, C. For graphical presentation of data, I used - Seaborn.
Introduction to technology: Apache Nifi, Kafka. 
Courses: Cloud Guru: - Linux – Azure.
Команда. 
Перспективы. 
Финансовая стабильность."
sql,"
MSSQL:
Installing and maintaining databases. 
Performing daily maintenance including monitoring backups, managing disk space, and maintaining database objects. 
Database backup/restore activities, rebuild and reorganize indexes, update statistics. 
Cloning and refreshing of databases. 
Database design and development. 
Development of stored procedures for databases. 
Production database support and issue resolution. 
Experience of implementing and supporting SQL Server Failover Cluster Instances and Availability Groups.
Basic knowledge of SSRS, SSIS.

Experience with MySQL, PostgreSQL,  MariaDB:
Work with existing databases and description of their structure.
On-demand data extraction.
Creating procedures, functions and triggers.
Reports generation (Excel, SQL).
Designing DB schemas (T-SQL).
Data preparation (Excel) and import (SQL).
Preparing analytical reports.
Finding and correcting invalid data.

Basic knowledge of Excel \ VBA macros

Limited experience in performing a Project Manager responsibilities :
Maintenance and modification of existing technical specifications.
Creating moqups.
Scheduling tasks and assigning them to developers.
Control and verification of tasks.
Software testing.

Experience in mentoring, teaching and organizing work process inside teams.
"
sql,"Implementing TDD framework for MSSQL.
Development of ETL framework for data warehouses.
Development event bus framework for MSSQL based on Service Broker.
Chief architect and developer of ERP system.
Design of data warehouses, cubes, and development of ETL processes.
Extensive experience in reengineering business processes, finances, and accounting knowledge.
More than three dozen successful implementations in the field of wholesale and retail trade, manufacturing, and services.
If necessary, I can provide recommendations from clients and colleagues.
"
sql,"1. I was a key member of the team and put a lot of effort and contribution into development of software for the Pension Fund of Ukraine. So when you retire your pension would likely been calculated and paid using that software :) 
2. I've built/improved a bunch of RESTful Web API services for one of the biggest software providers for large and middle retailers in the world.
3. I've made a huge contribution to software development for all my previous workplaces.
Databases: Oracle 10g/11g, MS SQL Server 2005-2016, Interbase, Firebird, MySQL;
Database related: BI, ETL, DWH, SSIS, SSAS, SSRS, SQL query performance tuning, Data modelling, DB architecture, DBA;
Languages: PL/SQL, T-SQL, JavaScript, Delphi, PHP, ASP.NET;
Self-learning in progress: Power BI, JavaScript, Java, C#, Python, NoSQL, Cloud Computing, *nix etc.;
Programming related: OOP, XML, JSON, RESTful Web API etc.;
Frameworks: Node.js, React.js, Oracle Application Express (APEX), jQuery, FastReport;
Build: Webpack;
Version Control: Git, VSS, SVN, TFS;
Task Control: Jira, Redmine;
IDE: PL/SQL Developer, SSMS, SSDT, Visual Studio, ERwin Data Modeler, WebStorm;
Software Development Process: Scrum, Agile, Waterfall;
SDLC: Jira, Confluence, Bitbucket;
OS: Windows.
I'm looking for the best combo of project, compensation and job satisfaction."
sql,"
Database Developer, Administrator of MS SQL Server, PostgreSQL, MySQL - from 2001.
PHP, HTML - over than 5 years.
«1C-Accounting"" ver. 7.7 - from 2001.
Java - over than 1.5 years,
Delphi Software Developer - from 1997.
Scrum, Agile & Waterfall, Atlassian JIRA
Experience in programming from 1995
I have knowledge in accounting and tax accounting, understand key business processes.
Analytical thinking, intuitive, a quick learner.
I am interested in innovations in programming and software.
Friendly, humorous, a team worker.
Driving license category B from 2003.
"
sql,"Using MS SQL Server from many perspectives
20 years of experience with MS SQL Server
Looking for further development"
sql,"Good knowledge t-sql
Database developer
Optimization code
Build indexes
Understand code writing
Create stored Procedure
Create view
Create table and develop new structure of tables with relations
Administrate database
T-sql, HTML, XML, SSMS
I want to find a job with interesting project with database ms sql server
I like to created stored procedure and develop structure database and optimization t-sql stored procedure
In future i want work with c# and .Net"
sql,"
I have over 7 years of development experience and 4 years of Oracle development
"
sql,"Certificates:
Python Developer by CyberBionic
OCP Oracle Advanced PL/SQL Developer Certified Professional by Oracle
OCA Oracle PL/SQL Developer Certified Associate by Oracle
OCA Oracle Database SQL Certified Associate by Oracle


Courses, Training
Python Developer by CyberBionic
AWS Certified Cloud Practitioner by Amazon
AWS Certified Solutions Architect by Amazon
AWS Certified Developer by Amazon
AWS Certified Database by Amazon
Java by IT Education Academy
Participation in the full cycle of migration from Oracle to PostgreSQL
Making a pipelines in Jenkins. Working with the Docker.
Object migration via AWS SCT. 
Creating tests to check the migration 
Fixing bugs after migration
Search and implementation of solutions for the transfer of database objects 
Development of processing systems for banks
Data import, export, development of process algorithms, reporting, process optimization, customer support
Create and replace packages, functions, and procedures. 
Development of corporate programs and modules, project management, creating database architecture,
DWH development
Creating scripts on Python (web scrapping, tests, ETL processes for export and import data)
I'm considering new opportunities to work full remote as a Database Developer or as a Backend Developer
I'm not considering work as a DBA"
